dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,local_time
1778914320000,0.0,0.0,0,0,1,283,52.3,92,4.22,50.04,29.94,30.0379,0,0,6220,5598000,52.3,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 23:52:00-07:00
1778913420000,0.0,0.0,0,0,1,283,52.9,92,,50.64,29.95,30.0478,0,0,6220,5598000,52.9,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 23:37:00-07:00
1778912520000,0.0,0.0,0,0,1,283,53.1,93,,51.13,29.95,30.0478,0,0,6220,5598000,53.1,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 23:22:00-07:00
1778911620000,0.0,0.0,0,0,1,283,53.4,92,,51.13,29.95,30.0477,0,0,6220,5598000,53.4,,2026-05-15,America/Los_Angeles,True,2026-05-15 23:07:00-07:00
1778910720000,0.0,0.0,0,0,1,283,54.1,92,,51.83,29.96,30.0576,0,0,6220,5598000,54.1,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 22:52:00-07:00
1778909820000,0.0,0.0,0,0,1,283,55.0,92,,52.72,29.95,30.0474,0,0,6220,5598000,55.0,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 22:37:00-07:00
1778908920000,0.0,0.0,0,0,1,283,55.2,91,,52.62,29.96,30.0574,0,0,6220,5598000,55.2,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 22:22:00-07:00
1778908020000,0.0,0.0,0,0,1,283,55.8,90,4.22,52.91,29.96,30.0573,0,0,6220,5598000,55.8,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 22:07:00-07:00
1778907120000,0.0,0.0,0,0,1,283,56.7,90,,53.8,29.95,30.0471,0,0,6220,5598000,56.7,,2026-05-15,America/Los_Angeles,True,2026-05-15 21:52:00-07:00
1778906220000,0.0,0.0,0,0,1,283,57.2,89,,53.99,29.95,30.047,0,0,6220,5598000,57.2,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 21:37:00-07:00
1778905320000,0.0,0.0,0,0,1,283,57.2,88,4.23,53.68,29.94,30.037,0,0,6220,5598000,57.2,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 21:22:00-07:00
1778904420000,0.0,0.0,0,0,1,283,57.0,87,,53.17,29.94,30.037,0,0,6220,5598000,57.0,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 21:07:00-07:00
1778903520000,0.0,0.0,0,0,1,283,57.7,86,,53.54,29.94,30.0369,0,0,6220,5598000,57.7,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 20:52:00-07:00
1778902620000,0.0,0.0,0,0,1,283,58.5,85,,54.0,29.94,30.0367,0,0,6220,5598000,58.5,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 20:37:00-07:00
1778901720000,0.0,0.0,0,0,1,283,59.0,84,4.23,54.17,29.94,30.0367,0,0,6220,5598000,59.0,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 20:22:00-07:00
1778900820000,0.0,0.0,0,0,1,283,59.5,84,,54.66,29.93,30.0265,0,0,6220,5598000,59.5,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 20:07:00-07:00
1778899920000,0.0,0.0,0,0,1,283,60.3,84,,55.44,29.93,30.0264,3,2700,6217,5598000,60.3,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 19:52:00-07:00
1778899020000,0.0,0.0,0,0,1,283,60.6,82,,55.07,29.93,30.0263,11,9900,6206,5595300,60.6,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 19:37:00-07:00
1778898120000,0.0,0.0,0,0,1,283,60.6,83,4.21,55.41,29.93,30.0263,24,21600,6182,5585400,60.6,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 19:22:00-07:00
1778897220000,0.0,0.0,0,0,1,283,60.6,84,,55.74,29.94,30.0364,34,30600,6148,5563800,60.6,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 19:07:00-07:00
1778896320000,0.0,0.0,0,0,1,283,61.0,84,,56.13,29.94,30.0363,38,34200,6110,5533200,61.0,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 18:52:00-07:00
1778895420000,0.4474,2.6843,0,0,1,283,61.5,83,,56.29,29.94,30.0362,58,52200,6052,5499000,61.5,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 18:37:00-07:00
1778894520000,0.2237,3.1317,0,0,1,229,61.3,83,4.23,56.09,29.95,30.0463,76,68400,5976,5446800,61.3,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 18:22:00-07:00
1778893620000,0.2237,4.0265,0,0,1,188,61.3,83,,56.09,29.95,30.0463,81,72900,5895,5378400,61.3,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 18:07:00-07:00
1778892720000,0.4474,2.908,0,0,1,188,61.3,83,,56.09,29.95,30.0463,92,82800,5803,5305500,61.3,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 17:52:00-07:00
1778891820000,1.1185,3.1317,0,0,1,188,61.2,83,,55.99,29.95,30.0463,90,81000,5713,5222700,61.2,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 17:37:00-07:00
1778890920000,0.6711,3.8028,0,0,1,188,61.3,84,4.24,56.42,29.95,30.0463,105,94500,5608,5141700,61.3,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 17:22:00-07:00
1778890020000,1.1185,4.2502,0,0,1,201,61.2,84,,56.32,29.96,30.0563,114,102600,5494,5047200,61.2,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 17:07:00-07:00
1778889120000,0.4474,3.5791,0,0,1,204,61.5,83,,56.29,29.96,30.0563,123,110700,5371,4944600,61.5,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 16:52:00-07:00
1778888220000,0.8948,3.1317,0,0,1,204,61.3,84,,56.42,29.96,30.0563,135,121500,5236,4833900,61.3,2026-05-07T15:52:00.000Z,2026-05-15,,,2026-05-15 16:37:00-07:00
