dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,local_time
1779259920000,0.2237,2.6843,0,0,1,208,60.1,50,41.4,29.94,30.0364,0,0,16666,14999400,60.1,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 23:52:00-07:00
1779259020000,0.6711,2.908,0,0,1,208,60.1,53,42.91,29.95,30.0465,0,0,16666,14999400,60.1,2026-05-07T15:52:00.000Z,2026-05-19,4.31,2026-05-19 23:37:00-07:00
1779258120000,0.4474,2.4606,0,0,1,208,60.3,55,44.06,29.95,30.0464,0,0,16666,14999400,60.3,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 23:22:00-07:00
1779257220000,0.2237,2.2369,0,0,1,208,60.8,58,45.93,29.95,30.0463,0,0,16666,14999400,60.8,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 23:07:00-07:00
1779256320000,0.0,1.1185,0,0,1,208,61.5,59,47.04,29.95,30.0462,0,0,16666,14999400,61.5,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 22:52:00-07:00
1779255420000,0.2237,2.4606,0,0,1,208,61.5,60,47.48,29.95,30.0462,0,0,16666,14999400,61.5,2026-05-07T15:52:00.000Z,2026-05-19,4.32,2026-05-19 22:37:00-07:00
1779254520000,0.0,1.7895,0,0,1,208,61.5,65,49.62,29.95,30.0462,0,0,16666,14999400,61.5,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 22:22:00-07:00
1779253620000,0.2237,1.7895,0,0,1,208,62.8,62,49.58,29.94,30.0359,0,0,16666,14999400,62.8,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 22:07:00-07:00
1779252720000,1.3422,3.1317,0,0,1,208,61.9,66,50.41,29.94,30.0361,0,0,16666,14999400,61.9,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 21:52:00-07:00
1779251820000,0.0,0.0,0,0,1,208,61.3,72,52.19,29.94,30.0362,0,0,16666,14999400,61.3,2026-05-07T15:52:00.000Z,2026-05-19,4.32,2026-05-19 21:37:00-07:00
1779250920000,0.0,0.0,0,0,1,208,61.9,74,53.52,29.94,30.0361,0,0,16666,14999400,61.9,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 21:22:00-07:00
1779250020000,0.4474,2.2369,0,0,1,208,62.6,76,54.92,29.93,30.026,0,0,16666,14999400,62.6,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 21:07:00-07:00
1779249120000,1.3422,2.908,0,0,1,208,63.1,72,53.92,29.93,30.0259,0,0,16666,14999400,63.1,2026-05-07T15:52:00.000Z,2026-05-19,,2026-05-19 20:52:00-07:00
1779248220000,0.0,2.4606,0,0,1,208,63.9,70,53.92,29.93,30.0257,0,0,16666,14999400,63.9,2026-05-07T15:52:00.000Z,2026-05-19,4.32,2026-05-19 20:37:00-07:00
