dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,batt1volts,local_time
1780901520000,0.0,0.0,0,0,1,221,56.1,85,51.65,29.85,29.9469,0,0,13877,12489300,56.1,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 23:52:00-07:00
1780900620000,0.0,0.0,0,0,1,221,56.7,85,52.24,29.85,29.9468,0,0,13877,12489300,56.7,,2026-06-07,America/Los_Angeles,True,,2026-06-07 23:37:00-07:00
1780899720000,0.0,0.0,0,0,1,221,57.0,85,52.53,29.85,29.9467,0,0,13877,12489300,57.0,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 23:22:00-07:00
1780898820000,0.0,0.0,0,0,1,221,57.4,84,52.6,29.85,29.9467,0,0,13877,12489300,57.4,2026-06-06T12:07:00.000Z,2026-06-07,,,4.31,2026-06-07 23:07:00-07:00
1780897920000,0.0,0.0,0,0,1,221,58.3,84,53.48,29.85,29.9465,0,0,13877,12489300,58.3,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 22:52:00-07:00
1780897020000,0.0,0.0,0,0,1,221,58.5,84,53.68,29.85,29.9465,0,0,13877,12489300,58.5,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 22:37:00-07:00
1780896120000,0.0,0.0,0,0,1,221,59.0,83,53.84,29.84,29.9363,0,0,13877,12489300,59.0,,2026-06-07,America/Los_Angeles,True,,2026-06-07 22:22:00-07:00
1780895220000,0.0,0.0,0,0,1,221,59.5,84,54.66,29.84,29.9362,0,0,13877,12489300,59.5,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 22:07:00-07:00
1780894320000,0.0,0.0,0,0,1,221,59.9,81,54.05,29.84,29.9362,0,0,13877,12489300,59.9,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 21:52:00-07:00
1780893420000,0.0,0.0,0,0,1,221,60.4,80,54.2,29.83,29.926,0,0,13877,12489300,60.4,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 21:37:00-07:00
1780892520000,0.0,0.0,0,0,1,221,60.8,81,54.93,29.83,29.926,0,0,13877,12489300,60.8,2026-06-06T12:07:00.000Z,2026-06-07,,,4.32,2026-06-07 21:22:00-07:00
1780891620000,0.0,0.0,0,0,1,221,60.6,80,54.39,29.83,29.926,0,0,13877,12489300,60.6,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 21:07:00-07:00
1780890720000,0.0,0.0,0,0,1,221,61.2,78,54.28,29.83,29.9259,0,0,13877,12489300,61.2,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 20:52:00-07:00
1780889820000,0.0,0.0,0,0,1,221,62.4,77,55.09,29.82,29.9156,0,0,13877,12489300,62.4,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 20:37:00-07:00
1780888920000,0.0,0.0,0,0,1,221,63.1,76,55.41,29.82,29.9155,0,0,13871,12483900,63.1,2026-06-06T12:07:00.000Z,2026-06-07,,,4.32,2026-06-07 20:22:00-07:00
1780888020000,0.0,0.0,0,0,1,221,63.9,74,55.44,29.82,29.9154,6,5400,13871,12489300,63.9,,2026-06-07,America/Los_Angeles,True,,2026-06-07 20:07:00-07:00
1780887120000,0.0,0.0,0,0,1,221,64.0,70,54.01,29.81,29.9053,11,9900,13860,12483900,64.0,2026-06-06T12:07:00.000Z,2026-06-07,,,,2026-06-07 19:52:00-07:00
