dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,lastRain,local_time
1739864940000,0.0,0.0,0,0,1,272,49.3,83,4.29,29.95,30.0248,0,0,0,15166800,America/Los_Angeles,True,49.3,44.36,2025-02-17,,2025-02-17 23:49:00-08:00
1739864040000,0.0,0.8948,0,0,1,272,48.2,86,,29.95,30.025,0,0,0,15166800,America/Los_Angeles,True,48.2,44.21,2025-02-17,,2025-02-17 23:34:00-08:00
1739863140000,0.0,1.5659,0,0,1,272,48.9,85,4.29,29.95,30.0249,0,0,16852,15166800,,,48.9,44.59,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 23:19:00-08:00
1739862240000,0.4474,3.1317,0,0,1,272,49.8,82,,29.95,30.0247,0,0,16852,15166800,,,49.8,44.53,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 23:04:00-08:00
1739861340000,0.6711,3.1317,0,0,1,272,50.7,83,,29.95,30.0246,0,0,16852,15166800,,,50.7,45.73,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 22:49:00-08:00
1739860440000,0.8948,3.8028,0,0,1,272,51.4,82,,29.95,30.0245,0,0,16852,15166800,,,51.4,46.09,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 22:34:00-08:00
1739859540000,0.2237,1.5659,0,0,1,272,50.9,79,4.29,29.95,30.0246,0,0,16852,15166800,,,50.9,44.62,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 22:19:00-08:00
1739858640000,0.2237,1.5659,0,0,1,272,51.4,75,,29.95,30.0245,0,0,16852,15166800,,,51.4,43.75,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 22:04:00-08:00
1739857740000,0.0,1.7895,0,0,1,272,51.6,74,,29.95,30.0245,0,0,16852,15166800,,,51.6,43.59,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 21:49:00-08:00
1739856840000,0.2237,2.908,0,0,1,272,53.2,69,,29.94,30.0142,0,0,16852,15166800,,,53.2,43.3,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 21:34:00-08:00
1739855940000,0.4474,3.5791,0,0,1,272,54.3,67,4.3,29.94,30.0141,0,0,16852,15166800,,,54.3,43.58,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 21:19:00-08:00
1739855040000,0.8948,5.145,0,0,1,272,54.7,73,,29.94,30.014,0,0,16852,15166800,,,54.7,46.22,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 21:04:00-08:00
1739854140000,0.4474,3.1317,0,0,1,272,55.4,72,,29.94,30.0139,0,0,16852,15166800,,,55.4,46.52,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 20:49:00-08:00
1739853240000,2.4606,5.5923,0,0,1,270,55.8,71,,29.93,30.0038,0,0,16852,15166800,,,55.8,46.54,2025-02-17,2025-02-14T20:54:00.000Z,2025-02-17 20:34:00-08:00
1739852340000,3.3554,8.053,0,0,1,213,56.5,65,4.31,29.93,30.0037,0,0,16852,15166800,America/Los_Angeles,True,56.5,44.88,2025-02-17,,2025-02-17 20:19:00-08:00
