dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,tz,historical,lastRain,local_time
1740209640000,0.6711,2.0132,0,0,1,333,50.2,73,30.11,30.1851,0,0,13644,12279600,50.2,41.88,2025-02-21,,,,,2025-02-21 23:34:00-08:00
1740207840000,0.6711,2.4606,0,0,1,333,50.0,74,30.11,30.1851,0,0,13644,12279600,50.0,42.04,2025-02-21,,,,,2025-02-21 23:04:00-08:00
1740206940000,0.2237,2.4606,0,0,1,333,50.9,74,30.11,30.185,0,0,13644,12279600,50.9,42.91,2025-02-21,,,,,2025-02-21 22:49:00-08:00
1740206040000,0.4474,2.0132,0,0,1,333,51.3,72,30.1,30.1749,0,0,13644,12279600,51.3,42.58,2025-02-21,,,,,2025-02-21 22:34:00-08:00
1740205140000,0.6711,1.7895,0,0,1,334,51.8,72,30.09,30.1648,0,0,13644,12279600,51.8,43.06,2025-02-21,4.29,,,,2025-02-21 22:19:00-08:00
1740204240000,0.2237,2.908,0,0,1,313,50.9,69,30.09,30.1649,0,0,13644,12279600,50.9,41.1,2025-02-21,,America/Los_Angeles,True,,2025-02-21 22:04:00-08:00
1740203340000,0.0,0.0,0,0,1,280,50.9,67,30.09,30.1649,0,0,13644,12279600,50.9,40.34,2025-02-21,,,,,2025-02-21 21:49:00-08:00
1740202440000,0.0,0.0,0,0,1,280,51.1,67,30.09,30.1649,0,0,13644,12279600,51.1,40.53,2025-02-21,4.29,,,,2025-02-21 21:34:00-08:00
1740201540000,0.0,0.0,0,0,1,280,51.4,68,30.09,30.1648,0,0,13644,12279600,51.4,41.2,2025-02-21,,,,,2025-02-21 21:19:00-08:00
1740200640000,0.0,0.0,0,0,1,280,52.2,65,30.09,30.1647,0,0,13644,12279600,52.2,40.79,2025-02-21,,,,,2025-02-21 21:04:00-08:00
1740198840000,0.0,0.0,0,0,1,280,52.7,65,30.09,30.1647,0,0,13644,12279600,52.7,41.27,2025-02-21,,,,,2025-02-21 20:34:00-08:00
1740197940000,0.0,0.0,0,0,1,280,53.1,66,30.09,30.1646,0,0,13644,12279600,53.1,42.04,2025-02-21,,,,,2025-02-21 20:19:00-08:00
1740196140000,0.0,0.0,0,0,1,280,54.9,60,30.09,30.1643,0,0,13644,12279600,54.9,41.28,2025-02-21,4.31,,,,2025-02-21 19:49:00-08:00
1740195240000,0.0,0.0,0,0,1,280,55.4,60,30.08,30.1542,0,0,13644,12279600,55.4,41.75,2025-02-21,,,,,2025-02-21 19:34:00-08:00
1740193440000,0.0,0.0,0,0,1,280,57.6,53,30.08,30.1539,0,0,13644,12279600,57.6,40.6,2025-02-21,,,,,2025-02-21 19:04:00-08:00
1740192540000,0.0,1.3422,0,0,1,280,58.1,55,30.07,30.1438,0,0,13644,12279600,58.1,42.02,2025-02-21,4.33,,,,2025-02-21 18:49:00-08:00
