dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,batt1volts,local_time
1740383340000,1.1185,2.2369,0,0,1,16,52.9,84,30.11,30.1847,0,0,0,12089700,America/Los_Angeles,True,52.9,48.2,2025-02-23,,2025-02-23 23:49:00-08:00
1740382440000,0.6711,2.0132,0,0,1,16,53.2,84,30.11,30.1846,0,0,0,12089700,America/Los_Angeles,True,53.2,48.49,2025-02-23,,2025-02-23 23:34:00-08:00
1740380640000,0.4474,2.4606,0,0,1,16,53.8,85,30.11,30.1845,0,0,13433,12089700,,,53.8,49.4,2025-02-23,4.29,2025-02-23 23:04:00-08:00
1740379740000,0.4474,2.0132,0,0,1,16,53.6,89,30.12,30.1946,0,0,13433,12089700,,,53.6,50.44,2025-02-23,,2025-02-23 22:49:00-08:00
1740378840000,0.6711,2.6843,0,0,1,16,54.3,89,30.12,30.1945,0,0,13433,12089700,,,54.3,51.13,2025-02-23,,2025-02-23 22:34:00-08:00
1740377940000,1.7895,3.1317,0,0,1,16,54.5,90,30.12,30.1945,0,0,13433,12089700,,,54.5,51.63,2025-02-23,,2025-02-23 22:19:00-08:00
1740377040000,0.6711,2.6843,0,0,1,16,53.6,92,30.12,30.1946,0,0,13433,12089700,,,53.6,51.33,2025-02-23,4.29,2025-02-23 22:04:00-08:00
1740376140000,0.6711,2.6843,0,0,1,16,53.2,92,30.12,30.1947,0,0,13433,12089700,,,53.2,50.94,2025-02-23,,2025-02-23 21:49:00-08:00
1740375240000,0.2237,2.2369,0,0,1,16,53.6,91,30.12,30.1946,0,0,13433,12089700,,,53.6,51.04,2025-02-23,,2025-02-23 21:34:00-08:00
1740372540000,0.0,0.0,0,0,1,208,54.0,92,30.11,30.1845,0,0,13433,12089700,,,54.0,51.73,2025-02-23,,2025-02-23 20:49:00-08:00
1740371640000,0.0,0.0,0,0,1,208,54.5,91,30.11,30.1844,0,0,13433,12089700,America/Los_Angeles,True,54.5,51.93,2025-02-23,,2025-02-23 20:34:00-08:00
1740370740000,0.2237,4.0265,0,0,1,208,55.2,91,30.11,30.1843,0,0,13433,12089700,,,55.2,52.62,2025-02-23,,2025-02-23 20:19:00-08:00
1740369840000,0.8948,4.0265,0,0,1,208,55.6,90,30.11,30.1843,0,0,13433,12089700,,,55.6,52.71,2025-02-23,4.31,2025-02-23 20:04:00-08:00
1740368940000,1.3422,6.0397,0,0,1,245,55.2,88,30.11,30.1843,0,0,13433,12089700,America/Los_Angeles,True,55.2,51.71,2025-02-23,,2025-02-23 19:49:00-08:00
1740367140000,0.0,0.0,0,0,1,109,55.2,89,30.12,30.1944,0,0,13433,12089700,,,55.2,52.01,2025-02-23,4.32,2025-02-23 19:19:00-08:00
1740365340000,0.0,1.5659,0,0,1,109,56.5,86,30.12,30.1942,0,0,13433,12089700,,,56.5,52.36,2025-02-23,,2025-02-23 18:49:00-08:00
1740363540000,0.6711,4.4739,0,0,1,43,57.0,83,30.12,30.1941,0,0,13422,12079800,,,57.0,51.89,2025-02-23,4.32,2025-02-23 18:19:00-08:00
1740362640000,1.5659,6.0397,0,0,1,57,57.6,82,30.13,30.204,0,0,13433,12089700,America/Los_Angeles,True,57.6,52.14,2025-02-23,,2025-02-23 18:04:00-08:00
1740359940000,2.4606,8.053,0,0,1,100,59.5,78,30.13,30.2038,69,62100,13353,12079800,,,59.5,52.63,2025-02-23,4.39,2025-02-23 17:19:00-08:00
