dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,tz,historical,local_time
1740728940000,0.0,0.0,0,0,1,238,51.4,92,4.28,29.93,30.0044,0,0,15824,14241600,51.4,49.15,2025-02-27,,,2025-02-27 23:49:00-08:00
1740728040000,0.2237,2.4606,0,0,1,238,52.2,92,,29.93,30.0043,0,0,15824,14241600,52.2,49.95,2025-02-27,,,2025-02-27 23:34:00-08:00
1740727140000,0.4474,2.2369,0,0,1,238,53.2,91,,29.94,30.0142,0,0,15824,14241600,53.2,50.64,2025-02-27,,,2025-02-27 23:19:00-08:00
1740726240000,2.4606,8.053,0,0,1,229,54.5,93,,29.95,30.0241,0,0,15824,14241600,54.5,52.52,2025-02-27,,,2025-02-27 23:04:00-08:00
1740725340000,0.6711,3.8028,0,0,1,171,54.0,91,4.29,29.95,30.0241,0,0,15824,14241600,54.0,51.43,2025-02-27,,,2025-02-27 22:49:00-08:00
1740724440000,0.8948,4.6976,0,0,1,169,54.9,91,,29.95,30.024,0,0,15824,14241600,54.9,52.32,2025-02-27,,,2025-02-27 22:34:00-08:00
1740723540000,0.8948,4.2502,0,0,1,169,54.9,88,,29.94,30.014,0,0,15824,14241600,54.9,51.41,2025-02-27,,,2025-02-27 22:19:00-08:00
1740722640000,2.0132,7.3819,0,0,1,148,54.5,82,,29.94,30.014,0,0,15824,14241600,54.5,49.12,2025-02-27,,,2025-02-27 22:04:00-08:00
1740721740000,0.0,0.0,0,0,1,124,55.0,81,4.29,29.94,30.014,0,0,15824,14241600,55.0,49.28,2025-02-27,,,2025-02-27 21:49:00-08:00
1740720840000,0.2237,3.8028,0,0,1,124,55.8,80,,29.95,30.0239,0,0,15824,14241600,55.8,49.72,2025-02-27,,,2025-02-27 21:34:00-08:00
1740719940000,0.6711,3.8028,0,0,1,289,56.3,82,,29.95,30.0238,0,0,15824,14241600,56.3,50.87,2025-02-27,,,2025-02-27 21:19:00-08:00
1740719040000,2.6843,10.5136,0,0,1,289,56.3,87,,29.95,30.0238,0,0,15824,14241600,56.3,52.48,2025-02-27,,,2025-02-27 21:04:00-08:00
1740718140000,9.1714,14.3164,0,0,1,268,56.5,86,4.31,29.95,30.0238,0,0,15824,14241600,56.5,52.36,2025-02-27,,,2025-02-27 20:49:00-08:00
1740717240000,4.6976,13.4216,0,0,1,261,57.9,73,,29.94,30.0135,0,0,15824,14241600,57.9,49.3,2025-02-27,,,2025-02-27 20:34:00-08:00
