dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,date,batt1volts,tz,historical,local_time
1740901740000,0.0,0.0,0,0,1,39,54.9,88,30.08,30.1543,0,0,16872,15184800,54.9,51.41,2025-03-01,,,,2025-03-01 23:49:00-08:00
1740900840000,0.0,0.0,0,0,1,39,54.5,89,30.08,30.1544,0,0,16872,15184800,54.5,51.32,2025-03-01,,,,2025-03-01 23:34:00-08:00
1740899940000,0.0,0.0,0,0,1,39,53.8,91,30.06,30.1344,0,0,16872,15184800,53.8,51.23,2025-03-01,,,,2025-03-01 23:19:00-08:00
1740899040000,0.0,1.5659,0,0,1,39,52.7,91,30.05,30.1246,0,0,16872,15184800,52.7,50.15,2025-03-01,4.29,,,2025-03-01 23:04:00-08:00
1740898140000,0.4474,2.0132,0,0,1,39,53.2,90,30.05,30.1245,0,0,16872,15184800,53.2,50.34,2025-03-01,,,,2025-03-01 22:49:00-08:00
1740897240000,0.0,0.0,0,0,1,39,53.8,89,30.04,30.1144,0,0,16872,15184800,53.8,50.63,2025-03-01,,,,2025-03-01 22:34:00-08:00
1740896340000,0.2237,2.0132,0,0,1,39,54.5,88,30.02,30.0942,0,0,16872,15184800,54.5,51.02,2025-03-01,,,,2025-03-01 22:19:00-08:00
1740895440000,0.6711,4.2502,0,0,1,22,54.7,88,30.01,30.0842,0,0,16872,15184800,54.7,51.22,2025-03-01,4.3,,,2025-03-01 22:04:00-08:00
1740894540000,2.0132,6.4871,0,0,1,88,54.9,87,30.01,30.0841,0,0,16872,15184800,54.9,51.1,2025-03-01,,,,2025-03-01 21:49:00-08:00
1740893640000,1.7895,6.4871,0,0,1,104,54.3,88,30.01,30.0842,0,0,16872,15184800,54.3,50.82,2025-03-01,,,,2025-03-01 21:34:00-08:00
1740892740000,0.0,2.2369,0,0,1,343,54.0,89,30.0,30.0742,0,0,16872,15184800,54.0,50.83,2025-03-01,,,,2025-03-01 21:19:00-08:00
1740891840000,0.4474,4.0265,0,0,1,96,54.3,88,29.99,30.0642,0,0,16872,15184800,54.3,50.82,2025-03-01,4.3,,,2025-03-01 21:04:00-08:00
1740890940000,0.8948,4.6976,0,0,1,102,54.7,88,29.98,30.0541,0,0,16872,15184800,54.7,51.22,2025-03-01,,,,2025-03-01 20:49:00-08:00
1740890040000,2.0132,7.8293,0,0,1,101,54.9,88,29.97,30.044,0,0,16872,15184800,54.9,51.41,2025-03-01,,,,2025-03-01 20:34:00-08:00
1740889140000,1.7895,7.6056,0,0,1,65,54.9,87,29.98,30.0541,0,0,16872,15184800,54.9,51.1,2025-03-01,,,,2025-03-01 20:19:00-08:00
1740888240000,2.2369,7.8293,0,0,1,83,55.0,86,29.98,30.0541,0,0,16872,15184800,55.0,50.89,2025-03-01,4.31,,,2025-03-01 20:04:00-08:00
1740887340000,2.2369,6.2634,0,0,1,90,55.4,85,29.98,30.054,0,0,16872,15184800,55.4,50.97,2025-03-01,,,,2025-03-01 19:49:00-08:00
1740886440000,3.5791,10.7373,0,0,1,94,55.6,85,29.98,30.054,0,0,16872,15184800,55.6,51.16,2025-03-01,,,,2025-03-01 19:34:00-08:00
1740885540000,3.8028,10.5136,0,0,1,101,55.6,87,29.98,30.054,0,0,16872,15184800,55.6,51.79,2025-03-01,,,,2025-03-01 19:19:00-08:00
1740884640000,4.6976,12.0795,0,0,1,104,55.8,87,29.98,30.0539,0,0,16872,15184800,55.8,51.99,2025-03-01,4.32,,,2025-03-01 19:04:00-08:00
1740883740000,4.4739,9.8425,0,0,1,113,55.9,85,29.97,30.0439,0,0,16872,15184800,55.9,51.46,2025-03-01,,,,2025-03-01 18:49:00-08:00
1740882840000,3.3554,9.3951,0,0,1,96,56.1,84,29.97,30.0439,0,0,16872,15184800,56.1,51.33,2025-03-01,,,,2025-03-01 18:34:00-08:00
1740881940000,4.0265,9.8425,0,0,1,125,56.3,82,29.97,30.0438,0,0,16872,15184800,56.3,50.87,2025-03-01,,,,2025-03-01 18:19:00-08:00
1740881040000,4.6976,12.7505,0,0,1,123,56.8,79,29.96,30.0337,0,0,16872,15184800,56.8,50.36,2025-03-01,4.32,,,2025-03-01 18:04:00-08:00
1740880140000,2.0132,6.7108,0,0,1,83,57.6,78,29.95,30.0236,5,4500,16867,15184800,57.6,50.79,2025-03-01,,,,2025-03-01 17:49:00-08:00
1740879240000,3.1317,8.7241,0,0,1,90,57.7,78,29.96,30.0336,15,13500,16852,15180300,57.7,50.89,2025-03-01,,,,2025-03-01 17:34:00-08:00
1740878340000,1.1185,4.6976,0,0,1,47,57.7,80,29.97,30.0436,39,35100,16813,15166800,57.7,51.57,2025-03-01,,,,2025-03-01 17:19:00-08:00
1740877440000,0.6711,6.9345,0,0,1,226,58.1,81,29.96,30.0336,67,60300,16577,14979600,58.1,52.3,2025-03-01,4.38,,,2025-03-01 17:04:00-08:00
1740876540000,5.5923,10.7373,0,0,1,137,57.7,83,29.95,30.0236,169,152100,16644,15071400,57.7,52.57,2025-03-01,,America/Los_Angeles,True,2025-03-01 16:49:00-08:00
1740875640000,7.8293,14.7638,0,0,1,150,57.7,83,29.92,29.9935,151,135900,16426,14919300,57.7,52.57,2025-03-01,,,,2025-03-01 16:34:00-08:00
1740874740000,6.9345,12.9742,0,0,1,119,58.8,79,29.91,29.9833,184,165600,16242,14783400,58.8,52.3,2025-03-01,4.38,,,2025-03-01 16:19:00-08:00
1740873840000,7.1582,11.6321,0,0,1,143,58.6,80,29.91,29.9834,213,191700,16029,14617800,58.6,52.45,2025-03-01,,,,2025-03-01 16:04:00-08:00
1740872940000,5.816,10.2899,0,0,1,153,60.3,75,29.91,29.9831,263,236700,15766,14426100,60.3,52.34,2025-03-01,,,,2025-03-01 15:49:00-08:00
1740872040000,6.2634,10.5136,0,0,1,159,61.7,70,29.91,29.9829,388,349200,15378,14189400,61.7,51.81,2025-03-01,,,,2025-03-01 15:34:00-08:00
1740871140000,4.4739,7.6056,0,0,1,164,62.1,70,29.91,29.9829,434,390600,14944,13840200,62.1,52.2,2025-03-01,4.4,,,2025-03-01 15:19:00-08:00
1740870240000,1.3422,4.4739,0,0,1,163,61.3,71,29.92,29.993,470,423000,14474,13449600,61.3,51.81,2025-03-01,,,,2025-03-01 15:04:00-08:00
1740869340000,4.2502,8.053,0,0,1,220,60.3,73,29.93,30.0032,506,455400,13968,13026600,60.3,51.61,2025-03-01,,,,2025-03-01 14:49:00-08:00
1740868440000,4.6976,11.4084,0,0,1,258,60.4,72,29.93,30.0032,540,486000,13428,12571200,60.4,51.33,2025-03-01,,,,2025-03-01 14:34:00-08:00
1740867540000,8.2767,21.0272,0,0,1,273,59.5,76,29.94,30.0133,392,352800,13036,12085200,59.5,51.93,2025-03-01,4.4,,,2025-03-01 14:19:00-08:00
1740866640000,10.0662,17.0007,0,0,1,262,59.9,76,29.94,30.0133,488,439200,12548,11732400,59.9,52.31,2025-03-01,,,,2025-03-01 14:04:00-08:00
1740865740000,10.0662,17.2244,0,0,1,257,59.7,79,29.94,30.0133,521,468900,12027,11293200,59.7,53.17,2025-03-01,,,,2025-03-01 13:49:00-08:00
1740864840000,10.2899,16.777,0,0,1,248,60.1,78,29.94,30.0132,385,346500,11642,10824300,60.1,53.21,2025-03-01,,,,2025-03-01 13:34:00-08:00
1740863940000,6.7108,10.2899,0,0,1,216,60.6,77,29.92,29.9931,716,644400,10926,10477800,60.6,53.35,2025-03-01,4.4,,,2025-03-01 13:19:00-08:00
1740863040000,5.816,9.1714,0,0,1,210,60.3,77,29.92,29.9931,696,626400,10230,9833400,60.3,53.06,2025-03-01,,,,2025-03-01 13:04:00-08:00
1740862140000,4.6976,8.7241,0,0,1,185,60.6,76,29.92,29.9931,700,630000,8442,8227800,60.6,52.99,2025-03-01,,,,2025-03-01 12:49:00-08:00
1740861240000,7.6056,10.7373,0,0,1,249,59.7,78,29.94,30.0133,648,583200,9142,8577000,59.7,52.83,2025-03-01,,America/Los_Angeles,True,2025-03-01 12:34:00-08:00
1740860340000,7.1582,11.4084,0,0,1,238,59.4,78,29.94,30.0133,440,396000,9142,7993800,59.4,52.54,2025-03-01,4.41,America/Los_Angeles,True,2025-03-01 12:19:00-08:00
