dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,batt1volts,tz,historical,local_time
1741589340000,0.8948,2.0132,0,0,1,33,45.5,80,30.04,30.1156,0,0,21649,19484100,45.5,39.69,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 23:49:00-07:00
1741588440000,0.0,0.0,0,0,1,273,45.0,81,30.04,30.1157,0,0,21649,19484100,45.0,39.53,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 23:34:00-07:00
1741587540000,0.0,0.0,0,0,1,273,44.6,83,30.04,30.1157,0,0,21649,19484100,44.6,39.76,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 23:19:00-07:00
1741586640000,0.0,0.0,0,0,1,273,44.2,83,30.03,30.1058,0,0,21649,19484100,44.2,39.37,2025-03-06T11:04:00.000Z,2025-03-09,4.29,,,2025-03-09 23:04:00-07:00
1741585740000,0.0,0.0,0,0,1,273,44.2,82,30.03,30.1058,0,0,21649,19484100,44.2,39.06,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 22:49:00-07:00
1741584840000,0.0,0.0,0,0,1,273,44.8,80,30.04,30.1157,0,0,21649,19484100,44.8,39.01,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 22:34:00-07:00
1741583940000,0.6711,2.4606,0,0,1,273,45.1,79,30.03,30.1056,0,0,21649,19484100,45.1,38.98,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 22:19:00-07:00
1741583040000,0.0,0.0,0,0,1,273,45.9,77,30.03,30.1055,0,0,21649,19484100,45.9,39.1,2025-03-06T11:04:00.000Z,2025-03-09,4.3,,,2025-03-09 22:04:00-07:00
1741582140000,0.0,0.0,0,0,1,273,46.6,76,30.03,30.1054,0,0,21649,19484100,46.6,39.45,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 21:49:00-07:00
1741581240000,0.0,0.0,0,0,1,273,46.8,75,30.03,30.1054,0,0,21649,19484100,46.8,39.3,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 21:34:00-07:00
1741580340000,0.0,0.0,0,0,1,273,47.1,73,30.04,30.1154,0,0,21649,19484100,47.1,38.9,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 21:19:00-07:00
1741579440000,0.0,0.0,0,0,1,273,47.7,74,30.04,30.1153,0,0,21649,19484100,47.7,39.83,2025-03-06T11:04:00.000Z,2025-03-09,4.31,,,2025-03-09 21:04:00-07:00
1741578540000,0.0,0.0,0,0,1,273,49.3,68,30.05,30.1251,0,0,21649,19484100,49.3,39.19,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 20:49:00-07:00
1741577640000,0.6711,2.2369,0,0,1,273,50.5,64,30.06,30.1349,0,0,21649,19484100,50.5,38.78,,2025-03-09,,America/Los_Angeles,True,2025-03-09 20:34:00-07:00
1741576740000,1.1185,4.6976,0,0,1,273,51.1,66,30.06,30.1348,0,0,21649,19484100,51.1,40.14,2025-03-06T11:04:00.000Z,2025-03-09,4.31,,,2025-03-09 20:19:00-07:00
1741575840000,1.5659,4.4739,0,0,1,273,51.3,68,30.06,30.1348,0,0,21649,19484100,51.3,41.1,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 20:04:00-07:00
1741574940000,1.5659,5.145,0,0,1,270,51.4,70,30.06,30.1348,0,0,21649,19484100,51.4,41.95,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 19:49:00-07:00
1741574040000,2.908,6.9345,0,0,1,293,52.0,76,30.06,30.1347,0,0,21649,19484100,52.0,44.67,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 19:34:00-07:00
1741573140000,4.2502,8.5004,0,0,1,286,52.3,80,30.06,30.1346,0,0,21649,19484100,52.3,46.32,2025-03-06T11:04:00.000Z,2025-03-09,4.32,,,2025-03-09 19:19:00-07:00
1741572240000,5.3686,12.5268,0,0,1,284,52.9,79,30.07,30.1446,9,8100,21640,19484100,52.9,46.57,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 19:04:00-07:00
1741571340000,6.0397,10.5136,0,0,1,283,53.4,80,30.07,30.1445,35,31500,21605,19476000,53.4,47.39,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 18:49:00-07:00
1741570440000,6.9345,11.8558,0,0,1,282,53.6,83,30.07,30.1445,66,59400,21539,19444500,53.6,48.56,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 18:34:00-07:00
1741569540000,7.1582,13.4216,0,0,1,284,54.3,81,30.08,30.1544,102,91800,21292,19254600,54.3,48.59,2025-03-06T11:04:00.000Z,2025-03-09,4.39,,,2025-03-09 18:19:00-07:00
1741568640000,7.6056,13.4216,0,0,1,278,54.9,77,30.08,30.1543,145,130500,21394,19293300,54.9,47.83,,2025-03-09,,America/Los_Angeles,True,2025-03-09 18:04:00-07:00
1741567740000,8.9477,13.6453,0,0,1,281,54.9,80,30.08,30.1543,190,171000,21102,19162800,54.9,48.85,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 17:49:00-07:00
1741566840000,8.9477,13.4216,0,0,1,278,55.0,79,30.09,30.1643,236,212400,20866,18991800,55.0,48.61,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 17:34:00-07:00
1741565940000,9.8425,14.7638,0,0,1,274,55.4,78,30.09,30.1643,285,256500,20581,18779400,55.4,48.66,2025-03-06T11:04:00.000Z,2025-03-09,4.38,,,2025-03-09 17:19:00-07:00
1741565040000,8.2767,11.8558,0,0,1,273,55.8,78,30.09,30.1642,333,299700,20248,18522900,55.8,49.04,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 17:04:00-07:00
1741564140000,9.3951,13.4216,0,0,1,273,55.8,76,30.09,30.1642,382,343800,19866,18223200,55.8,48.35,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 16:49:00-07:00
1741563240000,8.5004,14.5401,0,0,1,277,56.7,75,30.09,30.1641,429,386100,19437,17879400,56.7,48.86,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 16:34:00-07:00
1741562340000,9.6188,14.7638,0,0,1,277,56.8,74,30.1,30.1741,474,426600,18963,17493300,56.8,48.6,2025-03-06T11:04:00.000Z,2025-03-09,4.39,,,2025-03-09 16:19:00-07:00
1741561440000,10.5136,14.9875,0,0,1,276,56.5,74,30.11,30.1842,516,464400,18447,17066700,56.5,48.31,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 16:04:00-07:00
1741560540000,11.4084,17.0007,0,0,1,279,56.7,75,30.11,30.1841,555,499500,17892,16602300,56.7,48.86,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 15:49:00-07:00
1741559640000,10.961,16.3296,0,0,1,274,57.0,75,30.11,30.1841,593,533700,17299,16102800,57.0,49.15,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 15:34:00-07:00
1741558740000,11.6321,15.8822,0,0,1,269,56.7,76,30.11,30.1841,628,565200,16671,15569100,56.7,49.22,2025-03-06T11:04:00.000Z,2025-03-09,4.39,,,2025-03-09 15:19:00-07:00
1741557840000,10.0662,14.5401,0,0,1,270,56.8,76,30.11,30.1841,662,595800,16009,15003900,56.8,49.32,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 15:04:00-07:00
1741556940000,8.9477,13.1979,0,0,1,273,57.2,74,30.11,30.1841,690,621000,15319,14408100,57.2,48.99,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 14:49:00-07:00
1741556040000,8.053,11.6321,0,0,1,272,57.0,73,30.12,30.1941,715,643500,14604,13787100,57.0,48.43,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 14:34:00-07:00
1741555140000,8.2767,11.8558,0,0,1,271,56.8,73,30.13,30.2042,736,662400,13868,13143600,56.8,48.24,2025-03-06T11:04:00.000Z,2025-03-09,4.4,,,2025-03-09 14:19:00-07:00
1741554240000,8.5004,12.5268,0,0,1,272,57.2,71,30.13,30.2041,752,676800,13116,12481200,57.2,47.88,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 14:04:00-07:00
1741553340000,8.2767,12.0795,0,0,1,274,56.3,76,30.14,30.2143,763,686700,12353,11804400,56.3,48.83,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 13:49:00-07:00
1741552440000,8.053,11.8558,0,0,1,274,56.5,75,30.15,30.2243,772,694800,11581,11117700,56.5,48.67,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 13:34:00-07:00
1741551540000,8.053,12.0795,0,0,1,272,56.5,76,30.16,30.2343,776,698400,10805,10422900,56.5,49.03,2025-03-06T11:04:00.000Z,2025-03-09,4.4,,,2025-03-09 13:19:00-07:00
1741550640000,8.7241,12.9742,0,0,1,272,56.1,76,30.16,30.2343,776,698400,10029,9724500,56.1,48.64,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 13:04:00-07:00
1741549740000,8.7241,13.1979,0,0,1,273,55.2,81,30.17,30.2445,772,694800,9257,9026100,55.2,49.47,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 12:49:00-07:00
1741548840000,9.1714,12.5268,0,0,1,273,55.8,81,30.18,30.2544,763,686700,8494,8331300,55.8,50.06,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 12:34:00-07:00
1741547940000,9.6188,14.3164,0,0,1,276,55.6,81,30.19,30.2645,749,674100,7745,7644600,55.6,49.86,2025-03-06T11:04:00.000Z,2025-03-09,4.42,,,2025-03-09 12:19:00-07:00
1741547040000,9.6188,14.3164,0,0,1,274,55.8,80,30.19,30.2645,733,659700,7012,6970500,55.8,49.72,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 12:04:00-07:00
1741546140000,9.1714,14.0927,0,0,1,270,55.8,81,30.2,30.2745,713,641700,6299,6310800,55.8,50.06,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 11:49:00-07:00
1741545240000,7.1582,11.6321,0,0,1,261,57.7,68,30.2,30.2742,692,622800,5607,5669100,57.7,47.21,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 11:34:00-07:00
1741544340000,5.145,7.8293,0,0,1,236,56.8,71,30.2,30.2743,665,598500,4942,5046300,56.8,47.5,2025-03-06T11:04:00.000Z,2025-03-09,4.53,,,2025-03-09 11:19:00-07:00
1741543440000,4.6976,6.7108,0,0,1,207,55.2,79,30.2,30.2746,633,569700,4309,4447800,55.2,48.8,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 11:04:00-07:00
1741542540000,4.0265,5.816,0,0,1,208,55.8,77,30.2,30.2745,598,538200,3711,3878100,55.8,48.7,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 10:49:00-07:00
1741541640000,4.0265,5.816,0,0,1,215,55.6,77,30.2,30.2745,561,504900,3150,3339900,55.6,48.5,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 10:34:00-07:00
1741540740000,4.0265,6.2634,0,0,1,234,55.0,80,30.21,30.2846,519,467100,2631,2835000,55.0,48.94,2025-03-06T11:04:00.000Z,2025-03-09,4.67,,,2025-03-09 10:19:00-07:00
1741539840000,3.5791,7.1582,0,0,1,252,54.1,83,30.21,30.2848,476,428400,2155,2367900,54.1,49.05,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 10:04:00-07:00
1741538940000,4.4739,7.3819,0,0,1,268,52.7,86,30.22,30.295,429,386100,1726,1939500,52.7,48.63,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 09:49:00-07:00
1741538040000,4.6976,6.9345,0,0,1,273,51.6,86,30.22,30.2951,382,343800,1344,1553400,51.6,47.55,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 09:34:00-07:00
1741537140000,5.5923,8.9477,0,0,1,280,50.7,88,30.22,30.2953,332,298800,1012,1209600,50.7,47.28,2025-03-06T11:04:00.000Z,2025-03-09,4.46,,,2025-03-09 09:19:00-07:00
1741536240000,5.3686,7.8293,0,0,1,274,50.2,90,30.21,30.2853,281,252900,731,910800,50.2,47.38,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 09:04:00-07:00
1741535340000,1.7895,6.9345,0,0,1,326,49.3,94,30.2,30.2754,239,215100,492,657900,49.3,47.65,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 08:49:00-07:00
1741534440000,0.0,1.5659,0,0,1,347,46.0,96,30.2,30.2759,198,178200,294,442800,46.0,44.92,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 08:34:00-07:00
1741533540000,0.6711,2.2369,0,0,1,347,43.9,97,30.19,30.2662,152,136800,142,264600,43.9,43.1,2025-03-06T11:04:00.000Z,2025-03-09,4.25,,,2025-03-09 08:19:00-07:00
1741532640000,0.8948,3.1317,0,0,1,347,42.3,97,30.18,30.2564,98,88200,44,127800,42.3,41.51,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 08:04:00-07:00
1741531740000,0.6711,1.3422,0,0,1,347,41.5,97,30.18,30.2566,34,30600,10,39600,41.5,40.71,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 07:49:00-07:00
1741530840000,1.5659,2.4606,0,0,1,347,41.0,96,30.18,30.2566,9,8100,1,9000,41.0,39.95,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 07:34:00-07:00
1741529940000,0.8948,1.7895,0,0,1,347,41.7,96,30.18,30.2565,1,900,0,900,41.7,40.64,2025-03-06T11:04:00.000Z,2025-03-09,4.24,,,2025-03-09 07:19:00-07:00
1741529040000,1.7895,2.6843,0,0,1,347,41.0,96,30.18,30.2566,0,0,0,0,41.0,39.95,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 07:04:00-07:00
1741528140000,1.5659,2.2369,0,0,1,347,40.1,95,30.18,30.2568,0,0,0,0,40.1,38.78,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 06:49:00-07:00
1741527240000,1.5659,2.4606,0,0,1,347,40.3,95,30.18,30.2567,0,0,0,0,40.3,38.98,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 06:34:00-07:00
1741526340000,0.6711,1.7895,0,0,1,347,39.7,94,30.17,30.2468,0,0,0,0,39.7,38.12,2025-03-06T11:04:00.000Z,2025-03-09,4.25,,,2025-03-09 06:19:00-07:00
1741525440000,0.8948,2.0132,0,0,1,347,39.4,93,30.17,30.2469,0,0,0,0,39.4,37.55,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 06:04:00-07:00
1741524540000,0.2237,2.0132,0,0,1,347,39.6,93,30.17,30.2468,0,0,0,0,39.6,37.75,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 05:49:00-07:00
1741523640000,0.0,0.0,0,0,1,347,39.6,92,30.17,30.2468,0,0,0,0,39.6,37.47,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 05:34:00-07:00
1741522740000,0.0,0.0,0,0,1,347,40.5,92,30.16,30.2367,0,0,0,0,40.5,38.36,2025-03-06T11:04:00.000Z,2025-03-09,4.25,,,2025-03-09 05:19:00-07:00
1741521840000,0.2237,2.2369,0,0,1,347,40.5,92,30.17,30.2467,0,0,0,0,40.5,38.36,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 05:04:00-07:00
1741520940000,0.4474,2.0132,0,0,1,347,40.3,92,30.17,30.2467,0,0,0,0,40.3,38.16,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 04:49:00-07:00
1741520040000,0.4474,2.2369,0,0,1,347,40.1,92,30.17,30.2467,0,0,0,0,40.1,37.97,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 04:34:00-07:00
1741519140000,0.0,1.1185,0,0,1,347,40.1,91,30.18,30.2568,0,0,0,0,40.1,37.69,2025-03-06T11:04:00.000Z,2025-03-09,4.25,,,2025-03-09 04:19:00-07:00
1741518240000,0.0,0.0,0,0,1,347,40.3,90,30.18,30.2567,0,0,0,0,40.3,37.6,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 04:04:00-07:00
1741517340000,0.2237,2.0132,0,0,1,347,41.4,88,30.19,30.2666,0,0,0,0,41.4,38.12,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 03:49:00-07:00
1741516440000,1.5659,2.4606,0,0,1,347,41.9,87,30.19,30.2665,0,0,0,0,41.9,38.32,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 03:34:00-07:00
1741515540000,1.1185,2.0132,0,0,1,347,43.0,86,30.2,30.2764,0,0,0,0,43.0,39.1,2025-03-06T11:04:00.000Z,2025-03-09,4.25,,,2025-03-09 03:19:00-07:00
1741514640000,1.1185,2.0132,0,0,1,347,43.2,85,30.21,30.2864,0,0,0,0,43.2,39.0,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 03:04:00-07:00
1741513740000,1.5659,2.908,0,0,1,347,42.6,85,30.21,30.2865,0,0,0,0,42.6,38.41,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 01:49:00-08:00
1741512840000,0.2237,2.0132,0,0,1,347,42.8,84,30.22,30.2965,0,0,0,0,42.8,38.31,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 01:34:00-08:00
1741511940000,0.0,0.0,0,0,1,347,42.6,83,30.22,30.2965,0,0,0,0,42.6,37.81,2025-03-06T11:04:00.000Z,2025-03-09,4.26,,,2025-03-09 01:19:00-08:00
1741511040000,0.8948,2.0132,0,0,1,347,43.5,80,30.22,30.2964,0,0,0,0,43.5,37.75,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 01:04:00-08:00
1741510140000,1.1185,2.2369,0,0,1,347,44.1,78,30.22,30.2963,0,0,0,0,44.1,37.69,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 00:49:00-08:00
1741509240000,1.1185,3.3554,0,0,1,332,43.7,82,30.22,30.2963,0,0,0,0,43.7,38.57,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 00:34:00-08:00
1741508340000,0.0,0.0,0,0,1,297,42.8,83,30.23,30.3065,0,0,0,0,42.8,38.0,2025-03-06T11:04:00.000Z,2025-03-09,4.27,,,2025-03-09 00:19:00-08:00
1741507440000,0.0,0.0,0,0,1,297,43.0,82,30.23,30.3065,0,0,0,0,43.0,37.89,2025-03-06T11:04:00.000Z,2025-03-09,,,,2025-03-09 00:04:00-08:00
1741506540000,0.0,0.0,0,0,1,297,43.5,80,30.23,30.3064,0,0,21765,19588500,43.5,37.75,2025-03-06T11:04:00.000Z,2025-03-08,,,,2025-03-08 23:49:00-08:00
1741505640000,0.0,0.0,0,0,1,297,44.4,77,30.24,30.3163,0,0,21765,19588500,44.4,37.65,2025-03-06T11:04:00.000Z,2025-03-08,,,,2025-03-08 23:34:00-08:00
1741504740000,0.0,0.0,0,0,1,297,45.5,74,30.24,30.3161,0,0,21765,19588500,45.5,37.7,2025-03-06T11:04:00.000Z,2025-03-08,4.28,,,2025-03-08 23:19:00-08:00
1741503840000,0.0,0.0,0,0,1,297,46.4,72,30.24,30.316,0,0,21765,19588500,46.4,37.87,2025-03-06T11:04:00.000Z,2025-03-08,,,,2025-03-08 23:04:00-08:00
