dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,tz,historical,batt1volts,local_time
1742799000000,0.0,0.0,0,0,1,153,52.9,96,30.01,30.0844,0,0,23284,20955600,52.9,51.79,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 23:50:00-07:00
1742798100000,0.0,0.0,0,0,1,153,53.2,95,30.01,30.0844,0,0,23284,20955600,53.2,51.8,,2025-03-23,America/Los_Angeles,True,,2025-03-23 23:35:00-07:00
1742797200000,0.0,0.0,0,0,1,153,53.1,95,30.01,30.0844,0,0,23284,20955600,53.1,51.71,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 23:20:00-07:00
1742796300000,0.0,0.0,0,0,1,153,53.2,95,30.01,30.0844,0,0,23284,20955600,53.2,51.8,2025-03-17T20:19:00.000Z,2025-03-23,,,4.29,2025-03-23 23:05:00-07:00
1742795400000,0.0,1.5659,0,0,1,153,53.6,95,30.0,30.0743,0,0,23284,20955600,53.6,52.2,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 22:50:00-07:00
1742794500000,0.0,0.0,0,0,1,153,53.8,95,29.99,30.0643,0,0,23284,20955600,53.8,52.4,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 22:35:00-07:00
1742793600000,0.0,0.0,0,0,1,153,54.0,95,29.99,30.0642,0,0,23284,20955600,54.0,52.6,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 22:20:00-07:00
1742792700000,0.0,0.0,0,0,1,153,53.6,95,29.99,30.0643,0,0,23284,20955600,53.6,52.2,2025-03-17T20:19:00.000Z,2025-03-23,,,4.3,2025-03-23 22:05:00-07:00
1742791800000,0.0,0.0,0,0,1,153,54.0,95,30.0,30.0742,0,0,23284,20955600,54.0,52.6,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 21:50:00-07:00
1742790900000,0.0,0.0,0,0,1,153,54.1,95,30.0,30.0742,0,0,23284,20955600,54.1,52.7,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 21:35:00-07:00
1742790000000,0.0,1.3422,0,0,1,153,54.1,95,29.99,30.0642,0,0,23284,20955600,54.1,52.7,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 21:20:00-07:00
1742789100000,0.0,2.0132,0,0,1,153,54.0,94,29.99,30.0642,0,0,23284,20955600,54.0,52.31,2025-03-17T20:19:00.000Z,2025-03-23,,,4.31,2025-03-23 21:05:00-07:00
1742788200000,0.0,0.0,0,0,1,153,54.3,94,29.99,30.0642,0,0,23284,20955600,54.3,52.61,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 20:50:00-07:00
1742787300000,0.2237,2.2369,0,0,1,153,54.3,94,29.98,30.0542,0,0,23284,20955600,54.3,52.61,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 20:35:00-07:00
1742786400000,1.3422,2.4606,0,0,1,153,54.3,93,29.97,30.0441,0,0,23284,20955600,54.3,52.32,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 20:20:00-07:00
1742785500000,1.5659,3.1317,0,0,1,153,54.5,92,29.96,30.0341,0,0,23284,20955600,54.5,52.22,2025-03-17T20:19:00.000Z,2025-03-23,,,4.31,2025-03-23 20:05:00-07:00
1742784600000,0.0,2.2369,0,0,1,153,55.6,91,29.96,30.0339,0,0,23284,20955600,55.6,53.01,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 19:50:00-07:00
1742783640000,0.0,0.0,0,0,1,153,55.8,90,29.96,30.0339,0,0,23284,20955600,55.8,52.91,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 19:34:00-07:00
1742782800000,0.2237,1.5659,0,0,1,153,56.1,90,29.97,30.0439,5,4500,23279,20955600,56.1,53.21,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 19:20:00-07:00
1742781900000,1.1185,2.6843,0,0,1,153,56.8,89,29.97,30.0438,25,22500,23254,20951100,56.8,53.59,2025-03-17T20:19:00.000Z,2025-03-23,,,4.32,2025-03-23 19:05:00-07:00
1742781000000,1.3422,4.2502,0,0,1,199,57.2,88,29.97,30.0437,55,49500,23199,20928600,57.2,53.68,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 18:50:00-07:00
1742780100000,0.2237,2.2369,0,0,1,232,57.7,87,29.96,30.0336,90,81000,23109,20879100,57.7,53.86,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 18:35:00-07:00
1742779200000,0.8948,3.1317,0,0,1,233,58.3,85,29.96,30.0335,129,116100,22980,20798100,58.3,53.81,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 18:20:00-07:00
1742778300000,2.2369,4.2502,0,0,1,233,59.2,82,29.95,30.0234,173,155700,22807,20682000,59.2,53.71,2025-03-17T20:19:00.000Z,2025-03-23,,,4.39,2025-03-23 18:05:00-07:00
1742777400000,2.2369,4.2502,0,0,1,233,59.4,80,29.95,30.0234,218,196200,22589,20526300,59.4,53.23,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 17:50:00-07:00
1742776500000,3.3554,5.816,0,0,1,233,59.7,81,29.95,30.0233,264,237600,22325,20330100,59.7,53.86,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 17:35:00-07:00
1742775600000,4.2502,6.7108,0,0,1,248,59.7,82,29.96,30.0333,314,282600,21238,19396800,59.7,54.19,2025-03-17T20:19:00.000Z,2025-03-23,,,,2025-03-23 17:20:00-07:00
1742774700000,5.145,7.8293,0,0,1,243,59.5,83,29.96,30.0334,363,326700,21552,19809900,59.5,54.33,,2025-03-23,America/Los_Angeles,True,4.34,2025-03-23 17:05:00-07:00
1742773800000,6.4871,9.3951,0,0,1,246,60.1,82,29.96,30.0333,410,369000,21552,19483200,60.1,54.58,,2025-03-23,America/Los_Angeles,True,,2025-03-23 16:50:00-07:00
