dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,lastRain,batt1volts,local_time
1742885400000,0.2237,3.1317,0,0,1,76,54.0,96,29.99,30.0642,0,0,0,21245400,America/Los_Angeles,True,54.0,52.88,2025-03-24,,,2025-03-24 23:50:00-07:00
1742884500000,0.4474,3.1317,0,0,1,73,54.1,96,29.99,30.0642,0,0,23606,21245400,,,54.1,52.98,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 23:35:00-07:00
1742883600000,0.0,1.5659,0,0,1,261,54.0,96,29.99,30.0642,0,0,23606,21245400,,,54.0,52.88,2025-03-24,2025-03-17T20:19:00.000Z,4.29,2025-03-24 23:20:00-07:00
1742882700000,0.0,0.0,0,0,1,262,53.6,96,29.98,30.0543,0,0,23606,21245400,,,53.6,52.49,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 23:05:00-07:00
1742881800000,0.0,1.1185,0,0,1,262,53.2,96,29.98,30.0543,0,0,23606,21245400,,,53.2,52.09,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 22:50:00-07:00
1742880900000,0.0,0.0,0,0,1,262,53.8,96,29.97,30.0442,0,0,23606,21245400,,,53.8,52.69,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 22:35:00-07:00
1742880000000,0.0,0.0,0,0,1,262,54.0,96,29.97,30.0442,0,0,23606,21245400,,,54.0,52.88,2025-03-24,2025-03-17T20:19:00.000Z,4.3,2025-03-24 22:20:00-07:00
1742879100000,0.0,0.0,0,0,1,262,54.3,96,29.97,30.0441,0,0,23606,21245400,,,54.3,53.18,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 22:05:00-07:00
1742878200000,0.0,0.0,0,0,1,262,54.0,95,29.98,30.0542,0,0,23606,21245400,,,54.0,52.6,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 21:50:00-07:00
1742877300000,0.0,0.0,0,0,1,262,54.1,95,29.98,30.0542,0,0,23606,21245400,,,54.1,52.7,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 21:35:00-07:00
1742876400000,0.0,0.0,0,0,1,262,54.3,94,29.98,30.0542,0,0,23606,21245400,,,54.3,52.61,2025-03-24,2025-03-17T20:19:00.000Z,4.3,2025-03-24 21:20:00-07:00
1742875500000,0.0,0.0,0,0,1,262,54.7,94,29.98,30.0541,0,0,23606,21245400,,,54.7,53.01,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 21:05:00-07:00
1742874600000,0.4474,2.4606,0,0,1,262,55.0,94,29.98,30.0541,0,0,23606,21245400,,,55.0,53.3,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 20:50:00-07:00
1742873700000,2.6843,4.0265,0,0,1,262,55.2,95,29.97,30.044,0,0,23606,21245400,America/Los_Angeles,True,55.2,53.79,2025-03-24,,,2025-03-24 20:35:00-07:00
1742872800000,1.5659,2.908,0,0,1,262,55.4,94,29.97,30.044,0,0,23606,21245400,,,55.4,53.7,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 20:20:00-07:00
1742871900000,1.5659,3.1317,0,0,1,262,55.4,93,29.96,30.0339,0,0,23606,21245400,,,55.4,53.41,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 20:05:00-07:00
1742871000000,0.4474,3.1317,0,0,1,262,55.8,93,29.96,30.0339,0,0,23606,21245400,,,55.8,53.81,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 19:50:00-07:00
1742870100000,3.3554,5.3686,0,0,1,262,56.1,92,29.96,30.0338,0,0,23606,21245400,,,56.1,53.81,2025-03-24,2025-03-17T20:19:00.000Z,4.31,2025-03-24 19:35:00-07:00
1742869200000,4.4739,8.7241,0,0,1,281,57.2,90,29.96,30.0337,5,4500,23601,21245400,,,57.2,54.29,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 19:20:00-07:00
1742868300000,5.3686,9.8425,0,0,1,272,57.7,89,29.96,30.0336,28,25200,23573,21240900,,,57.7,54.48,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 19:05:00-07:00
1742867400000,6.4871,12.9742,0,0,1,277,58.1,88,29.96,30.0336,59,53100,23514,21215700,,,58.1,54.56,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 18:50:00-07:00
1742866500000,8.053,13.6453,0,0,1,276,58.6,87,29.96,30.0335,95,85500,23419,21162600,,,58.6,54.74,2025-03-24,2025-03-17T20:19:00.000Z,4.36,2025-03-24 18:35:00-07:00
1742865600000,8.053,13.1979,0,0,1,279,59.4,86,29.96,30.0334,136,122400,23283,21077100,,,59.4,55.21,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 18:20:00-07:00
1742864700000,8.053,14.0927,0,0,1,277,59.9,85,29.96,30.0333,180,162000,23103,20954700,,,59.9,55.38,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 18:05:00-07:00
1742863800000,7.8293,12.3031,0,0,1,279,60.3,85,29.96,30.0332,228,205200,22875,20792700,,,60.3,55.77,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 17:50:00-07:00
1742862900000,7.6056,12.0795,0,0,1,275,60.4,84,29.96,30.0332,277,249300,22598,20587500,,,60.4,55.54,2025-03-24,2025-03-17T20:19:00.000Z,4.4,2025-03-24 17:35:00-07:00
1742862000000,7.6056,11.4084,0,0,1,266,61.0,84,29.96,30.0331,327,294300,22271,20338200,,,61.0,56.13,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 17:20:00-07:00
1742861100000,7.8293,11.1847,0,0,1,259,60.8,84,29.96,30.0332,376,338400,21895,20043900,,,60.8,55.93,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 17:05:00-07:00
1742860140000,7.1582,10.7373,0,0,1,259,62.1,80,29.95,30.023,425,382500,21470,19705500,,,62.1,55.85,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 16:49:00-07:00
1742859300000,7.6056,10.961,0,0,1,271,62.4,79,29.96,30.033,472,424800,20998,19323000,,,62.4,55.8,2025-03-24,2025-03-17T20:19:00.000Z,4.39,2025-03-24 16:35:00-07:00
1742858400000,7.8293,11.6321,0,0,1,268,62.2,79,29.96,30.033,517,465300,20481,18898200,,,62.2,55.6,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 16:20:00-07:00
1742857500000,9.1714,14.0927,0,0,1,271,62.2,79,29.96,30.033,560,504000,19921,18432900,,,62.2,55.6,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 16:05:00-07:00
1742856600000,9.6188,15.4349,0,0,1,275,61.9,81,29.96,30.033,599,539100,19322,17928900,,,61.9,56.0,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 15:50:00-07:00
1742855700000,10.0662,15.4349,0,0,1,272,61.7,82,29.97,30.0431,637,573300,18685,17389800,,,61.7,56.15,2025-03-24,2025-03-17T20:19:00.000Z,4.39,2025-03-24 15:35:00-07:00
1742854800000,10.5136,15.8822,0,0,1,270,61.7,82,29.97,30.0431,671,603900,18014,16816500,,,61.7,56.15,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 15:20:00-07:00
1742853900000,10.2899,15.2112,0,0,1,270,61.5,82,29.97,30.0431,702,631800,17312,16212600,,,61.5,55.95,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 15:05:00-07:00
1742853000000,9.8425,16.5533,0,0,1,266,61.5,82,29.97,30.0431,731,657900,16581,15580800,,,61.5,55.95,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 14:50:00-07:00
1742852100000,10.0662,14.7638,0,0,1,266,61.7,81,29.97,30.0431,757,681300,15824,14922900,,,61.7,55.81,2025-03-24,2025-03-17T20:19:00.000Z,4.39,2025-03-24 14:35:00-07:00
1742851200000,10.2899,15.8822,0,0,1,272,61.9,81,29.97,30.043,778,700200,15046,14241600,,,61.9,56.0,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 14:20:00-07:00
1742850300000,10.5136,14.9875,0,0,1,265,61.5,82,29.98,30.0531,795,715500,14251,13541400,,,61.5,55.95,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 14:05:00-07:00
1742849400000,9.6188,14.5401,0,0,1,266,62.2,82,29.98,30.053,809,728100,13442,12825900,,,62.2,56.63,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 13:50:00-07:00
1742848500000,9.3951,12.9742,0,0,1,243,61.2,85,29.99,30.0632,817,735300,12625,12097800,,,61.2,56.65,2025-03-24,2025-03-17T20:19:00.000Z,4.4,2025-03-24 13:35:00-07:00
1742847600000,8.7241,12.0795,0,0,1,238,61.3,84,30.0,30.0732,822,739800,11803,11362500,,,61.3,56.42,2025-03-24,2025-03-17T20:19:00.000Z,,2025-03-24 13:20:00-07:00
