dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,tz,historical,local_time
1743231000000,0.4474,1.7895,0,0,1,329,52.3,73,4.29,29.92,29.9943,0,0,23647,21282300,52.3,43.91,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 23:50:00-07:00
1743230100000,0.0,1.5659,0,0,1,329,52.7,70,,29.92,29.9942,0,0,23647,21282300,52.7,43.19,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 23:35:00-07:00
1743229200000,0.0,0.0,0,0,1,329,53.1,71,,29.92,29.9942,0,0,23647,21282300,53.1,43.95,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 23:20:00-07:00
1743228300000,1.7895,9.3951,0,0,1,311,53.4,69,,29.93,30.0042,0,0,23647,21282300,53.4,43.49,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 23:05:00-07:00
1743227400000,0.6711,4.4739,0,0,1,303,53.6,70,4.29,29.93,30.0041,0,0,23647,21282300,53.6,44.06,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 22:50:00-07:00
1743226500000,0.2237,2.0132,0,0,1,162,54.5,72,,29.93,30.004,0,0,23647,21282300,54.5,45.66,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 22:35:00-07:00
1743225600000,1.5659,4.0265,0,0,1,162,54.5,72,,29.92,29.994,0,0,23647,21282300,54.5,45.66,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 22:20:00-07:00
1743224700000,0.4474,2.908,0,0,1,263,54.1,68,,29.92,29.994,0,0,23647,21282300,54.1,43.78,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 22:05:00-07:00
1743223800000,1.1185,3.8028,0,0,1,280,54.7,66,4.3,29.92,29.9939,0,0,23647,21282300,54.7,43.57,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 21:50:00-07:00
1743222900000,0.2237,3.8028,0,0,1,280,55.4,63,,29.92,29.9938,0,0,23647,21282300,55.4,43.02,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 21:35:00-07:00
1743222000000,1.7895,6.9345,0,0,1,279,57.0,60,,29.92,29.9936,0,0,23647,21282300,57.0,43.25,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 21:20:00-07:00
1743221100000,4.4739,9.8425,0,0,1,291,57.6,63,,29.91,29.9835,0,0,23647,21282300,57.6,45.1,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 21:05:00-07:00
1743220200000,2.4606,9.8425,0,0,1,291,57.6,65,4.31,29.91,29.9835,0,0,23647,21282300,57.6,45.92,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 20:50:00-07:00
1743219300000,7.1582,15.8822,0,0,1,283,57.6,66,,29.9,29.9735,0,0,23647,21282300,57.6,46.32,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 20:35:00-07:00
1743218400000,8.9477,21.922,0,0,1,288,57.4,68,,29.9,29.9735,0,0,23647,21282300,57.4,46.93,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 20:20:00-07:00
1743217500000,10.961,19.685,0,0,1,282,57.2,68,,29.9,29.9735,0,0,23647,21282300,57.2,46.73,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 20:05:00-07:00
1743216600000,10.961,18.1192,0,0,1,275,57.4,68,4.32,29.9,29.9735,0,0,23647,21282300,57.4,46.93,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 19:50:00-07:00
1743215700000,8.2767,17.4481,0,0,1,262,57.9,66,,29.9,29.9734,0,0,23647,21282300,57.9,46.61,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 19:35:00-07:00
1743214800000,2.6843,11.1847,0,0,1,250,58.6,64,,29.89,29.9633,2,1800,23645,21282300,58.6,46.46,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 19:20:00-07:00
1743213900000,2.4606,9.8425,0,0,1,258,60.6,60,,29.9,29.9731,14,12600,23631,21280500,60.6,46.64,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 19:05:00-07:00
1743213000000,2.6843,8.9477,0,0,1,290,62.2,57,4.33,29.89,29.9628,38,34200,23593,21267900,62.2,46.78,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 18:50:00-07:00
1743212100000,3.1317,12.9742,0,0,1,312,62.6,56,,29.89,29.9628,97,87300,23496,21233700,62.6,46.68,2025-03-26T14:50:00.000Z,2025-03-28,,,2025-03-28 18:35:00-07:00
