dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,batt1volts,lastRain,local_time
1744267800000,0.6711,4.0265,0,0,1,11,55.8,91,30.06,30.1341,0,0,0,23281200,America/Los_Angeles,True,55.8,53.21,2025-04-09,,,2025-04-09 23:50:00-07:00
1744266900000,0.8948,4.4739,0,0,1,95,55.6,91,30.06,30.1342,0,0,25868,23281200,,,55.6,53.01,2025-04-09,4.29,2025-04-01T21:20:00.000Z,2025-04-09 23:35:00-07:00
1744266000000,0.4474,3.1317,0,0,1,101,55.6,90,30.06,30.1342,0,0,25868,23281200,,,55.6,52.71,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 23:20:00-07:00
1744265100000,0.8948,4.6976,0,0,1,103,55.8,90,30.06,30.1341,0,0,25868,23281200,,,55.8,52.91,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 23:05:00-07:00
1744264200000,1.1185,6.7108,0,0,1,110,55.9,90,30.06,30.1341,0,0,25868,23281200,,,55.9,53.01,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 22:50:00-07:00
1744263300000,2.0132,6.7108,0,0,1,56,56.1,89,30.06,30.1341,0,0,25868,23281200,,,56.1,52.9,2025-04-09,4.29,2025-04-01T21:20:00.000Z,2025-04-09 22:35:00-07:00
1744262400000,2.0132,5.145,0,0,1,66,56.3,89,30.06,30.1341,0,0,25868,23281200,,,56.3,53.1,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 22:20:00-07:00
1744261500000,1.7895,8.5004,0,0,1,52,56.5,89,30.06,30.134,0,0,25868,23281200,,,56.5,53.3,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 22:05:00-07:00
1744260600000,1.3422,5.3686,0,0,1,85,56.5,89,30.06,30.134,0,0,25868,23281200,,,56.5,53.3,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 21:50:00-07:00
1744259700000,1.5659,6.0397,0,0,1,71,56.5,89,30.05,30.124,0,0,25868,23281200,,,56.5,53.3,2025-04-09,4.3,2025-04-01T21:20:00.000Z,2025-04-09 21:35:00-07:00
1744258800000,0.8948,4.4739,0,0,1,97,56.3,89,30.05,30.124,0,0,25868,23281200,,,56.3,53.1,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 21:20:00-07:00
1744257900000,0.0,1.5659,0,0,1,182,56.1,90,30.04,30.114,0,0,25868,23281200,,,56.1,53.21,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 21:05:00-07:00
1744257000000,0.6711,2.2369,0,0,1,182,55.6,90,30.04,30.1141,0,0,25868,23281200,,,55.6,52.71,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 20:50:00-07:00
1744256100000,0.8948,2.6843,0,0,1,182,56.1,90,30.03,30.104,0,0,25868,23281200,,,56.1,53.21,2025-04-09,4.31,2025-04-01T21:20:00.000Z,2025-04-09 20:35:00-07:00
1744255200000,0.0,1.5659,0,0,1,182,56.1,90,30.03,30.104,0,0,25868,23281200,,,56.1,53.21,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 20:20:00-07:00
1744254300000,0.0,1.3422,0,0,1,182,56.1,90,30.03,30.104,0,0,25868,23281200,,,56.1,53.21,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 20:05:00-07:00
1744253400000,0.0,1.5659,0,0,1,182,56.3,90,30.03,30.104,0,0,25867,23280300,,,56.3,53.4,2025-04-09,,2025-04-01T21:20:00.000Z,2025-04-09 19:50:00-07:00
1744252500000,0.8948,2.2369,0,0,1,182,56.8,90,30.02,30.0939,1,900,25867,23281200,America/Los_Angeles,True,56.8,53.9,2025-04-09,4.31,,2025-04-09 19:35:00-07:00
