dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,date,batt1volts,local_time
1744699800000,0.0,0.0,0,0,1,277,53.1,89,30.0,30.0744,0,0,8637,7773300,53.1,49.94,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 23:50:00-07:00
1744698900000,0.0,0.0,0,0,1,277,52.9,88,29.99,30.0644,0,0,8637,7773300,52.9,49.44,2025-04-01T21:20:00.000Z,2025-04-14,4.29,2025-04-14 23:35:00-07:00
1744698000000,0.0,0.0,0,0,1,277,52.9,88,29.99,30.0644,0,0,8637,7773300,52.9,49.44,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 23:20:00-07:00
1744697100000,0.0,0.0,0,0,1,277,53.1,87,29.99,30.0644,0,0,8637,7773300,53.1,49.33,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 23:05:00-07:00
1744696200000,0.0,0.0,0,0,1,277,53.4,86,29.99,30.0643,0,0,8637,7773300,53.4,49.32,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 22:50:00-07:00
1744695300000,0.2237,2.4606,0,0,1,277,54.0,85,29.99,30.0642,0,0,8637,7773300,54.0,49.59,2025-04-01T21:20:00.000Z,2025-04-14,4.3,2025-04-14 22:35:00-07:00
1744694400000,0.0,2.0132,0,0,1,277,53.8,86,29.99,30.0643,0,0,8637,7773300,53.8,49.71,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 22:20:00-07:00
1744693500000,0.2237,2.0132,0,0,1,277,53.6,87,29.99,30.0643,0,0,8637,7773300,53.6,49.82,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 22:05:00-07:00
1744692600000,0.0,2.2369,0,0,1,277,53.6,87,29.99,30.0643,0,0,8637,7773300,53.6,49.82,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 21:50:00-07:00
1744691700000,0.0,0.0,0,0,1,277,53.8,88,29.99,30.0643,0,0,8637,7773300,53.8,50.33,2025-04-01T21:20:00.000Z,2025-04-14,4.3,2025-04-14 21:35:00-07:00
1744690800000,0.8948,4.2502,0,0,1,277,53.6,89,29.99,30.0643,0,0,8637,7773300,53.6,50.44,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 21:20:00-07:00
1744689900000,0.4474,2.908,0,0,1,277,53.6,89,29.99,30.0643,0,0,8637,7773300,53.6,50.44,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 21:05:00-07:00
1744689000000,1.3422,4.9213,0,0,1,277,53.4,89,29.98,30.0543,0,0,8637,7773300,53.4,50.24,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 20:50:00-07:00
1744688100000,2.2369,5.816,0,0,1,277,53.2,89,29.98,30.0543,0,0,8637,7773300,53.2,50.04,2025-04-01T21:20:00.000Z,2025-04-14,4.31,2025-04-14 20:35:00-07:00
1744687200000,3.8028,6.4871,0,0,1,262,53.1,90,29.97,30.0443,0,0,8637,7773300,53.1,50.24,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 20:20:00-07:00
1744686300000,2.4606,5.5923,0,0,1,248,52.9,90,29.97,30.0443,0,0,8637,7773300,52.9,50.05,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 20:05:00-07:00
1744685400000,2.2369,4.0265,0,0,1,232,53.4,89,29.97,30.0443,0,0,8637,7773300,53.4,50.24,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 19:50:00-07:00
1744684500000,2.908,6.0397,0,0,1,234,54.5,86,29.97,30.0441,3,2700,8634,7773300,54.5,50.4,2025-04-01T21:20:00.000Z,2025-04-14,4.31,2025-04-14 19:35:00-07:00
1744683600000,0.0,1.5659,0,0,1,267,56.3,81,29.97,30.0438,14,12600,8620,7770600,56.3,50.54,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 19:20:00-07:00
1744682700000,0.0,0.0,0,0,1,267,57.0,80,29.97,30.0437,48,43200,8572,7758000,57.0,50.89,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 19:05:00-07:00
1744681800000,0.4474,4.6976,0,0,1,267,56.5,83,29.98,30.0538,86,77400,8486,7714800,56.5,51.4,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 18:50:00-07:00
1744680900000,2.908,6.4871,0,0,1,270,56.1,84,29.99,30.0639,77,69300,8409,7637400,56.1,51.33,2025-04-01T21:20:00.000Z,2025-04-14,4.33,2025-04-14 18:35:00-07:00
1744680000000,3.8028,7.3819,0,0,1,280,55.9,84,29.99,30.0639,87,78300,8322,7568100,55.9,51.14,2025-04-01T21:20:00.000Z,2025-04-14,,2025-04-14 18:20:00-07:00
