dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,passkey,time,loc,date,tz,historical,local_time
1746514200000,2.0132,4.2502,0,0,1,263,55.0,89,4.29,29.89,29.9638,0,0,25758,23182200,55.0,51.82,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 23:50:00-07:00
1746513300000,1.3422,4.9213,0,0,1,207,55.6,88,,29.89,29.9637,0,0,25758,23182200,55.6,52.1,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 23:35:00-07:00
1746512400000,0.0,0.0,0,0,1,202,55.8,88,,29.89,29.9637,0,0,25758,23182200,55.8,52.3,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 23:20:00-07:00
1746511500000,0.0,0.0,0,0,1,202,55.6,88,,29.89,29.9637,0,0,25758,23182200,55.6,52.1,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 23:05:00-07:00
1746510600000,0.0,0.0,0,0,1,202,55.4,87,4.3,29.88,29.9537,0,0,25758,23182200,55.4,51.59,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 22:50:00-07:00
1746509700000,0.0,0.0,0,0,1,202,56.3,86,,29.88,29.9536,0,0,25758,23182200,56.3,52.17,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 22:35:00-07:00
1746508800000,0.0,0.0,0,0,1,202,56.8,86,,29.88,29.9535,0,0,25758,23182200,56.8,52.66,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 22:20:00-07:00
1746507900000,0.0,0.0,0,0,1,202,56.7,86,,29.88,29.9536,0,0,25758,23182200,56.7,52.56,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 22:05:00-07:00
1746507000000,0.0,0.0,0,0,1,202,56.8,86,4.3,29.88,29.9535,0,0,25758,23182200,56.8,52.66,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 21:50:00-07:00
1746506100000,0.0,0.0,0,0,1,202,57.0,85,,29.87,29.9435,0,0,25758,23182200,57.0,52.53,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 21:35:00-07:00
1746505200000,0.0,0.0,0,0,1,202,57.6,85,,29.87,29.9434,0,0,25758,23182200,57.6,53.12,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 21:20:00-07:00
1746504300000,0.0,0.0,0,0,1,202,57.7,84,,29.87,29.9434,0,0,25758,23182200,57.7,52.9,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 21:05:00-07:00
1746503400000,0.2237,2.2369,0,0,1,202,57.6,84,4.31,29.86,29.9334,0,0,25758,23182200,57.6,52.8,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 20:50:00-07:00
1746502500000,0.0,0.0,0,0,1,202,57.4,85,,29.85,29.9234,0,0,25758,23182200,57.4,52.93,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 20:35:00-07:00
1746501600000,0.0,0.0,0,0,1,202,57.2,85,,29.85,29.9234,0,0,25758,23182200,57.2,52.73,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 20:20:00-07:00
1746500700000,0.0,1.1185,0,0,1,202,57.2,85,,29.84,29.9134,0,0,25758,23182200,57.2,52.73,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 20:05:00-07:00
1746499800000,1.1185,2.908,0,0,1,202,57.2,84,4.31,29.84,29.9134,5,4500,25753,23182200,57.2,52.41,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 19:50:00-07:00
1746498900000,1.1185,2.6843,0,0,1,202,57.6,83,,29.83,29.9033,20,18000,25733,23177700,57.6,52.47,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 19:35:00-07:00
1746498000000,1.1185,3.1317,0,0,1,202,58.1,82,,29.83,29.9032,44,39600,25689,23159700,58.1,52.63,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 19:20:00-07:00
1746497100000,2.2369,4.2502,0,0,1,202,58.6,80,,29.82,29.8931,77,69300,25612,23120100,58.6,52.45,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 19:05:00-07:00
1746496200000,2.2369,4.4739,0,0,1,202,59.2,79,4.33,29.82,29.8931,113,101700,25499,23050800,59.2,52.69,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 18:50:00-07:00
1746495300000,3.3554,5.5923,0,0,1,202,59.4,79,,29.81,29.883,153,137700,25346,22949100,59.4,52.88,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 18:35:00-07:00
1746494400000,3.5791,5.816,0,0,1,202,59.7,78,,29.81,29.883,197,177300,25149,22811400,59.7,52.83,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 18:20:00-07:00
1746493500000,3.8028,6.9345,0,0,1,195,60.3,77,,29.81,29.8829,240,216000,24909,22634100,60.3,53.06,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 18:05:00-07:00
1746492600000,4.0265,7.6056,0,0,1,198,60.8,77,4.38,29.81,29.8828,294,264600,24615,22418100,60.8,53.54,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 17:50:00-07:00
1746491700000,4.6976,7.8293,0,0,1,194,61.2,76,,29.8,29.8727,368,331200,24247,22153500,61.2,53.57,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 17:35:00-07:00
1746490800000,4.2502,7.1582,0,0,1,205,61.2,77,,29.8,29.8727,373,335700,23874,21822300,61.2,53.93,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 17:20:00-07:00
1746489900000,4.9213,7.3819,0,0,1,216,62.4,73,,29.8,29.8726,461,414900,23413,21486600,62.4,53.63,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-05,,,2025-05-05 17:05:00-07:00
1746489000000,4.0265,6.7108,0,0,1,222,61.9,74,4.38,29.8,29.8726,508,457200,22905,21071700,61.9,53.52,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 16:50:00-07:00
1746488100000,4.2502,6.7108,0,0,1,208,61.7,74,,29.8,29.8727,535,481500,22370,20614500,61.7,53.32,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 16:35:00-07:00
1746487200000,5.145,7.8293,0,0,1,209,61.5,75,,29.8,29.8727,578,520200,21792,20133000,61.5,53.5,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 16:20:00-07:00
1746486300000,5.3686,8.5004,0,0,1,209,61.5,75,,29.79,29.8627,619,557100,21173,19612800,61.5,53.5,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 16:05:00-07:00
1746485400000,5.3686,8.9477,0,0,1,211,61.5,75,4.39,29.79,29.8627,660,594000,20513,19055700,61.5,53.5,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 15:50:00-07:00
1746484500000,4.9213,7.3819,0,0,1,204,61.7,74,,29.8,29.8727,696,626400,19817,18461700,61.7,53.32,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 15:35:00-07:00
1746483600000,4.6976,7.6056,0,0,1,208,62.1,73,,29.8,29.8726,730,657000,19087,17835300,62.1,53.34,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 15:20:00-07:00
1746482700000,4.6976,7.6056,0,0,1,212,62.4,73,,29.8,29.8726,763,686700,18324,17178300,62.4,53.63,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 15:05:00-07:00
1746481800000,4.9213,8.7241,0,0,1,217,62.2,74,4.39,29.8,29.8726,791,711900,17533,16491600,62.2,53.81,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 14:50:00-07:00
1746480900000,4.9213,7.6056,0,0,1,224,62.1,74,,29.81,29.8826,816,734400,16717,15779700,62.1,53.71,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 14:35:00-07:00
1746480000000,5.3686,8.5004,0,0,1,229,62.6,74,,29.81,29.8826,837,753300,15880,15045300,62.6,54.19,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 14:20:00-07:00
1746479100000,4.2502,7.8293,0,0,1,237,62.4,75,,29.81,29.8826,867,780300,15013,14292000,62.4,54.37,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 14:05:00-07:00
1746478200000,5.145,8.2767,0,0,1,210,61.2,77,4.39,29.81,29.8828,832,748800,14181,13511700,61.2,53.93,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 13:50:00-07:00
1746477300000,5.145,8.5004,0,0,1,212,61.2,78,,29.81,29.8828,843,758700,13338,12762900,61.2,54.28,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 13:35:00-07:00
1746476400000,4.4739,6.9345,0,0,1,195,61.5,77,,29.81,29.8827,796,716400,12542,12004200,61.5,54.22,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746403200000,7395c226de765e6694f274e64ffcfa1e/daily/1746403200000.json,2025-05-05,,,2025-05-05 13:20:00-07:00
