dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,date,local_time
1748674200000,2.2369,5.816,0,0,1,86,56.8,93,4.29,29.91,29.9836,0,0,0,26542800,America/Los_Angeles,True,56.8,54.8,2025-05-30,2025-05-30 23:50:00-07:00
1748673300000,2.0132,5.145,0,0,1,84,56.8,92,,29.91,29.9836,0,0,29492,26542800,,,56.8,54.5,2025-05-30,2025-05-30 23:35:00-07:00
1748672400000,2.2369,4.2502,0,0,1,84,56.5,92,,29.91,29.9837,0,0,29492,26542800,,,56.5,54.2,2025-05-30,2025-05-30 23:20:00-07:00
1748671500000,1.3422,3.5791,0,0,1,226,56.7,92,4.29,29.9,29.9736,0,0,29492,26542800,,,56.7,54.4,2025-05-30,2025-05-30 23:05:00-07:00
1748670600000,0.0,0.0,0,0,1,246,57.4,92,,29.89,29.9635,0,0,29492,26542800,,,57.4,55.09,2025-05-30,2025-05-30 22:50:00-07:00
1748669700000,0.0,0.0,0,0,1,246,57.2,91,,29.89,29.9635,0,0,29492,26542800,,,57.2,54.6,2025-05-30,2025-05-30 22:35:00-07:00
1748668800000,0.0,0.0,0,0,1,246,57.0,91,,29.89,29.9635,0,0,29492,26542800,,,57.0,54.4,2025-05-30,2025-05-30 22:20:00-07:00
1748667900000,0.0,0.0,0,0,1,246,57.4,91,4.3,29.89,29.9635,0,0,29492,26542800,,,57.4,54.79,2025-05-30,2025-05-30 22:05:00-07:00
1748667000000,0.0,1.3422,0,0,1,246,57.7,91,,29.89,29.9634,0,0,29492,26542800,,,57.7,55.09,2025-05-30,2025-05-30 21:50:00-07:00
1748666100000,0.0,0.8948,0,0,1,246,57.6,90,,29.88,29.9534,0,0,29492,26542800,,,57.6,54.69,2025-05-30,2025-05-30 21:35:00-07:00
1748665200000,0.0,0.0,0,0,1,246,57.9,90,,29.88,29.9534,0,0,29492,26542800,,,57.9,54.98,2025-05-30,2025-05-30 21:20:00-07:00
1748664300000,0.0,0.0,0,0,1,246,58.1,90,4.3,29.88,29.9534,0,0,29492,26542800,,,58.1,55.18,2025-05-30,2025-05-30 21:05:00-07:00
