dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,batt1volts,local_time
1751957400000,0.0,0.8948,0,0,1,284,57.0,88,53.48,57.0,30.01,30.0838,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 23:50:00-07:00
1751956500000,0.0,0.8948,0,0,1,284,57.2,88,53.68,57.2,30.01,30.0838,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 23:35:00-07:00
1751955600000,0.0,1.1185,0,0,1,284,57.4,88,53.87,57.4,30.01,30.0838,0,0,25297,22767300,,2025-07-07,America/Los_Angeles,True,,2025-07-07 23:20:00-07:00
1751954700000,0.0,0.0,0,0,1,284,57.4,87,53.56,57.4,30.0,30.0738,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,4.29,2025-07-07 23:05:00-07:00
1751953800000,0.0,0.0,0,0,1,284,57.7,87,53.86,57.7,30.0,30.0737,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 22:50:00-07:00
1751952900000,0.0,0.0,0,0,1,284,57.9,87,54.05,57.9,30.0,30.0737,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 22:35:00-07:00
1751952000000,0.0,0.0,0,0,1,284,58.3,87,54.45,58.3,29.99,30.0636,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 22:20:00-07:00
1751951100000,0.0,0.0,0,0,1,284,58.5,88,54.96,58.5,29.99,30.0636,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,4.3,2025-07-07 22:05:00-07:00
1751950200000,0.0,0.0,0,0,1,284,58.8,88,55.25,58.8,29.98,30.0535,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 21:50:00-07:00
1751949300000,0.0,0.0,0,0,1,284,59.0,87,55.13,59.0,29.97,30.0435,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 21:35:00-07:00
1751948400000,0.0,0.0,0,0,1,284,59.7,86,55.5,59.7,29.97,30.0434,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 21:20:00-07:00
1751947500000,0.2237,3.1317,0,0,1,284,60.3,86,56.09,60.3,29.97,30.0433,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,4.31,2025-07-07 21:05:00-07:00
1751946600000,2.2369,7.3819,0,0,1,284,60.6,85,56.06,60.6,29.97,30.0432,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 20:50:00-07:00
1751945700000,2.908,6.9345,0,0,1,282,60.8,85,56.26,60.8,29.97,30.0432,0,0,25297,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 20:35:00-07:00
1751944800000,4.9213,9.1714,0,0,1,262,61.2,84,56.32,61.2,29.96,30.0331,3,2700,25294,22767300,2025-06-28T12:35:00.000Z,2025-07-07,,,,2025-07-07 20:20:00-07:00
