dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,batt1volts,lastRain,local_time
1756623000000,0.0,0.0,0,0,1,273,63.9,92,61.53,63.9,29.86,29.9325,0,0,0,22619700,America/Los_Angeles,True,2025-08-30,,,2025-08-30 23:50:00-07:00
1756622100000,0.0,0.0,0,0,1,273,64.0,92,61.63,64.0,29.86,29.9325,0,0,25133,22619700,,,2025-08-30,4.29,2025-08-16T03:20:00.000Z,2025-08-30 23:35:00-07:00
1756621200000,0.0,0.0,0,0,1,273,64.6,92,62.22,64.6,29.86,29.9324,0,0,25133,22619700,America/Los_Angeles,True,2025-08-30,,,2025-08-30 23:20:00-07:00
1756620300000,0.0,0.0,0,0,1,273,64.6,91,61.91,64.6,29.86,29.9324,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 23:05:00-07:00
1756619400000,0.0,0.0,0,0,1,273,64.8,91,62.11,64.8,29.86,29.9324,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 22:50:00-07:00
1756618500000,0.0,0.0,0,0,1,273,65.3,91,62.6,65.3,29.86,29.9323,0,0,25133,22619700,,,2025-08-30,4.29,2025-08-16T03:20:00.000Z,2025-08-30 22:35:00-07:00
1756617600000,0.0,1.1185,0,0,1,273,64.9,91,62.21,64.9,29.86,29.9324,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 22:20:00-07:00
1756616700000,0.0,0.0,0,0,1,273,65.3,90,62.29,65.3,29.86,29.9323,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 22:05:00-07:00
1756615800000,0.0,0.0,0,0,1,273,65.8,90,62.78,65.8,29.86,29.9322,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 21:50:00-07:00
1756614900000,0.0,1.3422,0,0,1,273,66.6,90,63.57,66.6,29.85,29.9221,0,0,25133,22619700,,,2025-08-30,4.3,2025-08-16T03:20:00.000Z,2025-08-30 21:35:00-07:00
1756614000000,0.0,0.0,0,0,1,273,66.4,90,63.37,66.4,29.85,29.9221,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 21:20:00-07:00
1756613100000,0.0,0.0,0,0,1,273,65.7,89,62.36,65.7,29.84,29.9122,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 21:05:00-07:00
1756612200000,0.0,0.0,0,0,1,273,66.0,88,62.34,66.0,29.84,29.9122,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 20:50:00-07:00
1756611300000,0.0,0.0,0,0,1,273,66.7,88,63.03,66.7,29.84,29.9121,0,0,25133,22619700,,,2025-08-30,4.3,2025-08-16T03:20:00.000Z,2025-08-30 20:35:00-07:00
1756610400000,0.0,0.0,0,0,1,273,67.1,88,63.42,67.1,29.84,29.912,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 20:20:00-07:00
1756609500000,0.6711,2.4606,0,0,1,273,67.6,87,63.59,67.6,29.84,29.9119,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 20:05:00-07:00
1756608600000,2.0132,2.908,0,0,1,273,68.0,86,63.65,68.0,29.84,29.9119,0,0,25133,22619700,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 19:50:00-07:00
1756607700000,2.4606,4.0265,0,0,1,273,68.9,83,63.52,69.39,29.84,29.9118,1,900,25132,22619700,,,2025-08-30,4.31,2025-08-16T03:20:00.000Z,2025-08-30 19:35:00-07:00
1756606800000,2.2369,4.0265,0,0,1,273,70.0,80,63.54,70.46,29.83,29.9016,15,13500,25117,22618800,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 19:20:00-07:00
1756605900000,2.908,5.145,0,0,1,273,71.1,78,63.88,71.58,29.84,29.9115,41,36900,25076,22605300,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 19:05:00-07:00
1756605000000,3.3554,6.2634,0,0,1,273,71.8,77,64.19,72.3,29.83,29.9014,72,64800,25004,22568400,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 18:50:00-07:00
1756604100000,4.6976,8.053,0,0,1,250,72.0,78,64.75,72.57,29.84,29.9113,108,97200,24896,22503600,,,2025-08-30,4.33,2025-08-16T03:20:00.000Z,2025-08-30 18:35:00-07:00
1756603200000,5.816,8.9477,0,0,1,244,72.5,77,64.87,73.07,29.83,29.9013,147,132300,24749,22406400,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 18:20:00-07:00
1756602300000,6.0397,10.0662,0,0,1,247,74.3,71,64.27,74.77,29.83,29.901,191,171900,24558,22274100,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 18:05:00-07:00
1756601400000,4.9213,9.8425,0,0,1,264,75.9,65,63.27,76.25,29.83,29.9008,238,214200,24320,22102200,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 17:50:00-07:00
1756600500000,4.6976,10.0662,0,0,1,276,76.5,62,62.49,76.76,29.83,29.9007,285,256500,24035,21888000,,,2025-08-30,4.37,2025-08-16T03:20:00.000Z,2025-08-30 17:35:00-07:00
1756599600000,5.5923,10.0662,0,0,1,274,76.6,61,62.13,76.83,29.83,29.9007,333,299700,23702,21631500,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 17:20:00-07:00
1756598700000,5.3686,10.7373,0,0,1,273,77.0,61,62.5,77.27,29.83,29.9007,381,342900,23321,21331800,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 17:05:00-07:00
1756597800000,5.145,10.0662,0,0,1,271,76.6,64,63.49,76.97,29.83,29.9007,428,385200,22893,20988900,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 16:50:00-07:00
1756596900000,5.145,10.0662,0,0,1,254,76.5,68,65.13,77.05,29.84,29.9107,475,427500,22418,20603700,,,2025-08-30,4.37,2025-08-16T03:20:00.000Z,2025-08-30 16:35:00-07:00
1756596000000,5.816,10.2899,0,0,1,254,76.6,67,64.8,77.11,29.84,29.9107,519,467100,21899,20176200,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 16:20:00-07:00
1756595100000,5.5923,9.6188,0,0,1,259,76.1,68,64.75,76.61,29.85,29.9208,562,505800,21337,19709100,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 16:05:00-07:00
1756594200000,7.1582,10.2899,0,0,1,242,75.2,70,64.73,75.71,29.85,29.9209,602,541800,17966,16711200,,,2025-08-30,,2025-08-16T03:20:00.000Z,2025-08-30 15:50:00-07:00
