dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,local_time
1760079000000,0.0,0.0,0,0,1,288,58.3,92,55.98,58.3,29.91,29.9834,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 23:50:00-07:00
1760078100000,0.0,0.0,0,0,1,288,58.1,91,55.48,58.1,29.91,29.9834,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 23:35:00-07:00
1760077200000,0.0,0.0,0,0,1,288,58.3,91,55.68,58.3,29.91,29.9834,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 23:20:00-07:00
1760076300000,0.0,1.3422,0,0,1,288,58.3,91,55.68,58.3,29.91,29.9834,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,4.28,2025-10-09 23:05:00-07:00
1760075400000,0.0,0.0,0,0,1,288,58.1,91,55.48,58.1,29.91,29.9834,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 22:50:00-07:00
1760074500000,0.0,0.0,0,0,1,288,57.9,91,55.29,57.9,29.91,29.9835,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 22:35:00-07:00
1760073600000,0.0,0.0,0,0,1,288,58.3,91,55.68,58.3,29.9,29.9734,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 22:20:00-07:00
1760072700000,0.2237,2.4606,0,0,1,288,59.2,90,56.27,59.2,29.9,29.9733,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,4.29,2025-10-09 22:05:00-07:00
1760071800000,0.0,1.3422,0,0,1,288,59.4,90,56.46,59.4,29.9,29.9732,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 21:50:00-07:00
1760070900000,0.0,0.0,0,0,1,288,59.9,89,56.65,59.9,29.89,29.9631,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 21:35:00-07:00
1760070000000,0.0,0.0,0,0,1,288,60.3,89,57.04,60.3,29.89,29.9631,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 21:20:00-07:00
1760069100000,0.0,0.0,0,0,1,288,60.4,88,56.83,60.4,29.88,29.953,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,4.3,2025-10-09 21:05:00-07:00
1760068200000,0.0,0.0,0,0,1,288,61.0,87,57.1,61.0,29.88,29.953,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 20:50:00-07:00
1760067300000,0.0,0.0,0,0,1,288,61.7,85,57.14,61.7,29.87,29.9428,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 20:35:00-07:00
1760066400000,0.0,0.0,0,0,1,288,62.8,83,57.56,62.8,29.87,29.9427,0,0,20189,18170100,2025-09-26T12:35:00.000Z,2025-10-09,,2025-10-09 20:20:00-07:00
