dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,local_time
1760251800000,0.0,0.0,0,0,1,330,59.0,49,4.27,39.87,59.0,29.75,29.8229,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 23:50:00-07:00
1760250900000,0.0,1.3422,0,0,1,330,59.2,50,,40.57,59.2,29.75,29.8229,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 23:35:00-07:00
1760250000000,1.1185,2.908,0,0,1,330,60.6,48,,40.8,60.6,29.75,29.8227,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 23:20:00-07:00
1760249100000,1.5659,3.3554,0,0,1,330,63.0,43,,40.15,63.0,29.75,29.8224,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 23:05:00-07:00
1760248200000,0.6711,2.4606,0,0,1,330,63.9,42,4.28,40.35,63.9,29.75,29.8222,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 22:50:00-07:00
1760247300000,0.8948,4.9213,0,0,1,330,63.7,43,,40.78,63.7,29.75,29.8223,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 22:35:00-07:00
1760246400000,0.2237,2.4606,0,0,1,334,64.8,42,,41.16,64.8,29.75,29.8221,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 22:20:00-07:00
1760245500000,1.3422,4.0265,0,0,1,334,66.4,40,,41.34,66.4,29.75,29.8219,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 22:05:00-07:00
1760244600000,2.0132,5.145,0,0,1,334,67.1,40,4.28,41.96,67.1,29.75,29.8218,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 21:50:00-07:00
1760243700000,1.5659,5.145,0,0,1,334,66.6,42,,42.78,66.6,29.75,29.8219,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 21:35:00-07:00
1760242800000,2.2369,5.145,0,0,1,334,64.4,45,,42.59,64.4,29.75,29.8222,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 21:20:00-07:00
1760241900000,1.5659,4.2502,0,0,1,334,63.7,47,,43.09,63.7,29.75,29.8223,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 21:05:00-07:00
1760241000000,0.6711,3.1317,0,0,1,334,65.7,45,4.29,43.77,65.7,29.75,29.822,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 20:50:00-07:00
1760240100000,1.1185,3.3554,0,0,1,334,66.2,45,,44.23,66.2,29.75,29.8219,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 20:35:00-07:00
1760239200000,0.0,2.4606,0,0,1,334,67.1,44,,44.45,67.1,29.75,29.8218,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 20:20:00-07:00
1760238300000,0.4474,2.4606,0,0,1,334,67.1,46,,45.62,67.1,29.74,29.8118,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 20:05:00-07:00
1760237400000,0.0,1.1185,0,0,1,334,67.1,48,4.3,46.75,67.1,29.74,29.8118,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 19:50:00-07:00
1760236500000,1.3422,5.145,0,0,1,290,67.6,53,,49.85,67.6,29.74,29.8117,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 19:35:00-07:00
1760235600000,2.2369,10.7373,0,0,1,309,68.4,56,,52.08,67.57,29.73,29.8016,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 19:20:00-07:00
1760234700000,4.4739,14.9875,0,0,1,285,69.6,49,,49.58,68.56,29.73,29.8014,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 19:05:00-07:00
1760233800000,4.2502,15.2112,0,0,1,301,70.9,46,4.31,49.08,69.85,29.73,29.8012,0,0,20165,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 18:50:00-07:00
1760232900000,3.5791,11.8558,0,0,1,316,72.9,41,,47.81,71.82,29.72,29.7909,3,2700,20162,18148500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 18:35:00-07:00
1760232000000,3.3554,12.5268,0,0,1,302,73.9,40,,48.04,72.87,29.72,29.7908,24,21600,20138,18145800,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 18:20:00-07:00
1760231100000,7.8293,17.8955,0,0,1,282,74.5,42,,49.89,73.62,29.71,29.7807,56,50400,20082,18124200,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 18:05:00-07:00
1760230200000,5.5923,16.3296,0,0,1,291,78.1,36,4.36,48.95,77.3,29.71,29.7802,95,85500,19987,18073800,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 17:50:00-07:00
1760229300000,3.5791,15.4349,0,0,1,308,81.0,29,,45.72,79.74,29.7,29.7698,136,122400,19851,17988300,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 17:35:00-07:00
1760228400000,3.8028,13.4216,0,0,1,330,82.9,25,,43.44,80.76,29.7,29.7696,180,162000,19671,17865900,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 17:20:00-07:00
1760227500000,3.3554,9.8425,0,0,1,333,84.4,22,,41.37,81.68,29.69,29.7594,226,203400,19445,17703900,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 17:05:00-07:00
1760226600000,4.4739,11.4084,0,0,1,337,85.1,20,4.36,39.49,82.11,29.69,29.7593,279,251100,19166,17500500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 16:50:00-07:00
1760225700000,3.3554,10.961,0,0,1,319,85.5,22,,42.28,82.55,29.69,29.7592,326,293400,18840,17249400,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 16:35:00-07:00
1760224800000,5.145,15.6586,0,0,1,298,85.6,24,,44.64,82.77,29.69,29.7592,370,333000,18470,16956000,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 16:20:00-07:00
1760223900000,3.8028,12.5268,0,0,1,327,87.3,17,,37.13,83.75,29.68,29.749,415,373500,18055,16623000,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 16:05:00-07:00
1760223000000,4.6976,10.5136,0,0,1,337,87.1,17,4.37,36.97,83.59,29.68,29.749,459,413100,17596,16249500,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 15:50:00-07:00
1760222100000,4.0265,10.5136,0,0,1,345,87.8,17,,37.53,84.17,29.68,29.7489,502,451800,17094,15836400,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 15:35:00-07:00
1760221200000,4.2502,11.8558,0,0,1,338,88.3,17,,37.93,84.59,29.68,29.7489,540,486000,16554,15384600,2025-09-26T12:35:00.000Z,2025-10-11,2025-10-11 15:20:00-07:00
