dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,tz,historical,local_time
1761720660000,0.0,0.0,0.0,0.01,1,287,58.6,84,4.27,53.78,58.6,29.99,30.0636,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 23:51:00-07:00
1761719760000,0.0,2.0132,0.0,0.01,1,287,58.6,84,,53.78,58.6,29.99,30.0636,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 23:36:00-07:00
1761718860000,0.0,2.2369,0.0,0.01,1,287,58.6,84,,53.78,58.6,29.99,30.0636,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 23:21:00-07:00
1761717960000,0.0,2.4606,0.0,0.01,1,287,59.2,84,,54.37,59.2,29.99,30.0635,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 23:06:00-07:00
1761717060000,0.0,2.0132,0.0,0.01,1,287,59.4,84,4.28,54.56,59.4,29.99,30.0634,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 22:51:00-07:00
1761716160000,0.0,0.0,0.0,0.01,1,287,59.7,84,,54.86,59.7,29.99,30.0634,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 22:36:00-07:00
1761715260000,0.0,1.1185,0.0,0.01,1,287,59.9,86,,55.7,59.9,29.99,30.0634,0,0,17337,15603300,,2025-10-28,America/Los_Angeles,True,2025-10-28 22:21:00-07:00
1761714360000,0.0,0.0,0.0,0.01,1,287,60.6,85,4.29,56.06,60.6,29.98,30.0533,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 22:06:00-07:00
1761713460000,0.0,1.7895,0.0,0.01,1,287,61.2,85,,56.65,61.2,29.98,30.0532,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 21:51:00-07:00
1761712500000,0.0,1.5659,0.0,0.01,1,287,61.0,84,,56.13,61.0,29.98,30.0532,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 21:35:00-07:00
1761711660000,0.0,1.5659,0.0,0.01,1,287,61.2,83,,55.99,61.2,29.97,30.0431,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 21:21:00-07:00
1761710760000,0.0,2.0132,0.0,0.01,1,287,61.9,82,,56.34,61.9,29.97,30.043,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 21:06:00-07:00
1761709860000,0.0,0.0,0.0,0.01,1,287,61.9,82,,56.34,61.9,29.97,30.043,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 20:51:00-07:00
1761708960000,0.2237,2.2369,0.0,0.01,1,287,62.4,82,,56.83,62.4,29.97,30.043,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 20:36:00-07:00
1761708060000,0.2237,2.0132,0.0,0.01,1,287,62.6,77,4.3,55.28,62.6,29.97,30.0429,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 20:21:00-07:00
1761707160000,0.0,1.3422,0.0,0.01,1,287,62.6,77,,55.28,62.6,29.97,30.0429,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 20:06:00-07:00
1761706260000,0.0,0.8948,0.0,0.01,1,287,63.0,75,,54.95,63.0,29.97,30.0429,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 19:51:00-07:00
1761705360000,0.0,0.0,0.0,0.01,1,287,63.7,73,,54.88,63.7,29.96,30.0328,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 19:36:00-07:00
1761704460000,0.0,0.0,0.0,0.01,1,287,63.9,75,4.31,55.82,63.9,29.96,30.0327,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 19:21:00-07:00
1761703560000,0.0,2.2369,0.0,0.01,1,287,65.1,74,,56.6,65.1,29.95,30.0226,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 19:06:00-07:00
1761702660000,0.4474,5.145,0.0,0.01,1,287,67.6,66,,55.83,67.6,29.95,30.0222,0,0,17337,15603300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 18:51:00-07:00
1761701760000,2.6843,5.816,0.0,0.01,1,287,65.8,75,,57.65,65.8,29.94,30.0124,0,0,17317,15585300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 18:36:00-07:00
1761700860000,0.0,1.5659,0.0,0.01,1,287,67.5,71,4.32,57.76,67.5,29.94,30.0122,1,900,17317,15603300,,2025-10-28,America/Los_Angeles,True,2025-10-28 18:21:00-07:00
1761699960000,2.0132,6.2634,0.0,0.01,1,293,72.1,54,,54.52,71.55,29.93,30.0015,19,17100,17317,15602400,,2025-10-28,America/Los_Angeles,True,2025-10-28 18:06:00-07:00
1761699060000,0.8948,6.0397,0.0,0.01,1,271,70.9,61,4.36,56.77,70.56,29.93,30.0017,49,44100,17268,15585300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 17:51:00-07:00
1761698160000,2.2369,6.0397,0.0,0.01,1,278,71.4,62,,57.69,71.15,29.92,29.9916,83,74700,17185,15541200,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 17:36:00-07:00
1761697260000,1.7895,5.145,0.0,0.01,1,296,72.3,59,,57.16,72.0,29.92,29.9915,122,109800,17063,15466500,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 17:21:00-07:00
1761696360000,4.9213,9.8425,0.0,0.01,1,278,71.8,61,,57.61,71.55,29.93,30.0016,164,147600,16899,15356700,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 17:06:00-07:00
1761695460000,4.6976,10.5136,0.0,0.01,1,270,73.2,56,4.37,56.55,72.85,29.93,30.0014,208,187200,16691,15209100,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 16:51:00-07:00
1761694560000,5.145,10.5136,0.0,0.01,1,274,72.5,61,,58.27,72.32,29.93,30.0015,251,225900,16440,15021900,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 16:36:00-07:00
1761693660000,5.5923,10.5136,0.0,0.01,1,282,71.4,64,,58.58,71.25,29.93,30.0016,295,265500,16145,14796000,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 16:21:00-07:00
1761692760000,6.2634,11.6321,0.0,0.01,1,278,71.1,65,,58.72,70.97,29.92,29.9917,339,305100,15806,14530500,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 16:06:00-07:00
1761691860000,6.4871,11.8558,0.0,0.01,1,272,72.7,62,4.37,58.91,72.58,29.92,29.9914,380,342000,15426,14225400,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 15:51:00-07:00
1761690960000,5.816,12.7505,0.0,0.01,1,269,73.0,59,,57.81,72.77,29.92,29.9914,420,378000,15006,13883400,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 15:36:00-07:00
1761690060000,7.3819,12.3031,0.0,0.01,1,250,75.6,52,,56.72,75.3,29.91,29.981,458,412200,14548,13505400,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 15:21:00-07:00
1761689160000,4.9213,9.8425,0.0,0.01,1,272,77.7,45,,54.65,77.28,29.91,29.9808,494,444600,14054,13093200,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 15:06:00-07:00
1761688260000,6.0397,10.961,0.0,0.01,1,273,76.8,49,4.37,56.17,76.48,29.91,29.9809,525,472500,13529,12648600,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 14:51:00-07:00
1761687360000,5.816,9.8425,0.0,0.01,1,276,76.6,51,,57.1,76.36,29.91,29.9809,554,498600,12975,12176100,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 14:36:00-07:00
1761686460000,6.4871,11.6321,0.0,0.01,1,279,76.3,50,,56.27,75.98,29.91,29.9809,580,522000,12395,11677500,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 14:21:00-07:00
1761685560000,5.145,10.7373,0.0,0.01,1,275,76.1,56,,59.25,76.04,29.92,29.991,602,541800,11793,11155500,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 14:06:00-07:00
1761684660000,5.145,9.6188,0.0,0.01,1,273,76.5,55,4.38,59.11,76.43,29.92,29.9909,622,559800,9887,9458100,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 13:51:00-07:00
1761683760000,4.6976,9.6188,0.0,0.01,1,285,75.7,57,,59.37,75.65,29.93,30.0011,637,573300,10509,10053900,,2025-10-28,America/Los_Angeles,True,2025-10-28 13:36:00-07:00
1761682860000,5.3686,8.7241,0.0,0.01,1,261,74.5,62,,60.61,74.56,29.93,30.0012,647,582300,10509,9480600,,2025-10-28,America/Los_Angeles,True,2025-10-28 13:21:00-07:00
1761681960000,5.145,10.2899,0.0,0.01,1,273,73.9,63,,60.5,73.95,29.94,30.0113,655,589500,9232,8898300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 13:06:00-07:00
1761681060000,4.6976,8.7241,0.0,0.01,1,274,73.4,65,,60.9,73.5,29.94,30.0114,657,591300,8575,8308800,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 12:51:00-07:00
1761680160000,4.9213,8.9477,0.0,0.01,1,271,72.3,69,,61.55,72.47,29.95,30.0216,656,590400,7919,7717500,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 12:36:00-07:00
1761679260000,4.9213,8.5004,0.0,0.01,1,264,72.3,70,4.38,61.95,72.52,29.95,30.0216,652,586800,7267,7127100,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 12:21:00-07:00
1761678360000,5.3686,8.7241,0.0,0.01,1,265,71.1,73,,61.99,71.34,29.96,30.0318,643,578700,6624,6540300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 12:06:00-07:00
1761677460000,4.6976,8.7241,0.0,0.01,1,251,71.2,73,,62.09,71.45,29.96,30.0317,631,567900,5993,5961600,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 11:51:00-07:00
1761676560000,6.0397,9.6188,0.0,0.01,1,253,70.9,73,4.39,61.8,71.12,29.96,30.0318,615,553500,5378,5393700,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 11:36:00-07:00
1761675660000,4.4739,8.5004,0.0,0.01,1,257,71.2,71,,61.3,71.36,29.96,30.0317,595,535500,4783,4840200,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 11:21:00-07:00
1761674760000,3.5791,6.4871,0.0,0.01,1,257,71.2,71,,61.3,71.36,29.96,30.0317,572,514800,4211,4304700,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 11:06:00-07:00
1761673860000,4.2502,6.7108,0.0,0.01,1,236,69.6,74,,60.94,69.74,29.97,30.042,545,490500,3666,3789900,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 10:51:00-07:00
1761672960000,4.6976,7.1582,0.0,0.01,1,200,69.1,74,4.44,60.45,69.19,29.97,30.0421,515,463500,3151,3299400,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 10:36:00-07:00
1761672060000,2.4606,7.6056,0.0,0.01,1,232,70.3,72,,60.84,70.41,29.97,30.0419,482,433800,2224,2435400,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 10:21:00-07:00
1761671160000,0.4474,1.7895,0.0,0.01,1,306,68.9,74,,60.26,68.97,29.97,30.0421,445,400500,2706,2402100,,2025-10-28,America/Los_Angeles,True,2025-10-28 10:06:00-07:00
1761670260000,0.2237,2.0132,0.0,0.01,1,306,67.6,77,4.53,60.12,67.6,29.97,30.0423,407,366300,1817,2001600,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 09:51:00-07:00
1761669360000,0.4474,1.5659,0.0,0.01,1,306,66.4,80,,60.04,66.4,29.97,30.0424,369,332100,1448,1635300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 09:36:00-07:00
1761668460000,0.2237,2.0132,0.0,0.01,1,311,65.7,85,,61.06,65.7,29.97,30.0425,328,295200,1120,1303200,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 09:21:00-07:00
1761667560000,0.0,0.0,0.0,0.01,1,311,62.8,90,,59.82,62.8,29.97,30.0429,285,256500,835,1008000,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 09:06:00-07:00
1761666660000,0.2237,3.1317,0.0,0.01,1,311,58.5,92,4.47,56.18,58.5,29.97,30.0435,243,218700,430,605700,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 08:51:00-07:00
1761665760000,0.2237,2.4606,0.0,0.01,1,311,56.7,94,,54.99,56.7,29.97,30.0438,203,182700,227,387000,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 08:36:00-07:00
1761664860000,0.6711,3.8028,0.0,0.01,1,311,54.5,95,,53.1,54.5,29.96,30.0341,162,145800,673,350100,,2025-10-28,America/Los_Angeles,True,2025-10-28 08:21:00-07:00
1761663960000,0.2237,2.4606,0.0,0.01,1,311,53.6,95,4.23,52.2,53.6,29.96,30.0342,119,107100,108,204300,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 08:06:00-07:00
1761663060000,0.8948,2.908,0.0,0.01,1,311,52.3,95,,50.91,52.3,29.95,30.0244,76,68400,32,97200,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 07:51:00-07:00
1761662160000,0.8948,3.1317,0.0,0.01,1,311,52.7,95,,51.31,52.7,29.94,30.0143,30,27000,0,27000,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 07:36:00-07:00
1761661260000,1.1185,2.908,0.0,0.01,1,311,52.2,95,,50.81,52.2,29.94,30.0144,2,1800,30,1800,,2025-10-28,America/Los_Angeles,True,2025-10-28 07:21:00-07:00
1761660360000,0.8948,3.1317,0.0,0.01,1,311,51.6,94,,49.93,51.6,29.94,30.0144,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 07:06:00-07:00
1761659460000,0.0,2.2369,0.0,0.01,1,311,52.0,94,,50.33,52.0,29.94,30.0144,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 06:51:00-07:00
1761658560000,0.4474,2.908,0.0,0.01,1,311,53.2,94,,51.52,53.2,29.93,30.0042,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 06:36:00-07:00
1761657660000,0.8948,2.908,0.0,0.01,1,311,53.6,94,4.24,51.91,53.6,29.93,30.0041,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 06:21:00-07:00
1761656760000,0.8948,2.4606,0.0,0.01,1,311,53.6,94,,51.91,53.6,29.93,30.0041,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 06:06:00-07:00
1761655860000,0.4474,2.6843,0.0,0.01,1,323,53.2,94,,51.52,53.2,29.93,30.0042,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 05:51:00-07:00
1761654960000,0.0,0.0,0.0,0.01,1,113,53.4,94,,51.72,53.4,29.93,30.0042,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 05:36:00-07:00
1761654060000,0.0,0.0,0.0,0.01,1,113,54.1,94,4.25,52.41,54.1,29.92,29.994,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 05:21:00-07:00
1761653160000,0.0,0.0,0.0,0.01,1,113,54.3,93,,52.32,54.3,29.92,29.994,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 05:06:00-07:00
1761652260000,0.2237,2.6843,0.0,0.01,1,113,54.7,93,,52.72,54.7,29.92,29.9939,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 04:51:00-07:00
1761651360000,0.0,0.0,0.03,0.0,1,113,54.5,93,,52.52,54.5,29.92,29.994,0,0,0,0,2025-10-28T11:36:00.000Z,2025-10-28,,,2025-10-28 04:36:00-07:00
1761650460000,0.0,0.0,0.0,0.0,1,113,55.4,93,4.26,53.41,55.4,29.92,29.9938,0,0,0,0,2025-10-26T12:06:00.000Z,2025-10-28,,,2025-10-28 04:21:00-07:00
1761649560000,0.0,0.0,0.0,0.0,1,113,56.1,93,,54.1,56.1,29.92,29.9937,0,0,0,0,2025-10-26T12:06:00.000Z,2025-10-28,,,2025-10-28 04:06:00-07:00
1761648660000,0.0,0.0,0.0,0.0,1,113,56.1,93,,54.1,56.1,29.92,29.9937,0,0,0,0,2025-10-26T12:06:00.000Z,2025-10-28,,,2025-10-28 03:51:00-07:00
1761647760000,0.0,0.0,0.0,0.0,1,113,55.9,93,,53.9,55.9,29.92,29.9938,0,0,0,0,,2025-10-28,America/Los_Angeles,True,2025-10-28 03:36:00-07:00
1761646860000,0.0,0.8948,0.0,0.0,1,113,56.7,93,4.26,54.7,56.7,29.92,29.9937,0,0,0,0,2025-10-26T12:06:00.000Z,2025-10-28,,,2025-10-28 03:21:00-07:00
1761645960000,0.0,0.0,0.0,0.0,1,113,56.5,93,,54.5,56.5,29.91,29.9837,0,0,0,0,2025-10-26T12:06:00.000Z,2025-10-28,,,2025-10-28 03:06:00-07:00
