dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time
1762156260000,1.5659,4.2502,0.0,0.01,1,120,58.5,94,56.78,58.5,30.01,30.0836,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 23:51:00-08:00
1762155360000,0.8948,6.0397,0.0,0.01,1,148,58.5,94,56.78,58.5,30.01,30.0836,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 23:36:00-08:00
1762154460000,0.0,0.0,0.0,0.01,1,162,58.5,94,56.78,58.5,30.02,30.0936,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 23:21:00-08:00
1762153560000,0.0,0.0,0.0,0.01,1,162,58.5,94,56.78,58.5,30.02,30.0936,0,0,10712,9640800,,2025-11-02,4.3,America/Los_Angeles,True,2025-11-02 23:06:00-08:00
1762152660000,0.0,0.0,0.0,0.01,1,162,58.5,94,56.78,58.5,30.03,30.1037,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 22:51:00-08:00
1762151760000,0.0,0.0,0.0,0.01,1,162,58.5,94,56.78,58.5,30.03,30.1037,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 22:36:00-08:00
1762150860000,0.0,1.1185,0.0,0.01,1,162,58.3,94,56.58,58.3,30.02,30.0937,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,4.3,,,2025-11-02 22:21:00-08:00
1762149960000,0.8948,2.2369,0.0,0.01,1,162,58.3,94,56.58,58.3,30.02,30.0937,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 22:06:00-08:00
1762149060000,0.0,1.5659,0.0,0.01,1,162,58.3,94,56.58,58.3,30.02,30.0937,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 21:51:00-08:00
1762148160000,0.0,0.0,0.0,0.01,1,162,58.5,94,56.78,58.5,30.02,30.0936,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 21:36:00-08:00
1762147260000,1.1185,4.4739,0.0,0.01,1,162,58.8,94,57.08,58.8,30.02,30.0936,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,4.3,,,2025-11-02 21:21:00-08:00
1762146360000,2.0132,6.0397,0.0,0.01,1,138,58.8,93,56.78,58.8,30.02,30.0936,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 21:06:00-08:00
1762145460000,0.0,1.7895,0.0,0.01,1,276,59.2,93,57.18,59.2,30.01,30.0835,0,0,10712,9640800,,2025-11-02,,America/Los_Angeles,True,2025-11-02 20:51:00-08:00
1762144560000,0.4474,3.8028,0.0,0.01,1,276,59.4,93,57.37,59.4,30.01,30.0835,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,4.31,,,2025-11-02 20:36:00-08:00
1762143660000,2.4606,6.9345,0.0,0.01,1,276,59.2,93,57.18,59.2,30.0,30.0735,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 20:21:00-08:00
1762142760000,4.9213,10.2899,0.0,0.01,1,259,59.4,92,57.07,59.4,29.99,30.0634,0,0,10712,9640800,,2025-11-02,,America/Los_Angeles,True,2025-11-02 20:06:00-08:00
1762141860000,2.4606,6.9345,0.0,0.01,1,294,59.5,91,56.87,59.5,29.99,30.0634,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,4.31,,,2025-11-02 19:51:00-08:00
1762140960000,0.8948,5.3686,0.0,0.01,1,276,59.5,92,57.17,59.5,29.99,30.0634,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 19:36:00-08:00
1762140060000,0.2237,3.5791,0.0,0.01,1,274,59.5,92,57.17,59.5,29.99,30.0634,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 19:21:00-08:00
1762139160000,1.3422,4.0265,0.0,0.01,1,274,59.7,92,57.37,59.7,29.99,30.0634,0,0,10712,9640800,,2025-11-02,,America/Los_Angeles,True,2025-11-02 19:06:00-08:00
1762138260000,2.4606,6.7108,0.0,0.01,1,288,59.4,92,57.07,59.4,29.99,30.0634,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,4.32,,,2025-11-02 18:51:00-08:00
1762137360000,2.6843,6.7108,0.0,0.01,1,281,59.0,92,56.68,59.0,29.98,30.0535,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 18:36:00-08:00
1762136460000,2.4606,6.7108,0.0,0.01,1,277,59.0,91,56.37,59.0,29.98,30.0535,0,0,10712,9640800,,2025-11-02,,America/Los_Angeles,True,2025-11-02 18:21:00-08:00
1762135560000,3.1317,8.053,0.0,0.01,1,277,59.2,91,56.57,59.2,29.98,30.0535,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,4.3,,,2025-11-02 18:06:00-08:00
1762134660000,3.5791,7.8293,0.0,0.01,1,284,59.2,90,56.27,59.2,29.98,30.0535,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 17:51:00-08:00
1762133760000,3.3554,6.2634,0.0,0.01,1,275,59.4,90,56.46,59.4,29.98,30.0534,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 17:36:00-08:00
1762132860000,3.5791,8.2767,0.0,0.01,1,276,59.5,89,56.25,59.5,29.98,30.0534,0,0,10712,9640800,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 17:21:00-08:00
1762131960000,3.5791,6.9345,0.0,0.01,1,264,60.1,87,56.22,60.1,29.97,30.0433,7,6300,10705,9640800,2025-11-02T16:51:00.000Z,2025-11-02,4.34,,,2025-11-02 17:06:00-08:00
1762131060000,3.8028,7.8293,0.0,0.01,1,263,61.0,86,56.78,61.0,29.97,30.0432,30,27000,10675,9634500,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 16:51:00-08:00
1762130160000,4.0265,8.2767,0.0,0.01,1,255,61.7,84,56.81,61.7,29.97,30.0431,59,53100,10616,9607500,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 16:36:00-08:00
1762129260000,4.4739,9.1714,0.0,0.01,1,269,62.4,83,57.16,62.4,29.97,30.043,94,84600,10522,9554400,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 16:21:00-08:00
1762128360000,4.2502,8.053,0.0,0.01,1,259,63.0,83,57.75,63.0,29.98,30.0529,139,125100,10383,9469800,2025-11-02T16:51:00.000Z,2025-11-02,4.4,,,2025-11-02 16:06:00-08:00
1762127460000,4.2502,7.1582,0.0,0.01,1,233,63.5,82,57.9,63.5,29.97,30.0428,178,160200,10205,9344700,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 15:51:00-08:00
1762126560000,4.9213,7.3819,0.0,0.01,1,216,63.5,81,57.56,63.5,29.96,30.0328,221,198900,9984,9184500,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 15:36:00-08:00
1762125660000,4.2502,7.3819,0.0,0.01,1,224,64.2,80,57.9,64.2,29.96,30.0327,264,237600,9720,8985600,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 15:21:00-08:00
1762124760000,4.4739,10.0662,0.0,0.01,1,206,64.6,79,57.93,64.6,29.96,30.0326,306,275400,9414,8748000,2025-11-02T16:51:00.000Z,2025-11-02,4.41,,,2025-11-02 15:06:00-08:00
1762123860000,2.908,6.2634,0.0,0.01,1,133,66.0,76,58.21,66.0,29.96,30.0325,346,311400,9068,8472600,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 14:51:00-08:00
1762122960000,5.145,9.6188,0.0,0.01,1,147,65.5,77,58.09,65.5,29.96,30.0325,384,345600,8684,8161200,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 14:36:00-08:00
1762122060000,5.816,9.6188,0.0,0.01,1,128,66.2,76,58.4,66.2,29.96,30.0324,423,380700,8261,7815600,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 14:21:00-08:00
1762121160000,5.145,10.5136,0.0,0.01,1,131,65.5,77,58.09,65.5,29.96,30.0325,456,410400,7805,7434900,2025-11-02T16:51:00.000Z,2025-11-02,4.44,,,2025-11-02 14:06:00-08:00
1762120260000,5.5923,8.5004,0.0,0.01,1,164,64.0,79,57.35,64.0,29.98,30.0528,484,435600,7321,7024500,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 13:51:00-08:00
1762119360000,4.6976,7.8293,0.0,0.01,1,165,64.8,78,57.77,64.8,29.98,30.0527,511,459900,6810,6588900,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 13:36:00-08:00
1762118460000,3.8028,7.3819,0.0,0.01,1,168,65.5,77,58.09,65.5,29.99,30.0626,537,483300,6273,6129000,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 13:21:00-08:00
1762117560000,3.3554,6.7108,0.0,0.01,1,179,64.8,77,57.41,64.8,30.0,30.0727,557,501300,5716,5645700,2025-11-02T16:51:00.000Z,2025-11-02,4.51,,,2025-11-02 13:06:00-08:00
1762116660000,4.2502,7.3819,0.0,0.01,1,173,64.9,77,57.51,64.9,30.01,30.0827,575,517500,5141,5144400,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 12:51:00-08:00
1762115760000,4.6976,7.8293,0.0,0.01,1,169,64.8,78,57.77,64.8,30.01,30.0827,588,529200,4553,4626900,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 12:36:00-08:00
1762114860000,5.145,8.2767,0.0,0.01,1,167,64.2,79,57.55,64.2,30.02,30.0928,600,540000,3953,4097700,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 12:21:00-08:00
1762113960000,5.145,8.2767,0.0,0.01,1,160,64.8,78,57.77,64.8,30.03,30.1028,604,543600,3349,3557700,2025-11-02T16:51:00.000Z,2025-11-02,4.5,,,2025-11-02 12:06:00-08:00
1762113060000,5.816,9.3951,0.0,0.01,1,162,64.2,79,57.55,64.2,30.04,30.1129,530,477000,2819,3014100,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 11:51:00-08:00
1762112160000,4.4739,9.3951,0.0,0.01,1,185,63.9,80,57.6,63.9,30.04,30.1129,555,499500,2264,2537100,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 11:36:00-08:00
1762111260000,3.3554,6.7108,0.0,0.01,1,162,62.8,82,57.22,62.8,30.06,30.1331,344,309600,1920,2037600,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 11:21:00-08:00
1762110360000,3.8028,7.3819,0.0,0.01,1,176,62.2,83,56.97,62.2,30.07,30.1432,232,208800,1437,1502100,2025-11-02T16:51:00.000Z,2025-11-02,4.41,,,2025-11-02 11:06:00-08:00
1762109460000,3.5791,6.0397,0.0,0.01,1,174,62.2,83,56.97,62.2,30.07,30.1432,251,225900,1669,1519200,,2025-11-02,,America/Los_Angeles,True,2025-11-02 10:51:00-08:00
1762108560000,3.8028,7.6056,0.0,0.01,1,152,61.5,85,56.95,61.5,30.07,30.1433,239,215100,1198,1293300,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 10:36:00-08:00
1762107660000,3.1317,6.9345,0.0,0.01,1,184,61.0,88,57.42,61.0,30.07,30.1434,194,174600,1004,1078200,2025-11-02T16:51:00.000Z,2025-11-02,4.24,,,2025-11-02 10:21:00-08:00
1762106760000,1.5659,5.145,0.0,0.01,1,166,60.3,91,57.66,60.3,30.07,30.1435,137,123300,867,903600,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 10:06:00-08:00
1762105860000,0.0,4.0265,0.0,0.01,1,114,59.7,93,57.67,59.7,30.07,30.1436,126,113400,741,780300,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 09:51:00-08:00
1762104960000,0.0,0.0,0.0,0.01,1,114,59.0,94,57.27,59.0,30.08,30.1537,113,101700,628,666900,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 09:36:00-08:00
1762104060000,0.0,1.1185,0.0,0.01,1,114,58.8,95,57.37,58.8,30.08,30.1538,81,72900,547,565200,2025-11-02T16:51:00.000Z,2025-11-02,4.21,,,2025-11-02 09:21:00-08:00
1762103160000,0.4474,2.6843,0.0,0.01,1,114,58.8,96,57.66,58.8,30.08,30.1538,63,56700,484,492300,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 09:06:00-08:00
1762102260000,0.0,1.1185,0.03,0.0,1,124,58.5,96,57.36,58.5,30.07,30.1438,62,55800,422,435600,2025-11-02T16:51:00.000Z,2025-11-02,,,,2025-11-02 08:51:00-08:00
1762101360000,0.0,1.5659,0.0,0.0,1,291,58.1,97,57.25,58.1,30.06,30.1338,64,57600,358,379800,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 08:36:00-08:00
1762100460000,1.1185,2.908,0.0,0.0,1,297,58.1,97,57.25,58.1,30.06,30.1338,69,62100,289,322200,2025-11-01T11:36:00.000Z,2025-11-02,4.21,,,2025-11-02 08:21:00-08:00
1762099560000,2.4606,5.145,0.0,0.0,1,259,57.6,97,56.75,57.6,30.05,30.1239,64,57600,225,260100,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 08:06:00-08:00
1762098660000,0.2237,2.6843,0.0,0.0,1,17,57.0,97,56.16,57.0,30.03,30.1039,59,53100,166,202500,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 07:51:00-08:00
1762097760000,0.6711,2.908,0.0,0.0,1,18,56.5,97,55.66,56.5,30.02,30.0939,55,49500,111,149400,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 07:36:00-08:00
1762096860000,0.2237,2.2369,0.0,0.0,1,18,56.1,97,55.26,56.1,30.01,30.084,46,41400,65,99900,2025-11-01T11:36:00.000Z,2025-11-02,4.21,,,2025-11-02 07:21:00-08:00
1762095960000,0.2237,2.4606,0.0,0.0,1,18,55.8,97,54.96,55.8,30.01,30.084,38,34200,27,58500,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 07:06:00-08:00
1762095060000,0.2237,2.0132,0.0,0.0,1,18,55.6,97,54.76,55.6,30.01,30.084,20,18000,1,18900,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 06:51:00-08:00
1762094160000,0.2237,2.0132,0.0,0.0,1,18,55.6,97,54.76,55.6,30.01,30.084,6,5400,21,6300,,2025-11-02,,America/Los_Angeles,True,2025-11-02 06:36:00-08:00
1762093260000,0.2237,2.6843,0.0,0.0,1,18,55.4,97,54.56,55.4,30.01,30.0841,1,900,0,900,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 06:21:00-08:00
1762092360000,1.7895,6.2634,0.0,0.0,1,69,55.6,97,54.76,55.6,30.01,30.084,0,0,0,0,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 06:06:00-08:00
1762091460000,1.1185,7.8293,0.0,0.0,1,325,55.9,97,55.06,55.9,30.01,30.084,0,0,0,0,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 05:51:00-08:00
1762090560000,0.2237,2.908,0.0,0.0,1,21,56.1,97,55.26,56.1,30.01,30.084,0,0,0,0,2025-11-01T11:36:00.000Z,2025-11-02,4.2,,,2025-11-02 05:36:00-08:00
1762089660000,0.2237,2.4606,0.0,0.0,1,80,56.3,97,55.46,56.3,30.01,30.0839,0,0,0,0,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 05:21:00-08:00
1762088760000,0.8948,3.5791,0.0,0.0,1,80,56.3,97,55.46,56.3,30.01,30.0839,0,0,0,0,,2025-11-02,,America/Los_Angeles,True,2025-11-02 05:06:00-08:00
1762087860000,1.3422,4.0265,0.0,0.0,1,80,56.3,97,55.46,56.3,30.01,30.0839,0,0,0,0,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 04:51:00-08:00
1762086960000,0.6711,3.8028,0.0,0.0,1,80,56.3,97,55.46,56.3,30.01,30.0839,0,0,0,0,2025-11-01T11:36:00.000Z,2025-11-02,4.21,,,2025-11-02 04:36:00-08:00
1762086060000,0.4474,2.908,0.0,0.0,1,80,56.5,97,55.66,56.5,30.01,30.0839,0,0,0,0,2025-11-01T11:36:00.000Z,2025-11-02,,,,2025-11-02 04:21:00-08:00
