dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,lastRain,batt1volts,local_time
1763538660000,0.0,0.0,0.0,0.0,1,254,46.0,92,43.81,46.0,29.98,30.0554,0,0,0,11960100,America/Los_Angeles,True,2025-11-18,,,2025-11-18 23:51:00-08:00
1763537760000,0.0,0.0,0.0,0.0,1,254,46.2,92,44.01,46.2,29.97,30.0453,0,0,0,11960100,America/Los_Angeles,True,2025-11-18,,,2025-11-18 23:36:00-08:00
1763536860000,0.0,0.0,0.0,1.12,1,254,46.4,92,44.2,46.4,29.96,30.0353,0,0,13289,11960100,,,2025-11-18,2025-11-19T01:51:00.000Z,,2025-11-18 23:21:00-08:00
1763535960000,0.0,0.0,0.0,1.12,1,254,46.6,92,44.4,46.6,29.96,30.0352,0,0,13289,11960100,,,2025-11-18,2025-11-19T01:51:00.000Z,4.3,2025-11-18 23:06:00-08:00
1763535060000,0.0,0.0,0.0,1.12,1,254,46.8,92,44.6,46.8,29.96,30.0352,0,0,13289,11960100,,,2025-11-18,2025-11-19T01:51:00.000Z,,2025-11-18 22:51:00-08:00
1763534160000,0.0,1.3422,0.0,1.12,1,254,46.9,92,44.7,46.9,29.96,30.0352,0,0,13289,11960100,,,2025-11-18,2025-11-19T01:51:00.000Z,,2025-11-18 22:36:00-08:00
1763533260000,0.0,0.0,0.0,1.12,1,254,47.3,92,45.09,47.3,29.97,30.0452,0,0,13289,11960100,,,2025-11-18,2025-11-19T01:51:00.000Z,,2025-11-18 22:21:00-08:00
1763532360000,0.0,0.0,0.0,1.12,1,254,47.5,92,45.29,47.5,29.97,30.0451,0,0,13289,11960100,,,2025-11-18,2025-11-19T01:51:00.000Z,4.3,2025-11-18 22:06:00-08:00
1763531460000,0.0,0.0,0.0,1.12,1,254,47.8,92,45.59,47.8,29.96,30.0351,0,0,13289,11960100,,,2025-11-18,2025-11-19T01:51:00.000Z,,2025-11-18 21:51:00-08:00
1763530560000,0.0,0.0,0.0,1.12,1,254,47.8,91,45.3,47.8,29.96,30.0351,0,0,13289,11960100,,,2025-11-18,2025-11-19T01:51:00.000Z,,2025-11-18 21:36:00-08:00
