dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,date,lastRain,local_time
1767426660000,2.0132,6.9345,0.0,0.0,1,112,58.6,95,4.26,57.17,58.6,30.01,30.0836,0,0,0,5565600,America/Los_Angeles,True,2026-01-02,,2026-01-02 23:51:00-08:00
1767425760000,1.5659,6.7108,0.0,0.01,1,37,58.6,95,,57.17,58.6,30.02,30.0936,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 23:36:00-08:00
1767424860000,1.5659,7.3819,0.0,0.01,1,92,58.5,95,,57.07,58.5,30.02,30.0936,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 23:21:00-08:00
1767423960000,1.7895,7.8293,0.0,0.01,1,99,58.1,95,,56.67,58.1,30.01,30.0837,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 23:06:00-08:00
1767423060000,2.0132,6.2634,0.0,0.01,1,85,57.9,95,4.27,56.48,57.9,30.0,30.0737,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 22:51:00-08:00
1767422160000,1.1185,6.2634,0.0,0.01,1,117,57.7,95,,56.28,57.7,30.01,30.0837,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 22:36:00-08:00
1767421260000,1.1185,5.145,0.0,0.01,1,100,57.7,95,,56.28,57.7,30.02,30.0938,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 22:21:00-08:00
1767420360000,0.6711,4.2502,0.0,0.01,1,99,58.1,96,,56.96,58.1,30.02,30.0937,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 22:06:00-08:00
1767419460000,0.2237,3.1317,0.0,0.01,1,96,58.3,96,4.27,57.16,58.3,30.01,30.0837,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 21:51:00-08:00
1767418560000,0.8948,5.816,0.0,0.01,1,96,58.3,96,,57.16,58.3,30.01,30.0837,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 21:36:00-08:00
1767417660000,0.4474,5.3686,0.0,0.01,1,96,57.9,96,,56.77,57.9,30.01,30.0837,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 21:21:00-08:00
1767416760000,0.0,2.2369,0.0,0.01,1,96,57.7,96,,56.57,57.7,30.01,30.0837,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 21:06:00-08:00
1767415860000,0.2237,1.7895,0.0,0.01,1,96,57.9,95,4.28,56.48,57.9,30.01,30.0837,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 20:51:00-08:00
1767414960000,0.2237,2.2369,0.0,0.01,1,96,57.9,95,,56.48,57.9,30.01,30.0837,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 20:36:00-08:00
1767414060000,0.0,0.0,0.0,0.01,1,96,58.1,95,,56.67,58.1,30.01,30.0837,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 20:21:00-08:00
1767413160000,0.2237,2.0132,0.0,0.01,1,96,58.5,95,,57.07,58.5,30.01,30.0836,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 20:06:00-08:00
1767412260000,0.0,0.0,0.0,0.01,1,96,58.6,95,4.28,57.17,58.6,30.01,30.0836,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 19:51:00-08:00
1767411360000,0.0,0.0,0.0,0.01,1,96,58.6,95,,57.17,58.6,30.01,30.0836,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 19:36:00-08:00
1767410460000,0.0,2.0132,0.0,0.01,1,96,58.8,95,,57.37,58.8,30.01,30.0836,0,0,6184,5565600,America/Los_Angeles,True,2026-01-02,,2026-01-02 19:21:00-08:00
1767409560000,0.2237,2.2369,0.0,0.01,1,96,59.0,95,,57.57,59.0,30.0,30.0735,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 19:06:00-08:00
1767408660000,0.2237,2.0132,0.0,0.01,1,96,59.2,95,4.29,57.77,59.2,30.0,30.0735,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 18:51:00-08:00
1767407760000,1.1185,4.6976,0.0,0.01,1,96,59.2,95,,57.77,59.2,30.0,30.0735,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 18:36:00-08:00
1767406860000,0.8948,4.2502,0.0,0.01,1,106,59.2,95,,57.77,59.2,30.0,30.0735,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 18:21:00-08:00
1767405960000,0.0,0.0,0.0,0.01,1,150,59.4,94,,57.67,59.4,30.0,30.0735,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 18:06:00-08:00
1767405060000,0.0,1.5659,0.0,0.01,1,150,59.4,94,4.3,57.67,59.4,30.0,30.0735,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 17:51:00-08:00
1767404160000,0.0,0.0,0.0,0.01,1,150,59.4,94,,57.67,59.4,30.0,30.0735,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 17:36:00-08:00
1767403260000,0.4474,2.6843,0.03,0.0,1,150,59.4,93,,57.37,59.4,30.01,30.0835,0,0,6184,5565600,,,2026-01-02,2026-01-03T01:21:00.000Z,2026-01-02 17:21:00-08:00
1767402360000,0.8948,2.908,0.0,0.0,1,150,59.5,92,,57.17,59.5,30.0,30.0735,0,0,6184,5565600,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 17:06:00-08:00
1767401460000,2.0132,5.3686,0.0,0.0,1,150,59.7,92,4.3,57.37,59.7,30.0,30.0734,0,0,6184,5565600,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 16:51:00-08:00
1767400560000,2.0132,4.4739,0.0,0.0,1,150,59.7,92,,57.37,59.7,30.0,30.0734,3,2700,6181,5565600,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 16:36:00-08:00
1767399660000,2.4606,5.3686,0.0,0.0,1,150,59.5,92,,57.17,59.5,30.0,30.0735,12,10800,6169,5562900,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 16:21:00-08:00
1767398760000,1.5659,3.5791,0.0,0.0,1,151,59.5,93,,57.47,59.5,29.99,30.0634,13,11700,6156,5552100,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 16:06:00-08:00
1767397860000,3.1317,6.4871,0.0,0.0,1,148,59.5,92,4.31,57.17,59.5,29.99,30.0634,16,14400,6140,5540400,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 15:51:00-08:00
1767396960000,2.908,5.816,0.0,0.0,1,126,59.5,92,,57.17,59.5,29.98,30.0534,28,25200,6112,5526000,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 15:36:00-08:00
1767396060000,4.4739,9.6188,0.0,0.0,1,123,60.1,90,,57.15,60.1,29.98,30.0533,46,41400,6066,5500800,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 15:21:00-08:00
1767395160000,3.3554,6.7108,0.0,0.0,1,115,61.3,86,,57.07,61.3,29.98,30.0532,66,59400,6000,5459400,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 15:06:00-08:00
1767394260000,4.4739,9.6188,0.0,0.0,1,111,61.5,83,4.34,56.29,61.5,29.98,30.0531,78,70200,5922,5400000,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 14:51:00-08:00
1767393360000,5.5923,12.9742,0.0,0.0,1,105,62.4,81,,56.49,62.4,29.98,30.053,99,89100,5823,5329800,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 14:36:00-08:00
1767392460000,5.3686,12.3031,0.0,0.0,1,114,63.0,79,,56.38,63.0,29.98,30.0529,174,156600,5649,5240700,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 14:21:00-08:00
1767391560000,4.4739,8.5004,0.0,0.0,1,113,63.1,78,,56.12,63.1,29.98,30.0529,144,129600,5505,5084100,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 14:06:00-08:00
1767390660000,6.0397,12.5268,0.0,0.0,1,122,63.7,77,4.4,56.35,63.7,29.97,30.0428,226,203400,5279,4954500,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 13:51:00-08:00
1767389760000,5.5923,9.8425,0.0,0.0,1,127,64.6,75,,56.49,64.6,29.98,30.0527,264,237600,5015,4751100,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 13:36:00-08:00
1767388860000,5.145,12.0795,0.0,0.0,1,119,64.9,75,,56.78,64.9,29.98,30.0527,353,317700,4662,4513500,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 13:21:00-08:00
1767387960000,5.5923,12.9742,0.0,0.0,1,118,64.9,75,,56.78,64.9,29.98,30.0527,450,405000,4212,4195800,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 13:06:00-08:00
1767387060000,4.9213,11.6321,0.0,0.0,1,117,64.0,75,4.44,55.91,64.0,29.99,30.0628,310,279000,3902,3790800,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 12:51:00-08:00
1767386160000,6.2634,11.4084,0.0,0.0,1,116,63.9,75,,55.82,63.9,30.0,30.0728,374,336600,3528,3511800,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 12:36:00-08:00
1767385260000,4.2502,8.7241,0.0,0.0,1,121,64.4,75,,56.3,64.4,30.01,30.0828,350,315000,3178,3175200,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 12:21:00-08:00
1767384360000,3.3554,8.2767,0.0,0.0,1,103,63.5,76,,55.79,63.5,30.03,30.103,332,298800,2846,2860200,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 12:06:00-08:00
1767383460000,6.0397,13.1979,0.0,0.0,1,117,62.8,76,4.49,55.12,62.8,30.03,30.1031,239,215100,2607,2561400,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 11:51:00-08:00
1767382560000,7.1582,13.6453,0.0,0.0,1,122,62.8,77,,55.48,62.8,30.03,30.1031,257,231300,2350,2346300,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 11:36:00-08:00
1767381660000,5.816,12.9742,0.0,0.0,1,120,62.8,77,,55.48,62.8,30.04,30.1131,327,294300,2023,2115000,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 11:21:00-08:00
1767380760000,6.2634,14.3164,0.0,0.0,1,121,62.4,78,,55.45,62.4,30.05,30.1232,279,251100,1744,1820700,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 11:06:00-08:00
1767379860000,4.9213,10.7373,0.0,0.0,1,119,61.9,78,4.4,54.96,61.9,30.06,30.1333,212,190800,1532,1569600,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 10:51:00-08:00
1767378960000,4.0265,11.4084,0.0,0.0,1,116,61.5,79,,54.92,61.5,30.06,30.1333,210,189000,1322,1378800,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 10:36:00-08:00
1767378060000,1.5659,5.816,0.0,0.0,1,71,60.6,82,,55.07,60.6,30.07,30.1435,153,137700,1169,1189800,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 10:21:00-08:00
1767377160000,0.8948,7.3819,0.0,0.0,1,118,60.3,83,,55.11,60.3,30.06,30.1335,157,141300,1012,1052100,,,2026-01-02,2026-01-01T21:06:00.000Z,2026-01-02 10:06:00-08:00
