dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,batt1volts,local_time
1768722660000,1.3422,3.5791,0,0,1,336,50.9,74,42.91,30.08,30.1549,0,0,13018,11716200,50.9,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 23:51:00-08:00
1768721760000,0.2237,2.0132,0,0,1,336,51.4,73,43.04,30.08,30.1548,0,0,13018,11716200,51.4,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 23:36:00-08:00
1768720860000,0.2237,2.2369,0,0,1,336,51.8,72,43.06,30.08,30.1548,0,0,13018,11716200,51.8,,2026-01-17,America/Los_Angeles,True,,2026-01-17 23:21:00-08:00
1768719960000,2.0132,2.908,0,0,1,336,52.3,71,43.18,30.08,30.1547,0,0,13018,11716200,52.3,2026-01-12T20:21:00.000Z,2026-01-17,,,4.26,2026-01-17 23:06:00-08:00
1768719060000,0.2237,2.4606,0,0,1,336,53.1,68,42.82,30.09,30.1646,0,0,13018,11716200,53.1,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 22:51:00-08:00
1768718160000,1.5659,2.908,0,0,1,336,53.8,67,43.1,30.09,30.1645,0,0,13018,11716200,53.8,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 22:36:00-08:00
1768717260000,0.8948,2.908,0,0,1,336,54.0,67,43.29,30.09,30.1645,0,0,13018,11716200,54.0,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 22:21:00-08:00
1768716360000,1.7895,3.8028,0,0,1,333,53.1,70,43.58,30.08,30.1546,0,0,13018,11716200,53.1,2026-01-12T20:21:00.000Z,2026-01-17,,,4.27,2026-01-17 22:06:00-08:00
1768715460000,0.0,0.0,0,0,1,279,51.8,73,43.42,30.08,30.1548,0,0,13018,11716200,51.8,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 21:51:00-08:00
1768714560000,0.0,0.0,0,0,1,279,52.7,70,43.19,30.08,30.1546,0,0,13018,11716200,52.7,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 21:36:00-08:00
1768713660000,0.0,0.0,0,0,1,279,54.5,64,42.57,30.07,30.1443,0,0,13018,11716200,54.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 21:21:00-08:00
1768712760000,0.0,0.0,0,0,1,279,54.9,65,43.36,30.07,30.1443,0,0,13018,11716200,54.9,2026-01-12T20:21:00.000Z,2026-01-17,,,4.27,2026-01-17 21:06:00-08:00
1768711860000,0.0,0.0,0,0,1,279,54.3,67,43.58,30.07,30.1444,0,0,13018,11716200,54.3,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 20:51:00-08:00
1768710960000,0.0,1.3422,0,0,1,279,53.4,70,43.86,30.07,30.1445,0,0,13018,11716200,53.4,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 20:36:00-08:00
1768710060000,0.0,0.0,0,0,1,279,54.5,67,43.77,30.07,30.1443,0,0,13018,11716200,54.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 20:21:00-08:00
1768709160000,0.0,1.1185,0,0,1,279,55.2,65,43.64,30.07,30.1442,0,0,13018,11716200,55.2,2026-01-12T20:21:00.000Z,2026-01-17,,,4.29,2026-01-17 20:06:00-08:00
1768708260000,0.0,0.0,0,0,1,279,55.9,65,44.31,30.07,30.1441,0,0,13018,11716200,55.9,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 19:51:00-08:00
1768707360000,0.0,0.0,0,0,1,279,57.7,62,44.77,30.06,30.1339,0,0,13018,11716200,57.7,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 19:36:00-08:00
1768706460000,0.0,0.0,0,0,1,279,57.6,63,45.1,30.06,30.1339,0,0,13018,11716200,57.6,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 19:21:00-08:00
1768705560000,0.0,0.0,0,0,1,279,57.2,66,45.94,30.06,30.1339,0,0,13018,11716200,57.2,2026-01-12T20:21:00.000Z,2026-01-17,,,4.3,2026-01-17 19:06:00-08:00
1768704660000,0.0,0.0,0,0,1,279,58.3,64,46.17,30.06,30.1338,0,0,13018,11716200,58.3,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 18:51:00-08:00
1768703760000,0.0,0.0,0,0,1,279,58.6,62,45.62,30.05,30.1237,0,0,13018,11716200,58.6,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 18:36:00-08:00
1768702860000,0.0,0.0,0,0,1,279,59.2,59,44.88,30.05,30.1236,0,0,13018,11716200,59.2,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 18:21:00-08:00
1768701960000,0.0,1.7895,0,0,1,279,61.2,52,43.43,30.05,30.1233,0,0,13018,11716200,61.2,2026-01-12T20:21:00.000Z,2026-01-17,,,4.31,2026-01-17 18:06:00-08:00
1768701060000,0.2237,2.0132,0,0,1,279,62.4,48,42.45,30.04,30.1131,0,0,13018,11716200,62.4,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 17:51:00-08:00
1768700160000,0.8948,2.908,0,0,1,279,64.4,41,40.18,30.04,30.1129,0,0,13018,11716200,64.4,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 17:36:00-08:00
1768699260000,1.3422,4.2502,0,0,1,279,67.1,33,37.03,30.03,30.1025,3,2700,13015,11716200,67.1,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 17:21:00-08:00
1768698360000,2.6843,6.2634,0,0,1,278,69.1,28,34.62,30.02,30.0922,37,33300,12978,11713500,67.03,2026-01-12T20:21:00.000Z,2026-01-17,,,4.37,2026-01-17 17:06:00-08:00
1768697460000,2.908,7.3819,0,0,1,291,67.6,32,36.69,30.02,30.0924,67,60300,12911,11680200,67.6,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 16:51:00-08:00
1768696560000,3.3554,6.0397,0,0,1,286,68.7,32,37.65,30.02,30.0922,33,29700,12878,11619900,66.77,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 16:36:00-08:00
1768695660000,2.6843,4.6976,0,0,1,284,70.7,31,38.57,30.01,30.0819,105,94500,12773,11590200,68.93,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 16:21:00-08:00
1768694760000,2.908,5.145,0,0,1,284,71.6,32,40.17,30.01,30.0818,189,170100,12584,11495700,69.96,2026-01-12T20:21:00.000Z,2026-01-17,,,4.36,2026-01-17 16:06:00-08:00
1768693860000,3.8028,6.9345,0,0,1,283,71.6,31,39.35,30.01,30.0818,207,186300,12377,11325600,69.92,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 15:51:00-08:00
1768692960000,3.8028,6.4871,0,0,1,284,71.8,31,39.53,30.01,30.0818,276,248400,12101,11139300,70.14,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 15:36:00-08:00
1768692060000,3.8028,6.9345,0,0,1,285,71.2,32,39.82,30.01,30.0819,271,243900,11830,10890900,69.52,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 15:21:00-08:00
1768691160000,4.0265,8.2767,0,0,1,284,71.6,31,39.35,30.01,30.0818,264,237600,11566,10647000,69.92,2026-01-12T20:21:00.000Z,2026-01-17,,,4.36,2026-01-17 15:06:00-08:00
1768690260000,4.2502,7.6056,0,0,1,277,71.8,32,40.34,30.01,30.0818,337,303300,11229,10409400,70.18,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 14:51:00-08:00
1768689360000,4.6976,8.7241,0,0,1,271,73.8,28,38.64,30.01,30.0815,391,351900,10838,10106100,72.2,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 14:36:00-08:00
1768688460000,3.5791,6.0397,0,0,1,272,75.2,26,37.95,30.01,30.0813,474,426600,10364,9754200,73.64,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 14:21:00-08:00
1768687560000,3.1317,5.816,0,0,1,275,74.7,26,37.52,30.01,30.0814,533,479700,9831,9327600,73.09,2026-01-12T20:21:00.000Z,2026-01-17,,,4.36,2026-01-17 14:06:00-08:00
1768686660000,3.8028,7.3819,0,0,1,271,73.9,29,39.63,30.01,30.0815,587,528300,9244,8847900,72.35,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 13:51:00-08:00
1768685760000,4.2502,7.8293,0,0,1,283,72.7,34,42.7,30.01,30.0817,619,557100,8625,8319600,71.27,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 13:36:00-08:00
1768684860000,5.145,9.1714,0,0,1,277,70.5,38,43.66,30.01,30.082,533,479700,8092,7762500,69.04,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 13:21:00-08:00
1768683960000,4.6976,8.5004,0,0,1,274,69.1,41,44.4,30.01,30.0821,322,289800,7770,7282800,67.64,2026-01-12T20:21:00.000Z,2026-01-17,,,4.37,2026-01-17 13:06:00-08:00
1768683060000,4.9213,8.9477,0,0,1,272,71.4,36,43.04,30.02,30.0919,407,366300,7363,6993000,69.93,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 12:51:00-08:00
1768682160000,4.2502,8.2767,0,0,1,273,71.4,35,42.31,30.02,30.0919,467,420300,6371,6154200,69.89,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 12:36:00-08:00
1768681260000,4.4739,7.1582,0,0,1,276,72.0,34,42.09,30.03,30.1018,525,472500,6838,6206400,70.5,,2026-01-17,America/Los_Angeles,True,,2026-01-17 12:21:00-08:00
1768680360000,3.5791,6.2634,0,0,1,262,72.0,33,41.31,30.03,30.1018,518,466200,5853,5733900,70.45,2026-01-12T20:21:00.000Z,2026-01-17,,,4.37,2026-01-17 12:06:00-08:00
1768679460000,1.7895,4.4739,0,0,1,272,70.5,43,46.91,30.04,30.112,465,418500,5388,5267700,69.27,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 11:51:00-08:00
1768678560000,1.5659,3.8028,0,0,1,272,72.0,35,42.84,30.04,30.1118,493,443700,4895,4849200,70.55,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 11:36:00-08:00
1768677660000,2.2369,4.4739,0,0,1,272,72.0,35,42.84,30.04,30.1118,504,453600,4391,4405500,70.55,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 11:21:00-08:00
1768676760000,1.3422,4.6976,0,0,1,272,68.5,56,52.17,30.05,30.1223,441,396900,3950,3951900,67.68,2026-01-12T20:21:00.000Z,2026-01-17,,,4.38,2026-01-17 11:06:00-08:00
1768675860000,2.0132,4.6976,0,0,1,272,70.5,45,48.12,30.06,30.1321,416,374400,3534,3555000,69.36,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 10:51:00-08:00
1768674960000,2.4606,6.0397,0,0,1,267,70.5,42,46.29,30.05,30.1221,450,405000,3084,3180600,69.22,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 10:36:00-08:00
1768674060000,2.2369,5.145,0,0,1,261,68.5,47,47.46,30.06,30.1324,486,437400,2598,2775600,67.26,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 10:21:00-08:00
1768673160000,1.5659,6.0397,0,0,1,269,66.7,50,47.46,30.06,30.1326,415,373500,2183,2338200,66.7,2026-01-12T20:21:00.000Z,2026-01-17,,,4.47,2026-01-17 10:06:00-08:00
1768672260000,0.4474,1.5659,0,0,1,92,66.4,48,46.11,30.05,30.1226,414,372600,1769,1964700,66.4,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 09:51:00-08:00
1768671360000,1.1185,2.0132,0,0,1,92,64.2,53,46.71,30.05,30.1229,368,331200,1401,1592100,64.2,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 09:36:00-08:00
1768670460000,0.2237,1.7895,0,0,1,92,61.9,62,48.73,30.05,30.1232,360,324000,1041,1260900,61.9,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 09:21:00-08:00
1768669560000,0.0,0.0,0,0,1,92,60.8,63,48.12,30.04,30.1134,273,245700,768,936900,60.8,2026-01-12T20:21:00.000Z,2026-01-17,,,4.57,2026-01-17 09:06:00-08:00
1768668660000,0.0,0.0,0,0,1,92,58.8,66,47.47,30.04,30.1137,282,253800,486,691200,58.8,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 08:51:00-08:00
1768667760000,0.0,0.0,0,0,1,92,53.1,73,44.68,30.04,30.1145,224,201600,262,437400,53.1,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 08:36:00-08:00
1768666860000,0.0,1.5659,0,0,1,307,49.5,76,42.25,30.04,30.115,124,111600,138,235800,49.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 08:21:00-08:00
1768665960000,0.0,1.1185,0,0,1,292,47.8,79,41.61,30.04,30.1153,75,67500,63,124200,47.8,2026-01-12T20:21:00.000Z,2026-01-17,,,4.23,2026-01-17 08:06:00-08:00
1768665060000,0.4474,2.2369,0,0,1,292,48.0,79,41.8,30.03,30.1052,33,29700,30,56700,48.0,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 07:51:00-08:00
1768664160000,0.0,2.0132,0,0,1,292,48.4,78,41.86,30.03,30.1051,19,17100,11,27000,48.4,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 07:36:00-08:00
1768663260000,0.0,0.0,0,0,1,292,48.7,82,43.45,30.03,30.1051,10,9000,1,9900,48.7,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 07:21:00-08:00
1768662360000,0.0,0.0,0,0,1,292,49.6,82,44.33,30.03,30.105,1,900,0,900,49.6,2026-01-12T20:21:00.000Z,2026-01-17,,,4.23,2026-01-17 07:06:00-08:00
1768661460000,0.0,1.1185,0,0,1,292,52.2,78,45.55,30.02,30.0946,0,0,0,0,52.2,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 06:51:00-08:00
1768660560000,0.8948,5.145,0,0,1,292,55.0,75,47.22,30.02,30.0942,0,0,0,0,55.0,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 06:36:00-08:00
1768658760000,2.4606,6.7108,0,0,1,272,53.6,70,44.06,30.01,30.0843,0,0,0,0,53.6,2026-01-12T20:21:00.000Z,2026-01-17,,,4.23,2026-01-17 06:06:00-08:00
1768657860000,2.2369,6.0397,0,0,1,324,52.5,72,43.74,30.01,30.0845,0,0,0,0,52.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 05:51:00-08:00
1768656960000,0.2237,2.0132,0,0,1,54,52.0,70,42.52,30.0,30.0745,0,0,0,0,52.0,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 05:36:00-08:00
1768656060000,0.6711,2.4606,0,0,1,54,50.7,67,40.15,29.99,30.0647,0,0,0,0,50.7,,2026-01-17,America/Los_Angeles,True,,2026-01-17 05:21:00-08:00
1768655160000,1.3422,2.4606,0,0,1,54,49.6,70,40.22,29.98,30.0548,0,0,0,0,49.6,2026-01-12T20:21:00.000Z,2026-01-17,,,4.23,2026-01-17 05:06:00-08:00
1768654260000,1.5659,2.6843,0,0,1,54,49.5,71,40.49,29.99,30.0649,0,0,0,0,49.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 04:51:00-08:00
1768653360000,1.3422,2.4606,0,0,1,54,49.8,70,40.41,29.98,30.0548,0,0,0,0,49.8,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 04:36:00-08:00
1768652460000,1.7895,3.3554,0,0,1,54,48.6,76,41.38,29.98,30.055,0,0,0,0,48.6,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 04:21:00-08:00
1768651560000,1.3422,2.4606,0,0,1,54,48.0,78,41.47,29.98,30.0551,0,0,0,0,48.0,2026-01-12T20:21:00.000Z,2026-01-17,,,4.23,2026-01-17 04:06:00-08:00
1768650660000,1.5659,3.5791,0,0,1,80,47.5,82,42.28,29.98,30.0551,0,0,0,0,47.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 03:51:00-08:00
1768649760000,0.4474,2.2369,0,0,1,201,47.1,85,42.83,29.99,30.0652,0,0,0,0,47.1,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 03:36:00-08:00
1768648860000,0.2237,1.5659,0,0,1,201,47.5,85,43.22,29.99,30.0652,0,0,0,0,47.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 03:21:00-08:00
1768647960000,0.0,0.0,0,0,1,201,50.4,83,45.43,30.0,30.0748,0,0,0,0,50.4,2026-01-12T20:21:00.000Z,2026-01-17,,,4.24,2026-01-17 03:06:00-08:00
1768647060000,0.2237,2.6843,0,0,1,201,51.8,84,47.12,30.0,30.0746,0,0,0,0,51.8,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 02:51:00-08:00
1768646160000,0.8948,3.8028,0,0,1,201,50.2,84,45.55,30.0,30.0748,0,0,0,0,50.2,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 02:36:00-08:00
1768645260000,0.0,0.0,0,0,1,201,49.5,85,45.18,30.0,30.0749,0,0,0,0,49.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 02:21:00-08:00
1768644360000,0.0,0.0,0,0,1,201,46.9,84,42.32,30.0,30.0753,0,0,0,0,46.9,,2026-01-17,America/Los_Angeles,True,4.24,2026-01-17 02:06:00-08:00
1768643460000,0.0,0.0,0,0,1,201,47.5,84,42.91,30.0,30.0752,0,0,0,0,47.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 01:51:00-08:00
1768642560000,0.0,0.0,0,0,1,201,48.6,83,43.67,30.0,30.075,0,0,0,0,48.6,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 01:36:00-08:00
1768641660000,0.0,0.0,0,0,1,201,48.4,84,43.79,29.99,30.065,0,0,0,0,48.4,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 01:21:00-08:00
1768640760000,0.0,0.0,0,0,1,201,48.7,83,43.77,29.99,30.065,0,0,0,0,48.7,2026-01-12T20:21:00.000Z,2026-01-17,,,4.25,2026-01-17 01:06:00-08:00
1768639860000,0.0,0.0,0,0,1,201,49.8,83,44.85,29.99,30.0648,0,0,0,0,49.8,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 00:51:00-08:00
1768638960000,0.0,0.0,0,0,1,201,49.8,82,44.53,29.99,30.0648,0,0,0,0,49.8,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 00:36:00-08:00
1768638060000,0.0,0.0,0,0,1,201,50.5,80,44.56,30.0,30.0748,0,0,0,0,50.5,2026-01-12T20:21:00.000Z,2026-01-17,,,,2026-01-17 00:21:00-08:00
1768637160000,0.0,0.0,0,0,1,201,50.9,80,44.95,30.0,30.0747,0,0,0,0,50.9,2026-01-12T20:21:00.000Z,2026-01-17,,,4.26,2026-01-17 00:06:00-08:00
