dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,lastRain,local_time
1769673060000,0.0,1.5659,0,0,1,271,47.3,74,4.26,39.44,30.14,30.2156,0,0,0,12123000,America/Los_Angeles,True,47.3,2026-01-28,,2026-01-28 23:51:00-08:00
1769672160000,0.2237,2.908,0,0,1,271,46.6,80,,40.77,30.14,30.2157,0,0,13470,12123000,,,46.6,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 23:36:00-08:00
1769671260000,0.2237,2.2369,0,0,1,271,47.1,83,,42.21,30.15,30.2256,0,0,13470,12123000,,,47.1,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 23:21:00-08:00
1769670360000,0.0,0.0,0,0,1,271,48.2,84,4.27,43.6,30.15,30.2255,0,0,13470,12123000,,,48.2,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 23:06:00-08:00
1769669460000,0.0,0.0,0,0,1,271,48.7,84,,44.09,30.15,30.2254,0,0,13470,12123000,,,48.7,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 22:51:00-08:00
1769668560000,0.2237,2.0132,0,0,1,271,48.7,83,,43.77,30.16,30.2354,0,0,13470,12123000,America/Los_Angeles,True,48.7,2026-01-28,,2026-01-28 22:36:00-08:00
1769667660000,0.0,0.0,0,0,1,271,49.5,83,,44.55,30.16,30.2353,0,0,13470,12123000,,,49.5,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 22:21:00-08:00
1769666760000,0.2237,2.0132,0,0,1,271,48.7,84,4.28,44.09,30.16,30.2354,0,0,13470,12123000,,,48.7,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 22:06:00-08:00
1769665860000,0.0,0.0,0,0,1,271,49.6,82,,44.33,30.16,30.2353,0,0,13470,12123000,,,49.6,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 21:51:00-08:00
1769664960000,0.0,0.0,0,0,1,271,51.6,79,,45.3,30.16,30.235,0,0,13470,12123000,,,51.6,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 21:36:00-08:00
1769664060000,0.0,0.0,0,0,1,271,51.8,79,,45.5,30.16,30.235,0,0,13470,12123000,,,51.8,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 21:21:00-08:00
1769663160000,0.0,0.0,0,0,1,271,52.0,79,4.29,45.69,30.16,30.2349,0,0,13470,12123000,,,52.0,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 21:06:00-08:00
1769662260000,0.0,1.1185,0,0,1,271,52.0,81,,46.35,30.16,30.2349,0,0,13470,12123000,,,52.0,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 20:51:00-08:00
1769661360000,0.0,0.0,0,0,1,271,52.0,83,,47.0,30.15,30.2249,0,0,13470,12123000,,,52.0,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 20:36:00-08:00
1769660460000,0.0,0.0,0,0,1,271,52.3,84,,47.61,30.15,30.2249,0,0,13470,12123000,,,52.3,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 20:21:00-08:00
1769659560000,0.0,0.0,0,0,1,271,52.3,85,4.29,47.93,30.15,30.2249,0,0,13470,12123000,,,52.3,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 20:06:00-08:00
1769658660000,0.0,0.0,0,0,1,271,52.9,83,,47.88,30.15,30.2248,0,0,13470,12123000,,,52.9,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 19:51:00-08:00
1769657760000,0.0,1.3422,0,0,1,271,53.6,82,,48.24,30.15,30.2247,0,0,13470,12123000,,,53.6,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 19:36:00-08:00
1769656860000,0.0,1.1185,0,0,1,271,54.0,82,,48.63,30.15,30.2246,0,0,13470,12123000,,,54.0,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 19:21:00-08:00
1769655960000,0.0,0.0,0,0,1,271,53.8,82,4.3,48.43,30.15,30.2246,0,0,13470,12123000,,,53.8,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 19:06:00-08:00
1769655060000,0.0,2.2369,0,0,1,271,55.0,80,,48.94,30.15,30.2245,0,0,13470,12123000,,,55.0,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 18:51:00-08:00
1769654160000,0.0,0.0,0,0,1,271,55.9,82,,50.48,30.15,30.2243,0,0,13470,12123000,,,55.9,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 18:36:00-08:00
1769653260000,0.8948,3.5791,0,0,1,271,56.8,82,,51.36,30.15,30.2242,0,0,13470,12123000,,,56.8,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 18:21:00-08:00
1769652360000,0.8948,3.1317,0,0,1,271,57.4,85,4.31,52.93,30.15,30.2241,0,0,13470,12123000,,,57.4,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 18:06:00-08:00
1769651460000,1.5659,3.8028,0,0,1,271,57.9,84,,53.09,30.15,30.2241,0,0,13470,12123000,,,57.9,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 17:51:00-08:00
1769650560000,2.2369,3.8028,0,0,1,271,58.1,82,,52.63,30.15,30.224,1,900,13469,12123000,,,58.1,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 17:36:00-08:00
1769649660000,2.6843,4.0265,0,0,1,271,59.5,80,,53.32,30.15,30.2238,14,12600,13455,12122100,,,59.5,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 17:21:00-08:00
1769648760000,3.1317,5.3686,0,0,1,271,61.2,75,4.35,53.21,30.14,30.2136,47,42300,13408,12109500,,,61.2,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 17:06:00-08:00
1769647860000,2.4606,4.0265,0,0,1,271,62.6,70,,52.67,30.14,30.2134,83,74700,13325,12067200,,,62.6,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 16:51:00-08:00
1769646960000,2.4606,4.2502,0,0,1,271,63.1,71,,53.54,30.14,30.2133,121,108900,13204,11992500,,,63.1,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 16:36:00-08:00
1769646060000,2.2369,3.8028,0,0,1,271,63.7,71,,54.12,30.14,30.2132,162,145800,13042,11883600,,,63.7,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 16:21:00-08:00
1769645160000,2.6843,4.2502,0,0,1,271,63.7,67,4.36,52.53,30.14,30.2132,205,184500,12837,11737800,,,63.7,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 16:06:00-08:00
1769644260000,3.5791,6.2634,0,0,1,277,63.1,72,,53.92,30.14,30.2133,246,221400,12303,11294100,,,63.1,2026-01-28,2026-01-22T17:21:00.000Z,2026-01-28 15:51:00-08:00
1769643360000,4.4739,7.3819,0,0,1,275,63.3,73,,54.49,30.14,30.2133,288,259200,12549,11331900,America/Los_Angeles,True,63.3,2026-01-28,,2026-01-28 15:36:00-08:00
