dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,local_time
1776495060000,0.4474,2.6843,0,0,1,305,57.4,60,43.63,29.96,30.0337,0,0,26502,23851800,57.4,2026-04-12T14:36:00.000Z,2026-04-17,,2026-04-17 23:51:00-07:00
1776494160000,0.6711,2.2369,0,0,1,305,58.5,57,43.32,29.96,30.0335,0,0,26502,23851800,58.5,2026-04-12T14:36:00.000Z,2026-04-17,4.28,2026-04-17 23:36:00-07:00
1776493260000,0.2237,1.7895,0,0,1,305,59.2,55,43.04,29.96,30.0334,0,0,26502,23851800,59.2,2026-04-12T14:36:00.000Z,2026-04-17,,2026-04-17 23:21:00-07:00
1776492360000,0.2237,2.2369,0,0,1,305,59.7,53,42.54,29.96,30.0333,0,0,26502,23851800,59.7,2026-04-12T14:36:00.000Z,2026-04-17,,2026-04-17 23:06:00-07:00
1776491460000,0.4474,1.7895,0,0,1,305,60.3,52,42.6,29.96,30.0332,0,0,26502,23851800,60.3,2026-04-12T14:36:00.000Z,2026-04-17,,2026-04-17 22:51:00-07:00
1776490560000,0.0,2.0132,0,0,1,305,62.6,46,41.53,29.96,30.0329,0,0,26502,23851800,62.6,2026-04-12T14:36:00.000Z,2026-04-17,4.29,2026-04-17 22:36:00-07:00
1776489660000,0.0,0.0,0,0,1,305,64.2,43,41.23,29.96,30.0327,0,0,26502,23851800,64.2,2026-04-12T14:36:00.000Z,2026-04-17,,2026-04-17 22:21:00-07:00
1776488760000,0.6711,3.1317,0,0,1,305,63.5,43,40.6,29.96,30.0328,0,0,26502,23851800,63.5,2026-04-12T14:36:00.000Z,2026-04-17,,2026-04-17 22:06:00-07:00
1776487860000,0.4474,2.908,0,0,1,305,63.0,43,40.15,29.95,30.0228,0,0,26502,23851800,63.0,2026-04-12T14:36:00.000Z,2026-04-17,,2026-04-17 21:51:00-07:00
1776486960000,0.2237,2.0132,0,0,1,305,63.9,40,39.1,29.95,30.0227,0,0,26502,23851800,63.9,2026-04-12T14:36:00.000Z,2026-04-17,4.29,2026-04-17 21:36:00-07:00
1776486060000,0.8948,4.4739,0,0,1,321,65.8,37,38.8,29.94,30.0124,0,0,26502,23851800,65.8,2026-04-12T14:36:00.000Z,2026-04-17,,2026-04-17 21:21:00-07:00
1776485160000,2.6843,6.9345,0,0,1,335,66.2,36,38.45,29.93,30.0024,0,0,26502,23851800,66.2,2026-04-12T14:36:00.000Z,2026-04-17,,2026-04-17 21:06:00-07:00
