dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,date,lastRain,batt1volts,local_time
1776927060000,0.0,1.5659,0.0,0.0,1,358,56.8,65,45.16,30.02,30.0939,0,0,0,24331500,America/Los_Angeles,True,56.8,2026-04-22,,,2026-04-22 23:51:00-07:00
1776926160000,1.3422,4.9213,0.0,0.03,1,356,58.6,61,45.19,30.02,30.0936,0,0,27035,24331500,,,58.6,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 23:36:00-07:00
1776925260000,0.4474,4.2502,0.0,0.03,1,125,58.3,62,45.34,30.02,30.0937,0,0,27035,24331500,,,58.3,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 23:21:00-07:00
1776924360000,0.2237,5.5923,0.0,0.03,1,128,58.6,61,45.19,30.03,30.1037,0,0,27035,24331500,,,58.6,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 23:06:00-07:00
1776923460000,1.3422,5.5923,0.0,0.03,1,357,58.6,61,45.19,30.02,30.0936,0,0,27035,24331500,,,58.6,2026-04-22,2026-04-22T20:51:00.000Z,4.28,2026-04-22 22:51:00-07:00
1776922560000,0.6711,4.2502,0.0,0.03,1,65,57.7,63,45.19,30.02,30.0938,0,0,27035,24331500,,,57.7,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 22:36:00-07:00
1776921660000,0.2237,2.0132,0.0,0.03,1,63,57.0,65,45.35,30.03,30.1039,0,0,27035,24331500,,,57.0,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 22:21:00-07:00
1776920760000,0.6711,4.2502,0.0,0.03,1,343,57.2,67,46.34,30.03,30.1039,0,0,27035,24331500,,,57.2,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 22:06:00-07:00
1776919860000,1.7895,4.4739,0.0,0.03,1,291,58.3,65,46.59,30.03,30.1037,0,0,27035,24331500,,,58.3,2026-04-22,2026-04-22T20:51:00.000Z,4.28,2026-04-22 21:51:00-07:00
1776918960000,2.6843,5.145,0.0,0.03,1,283,57.7,66,46.42,30.03,30.1038,0,0,27035,24331500,,,57.7,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 21:36:00-07:00
1776918060000,1.3422,4.2502,0.0,0.03,1,283,57.7,67,46.82,30.03,30.1038,0,0,27035,24331500,,,57.7,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 21:21:00-07:00
1776917160000,0.4474,3.1317,0.0,0.03,1,283,59.2,65,47.44,30.02,30.0936,0,0,27035,24331500,,,59.2,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 21:06:00-07:00
1776916260000,1.3422,6.4871,0.0,0.03,1,283,59.9,64,47.69,30.02,30.0935,0,0,27035,24331500,,,59.9,2026-04-22,2026-04-22T20:51:00.000Z,4.29,2026-04-22 20:51:00-07:00
1776915360000,0.2237,3.8028,0.0,0.03,1,310,60.1,64,47.88,30.01,30.0834,0,0,27035,24331500,,,60.1,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 20:36:00-07:00
1776914460000,1.7895,4.4739,0.0,0.03,1,310,60.3,65,48.48,30.01,30.0834,0,0,27035,24331500,,,60.3,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 20:21:00-07:00
1776913560000,0.0,0.0,0.0,0.03,1,310,61.3,65,49.43,30.01,30.0832,0,0,27035,24331500,,,61.3,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 20:06:00-07:00
1776912660000,0.8948,4.2502,0.0,0.03,1,299,62.4,62,49.21,30.0,30.0731,0,0,27035,24331500,,,62.4,2026-04-22,2026-04-22T20:51:00.000Z,4.3,2026-04-22 19:51:00-07:00
1776911760000,2.0132,4.0265,0.0,0.03,1,284,62.8,64,50.44,30.0,30.073,7,6300,27028,24331500,,,62.8,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 19:36:00-07:00
1776910860000,1.7895,3.8028,0.0,0.03,1,284,65.7,58,50.51,30.0,30.0726,30,27000,26998,24325200,,,65.7,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 19:21:00-07:00
1776909960000,1.7895,4.6976,0.0,0.03,1,284,66.6,57,50.88,30.0,30.0725,59,53100,26939,24298200,,,66.6,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 19:06:00-07:00
1776909060000,4.0265,10.7373,0.0,0.03,1,281,66.9,56,50.68,29.99,30.0624,90,81000,26849,24245100,,,66.9,2026-04-22,2026-04-22T20:51:00.000Z,4.31,2026-04-22 18:51:00-07:00
1776908160000,4.0265,8.5004,0.0,0.03,1,285,67.8,55,51.04,29.99,30.0623,128,115200,26721,24164100,,,67.8,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 18:36:00-07:00
1776907260000,6.0397,13.4216,0.0,0.03,1,277,67.3,58,52.01,29.98,30.0523,175,157500,26546,24048900,,,67.3,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 18:21:00-07:00
1776906360000,7.1582,14.3164,0.0,0.03,1,282,67.3,57,51.54,29.98,30.0523,222,199800,26053,23647500,,,67.3,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 18:06:00-07:00
1776905460000,8.5004,18.3429,0.0,0.03,1,280,68.0,55,51.22,29.98,30.0522,271,243900,26275,23691600,America/Los_Angeles,True,68.0,2026-04-22,,4.35,2026-04-22 17:51:00-07:00
1776904560000,10.2899,19.2377,0.0,0.03,1,282,68.4,53,50.59,29.98,30.0522,320,288000,25733,23447700,,,67.43,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 17:36:00-07:00
1776903660000,10.961,19.2377,0.0,0.03,1,265,67.3,59,52.47,29.99,30.0623,369,332100,25364,23159700,,,67.3,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 17:21:00-07:00
1776902760000,12.3031,22.3694,0.0,0.03,1,262,66.7,60,52.37,29.99,30.0624,418,376200,24946,22827600,,,66.7,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 17:06:00-07:00
1776901860000,13.1979,22.1457,0.0,0.03,1,261,66.4,61,52.53,29.99,30.0625,465,418500,24481,22451400,,,66.4,2026-04-22,2026-04-22T20:51:00.000Z,4.35,2026-04-22 16:51:00-07:00
1776900960000,13.869,24.1589,0.0,0.03,1,263,66.0,63,53.04,30.0,30.0725,510,459000,23971,22032900,,,66.0,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 16:36:00-07:00
1776900060000,13.1979,24.3826,0.0,0.03,1,262,66.0,63,53.04,30.01,30.0826,555,499500,23416,21573900,,,66.0,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 16:21:00-07:00
1776899160000,13.869,23.7115,0.0,0.03,1,261,66.2,63,53.22,30.0,30.0725,599,539100,22817,21074400,,,66.2,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 16:06:00-07:00
1776898260000,13.1979,24.1589,0.0,0.03,1,259,65.8,64,53.28,30.01,30.0826,640,576000,22177,20535300,,,65.8,2026-04-22,2026-04-22T20:51:00.000Z,4.36,2026-04-22 15:51:00-07:00
1776897360000,14.0927,23.0404,0.0,0.03,1,262,66.0,64,53.47,30.01,30.0826,678,610200,21499,19959300,,,66.0,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 15:36:00-07:00
1776896460000,13.869,24.6063,0.0,0.03,1,263,66.0,64,53.47,30.02,30.0926,714,642600,20785,19349100,,,66.0,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 15:21:00-07:00
1776895560000,14.0927,23.7115,0.0,0.03,1,263,66.0,64,53.47,30.03,30.1026,747,672300,20038,18706500,,,66.0,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 15:06:00-07:00
1776894660000,14.0927,24.3826,0.0,0.03,1,261,66.4,63,53.41,30.04,30.1126,777,699300,19261,18034200,,,66.4,2026-04-22,2026-04-22T20:51:00.000Z,4.36,2026-04-22 14:51:00-07:00
1776893760000,12.0795,21.4746,0.0,0.03,1,258,68.2,60,53.78,30.04,30.1123,804,723600,18457,17334900,,,67.54,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 14:36:00-07:00
1776892860000,12.9742,22.5931,0.0,0.03,1,263,68.0,56,51.71,30.05,30.1224,828,745200,17629,16611300,,,68.0,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 14:21:00-07:00
1776891960000,12.0795,23.2641,0.0,0.03,1,260,68.5,55,51.69,30.05,30.1223,846,761400,16783,15866100,,,67.63,2026-04-22,2026-04-22T20:51:00.000Z,,2026-04-22 14:06:00-07:00
1776891060000,12.7505,22.5931,0.06,0.01,1,262,68.0,56,51.71,30.05,30.1224,862,775800,15921,15104700,,,68.0,2026-04-22,2026-04-22T20:51:00.000Z,4.36,2026-04-22 13:51:00-07:00
1776890160000,10.7373,19.9087,0.0,0.01,1,266,69.4,52,51.0,30.06,30.1322,874,786600,15047,14328900,,,68.48,2026-04-22,2026-04-22T09:06:00.000Z,,2026-04-22 13:36:00-07:00
1776889260000,10.7373,20.1324,0.0,0.01,1,265,69.6,51,50.66,30.06,30.1322,881,792900,14166,13542300,,,68.66,2026-04-22,2026-04-22T09:06:00.000Z,,2026-04-22 13:21:00-07:00
1776888360000,10.0662,19.2377,0.0,0.01,1,273,69.6,49,49.58,30.07,30.1422,886,797400,13280,12749400,,,68.56,2026-04-22,2026-04-22T09:06:00.000Z,,2026-04-22 13:06:00-07:00
1776887460000,11.1847,19.9087,0.0,0.01,1,278,68.5,49,48.58,30.07,30.1424,888,799200,12392,11952000,,,67.35,2026-04-22,2026-04-22T09:06:00.000Z,4.37,2026-04-22 12:51:00-07:00
1776886560000,10.7373,21.6983,0.0,0.01,1,268,68.9,49,48.94,30.08,30.1523,884,795600,11508,11152800,,,67.79,2026-04-22,2026-04-22T09:06:00.000Z,,2026-04-22 12:36:00-07:00
1776885660000,11.1847,19.2377,0.0,0.01,1,260,67.5,53,49.76,30.09,30.1626,874,786600,10634,10357200,,,67.5,2026-04-22,2026-04-22T09:06:00.000Z,,2026-04-22 12:21:00-07:00
1776884760000,11.4084,21.0272,0.0,0.01,1,265,66.7,54,49.52,30.1,30.1727,866,779400,8075,8046900,,,66.7,2026-04-22,2026-04-22T09:06:00.000Z,,2026-04-22 12:06:00-07:00
