dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,batt1volts,tz,historical,local_time
1781679060000,2.4606,9.6188,0,0,1,84,60.3,87,56.41,29.9,29.9731,0,0,21769,19592100,60.3,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 23:51:00-07:00
1781678160000,2.0132,7.6056,0,0,1,76,60.3,87,56.41,29.9,29.9731,0,0,21769,19592100,60.3,2026-06-06T17:21:00.000Z,2026-06-16,4.27,,,2026-06-16 23:36:00-07:00
1781677260000,2.2369,11.1847,0,0,1,67,60.4,86,56.19,29.91,29.9831,0,0,21769,19592100,60.4,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 23:21:00-07:00
1781676360000,2.0132,9.6188,0,0,1,68,60.4,86,56.19,29.91,29.9831,0,0,21769,19592100,60.4,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 23:06:00-07:00
1781675460000,1.7895,6.2634,0,0,1,47,60.4,86,56.19,29.91,29.9831,0,0,21769,19592100,60.4,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 22:51:00-07:00
1781674560000,2.0132,7.3819,0,0,1,73,60.4,86,56.19,29.9,29.9731,0,0,21769,19592100,60.4,2026-06-06T17:21:00.000Z,2026-06-16,4.28,,,2026-06-16 22:36:00-07:00
1781673660000,2.0132,5.145,0,0,1,90,60.4,86,56.19,29.9,29.9731,0,0,21769,19592100,60.4,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 22:21:00-07:00
1781672760000,1.3422,5.3686,0,0,1,83,60.4,86,56.19,29.9,29.9731,0,0,21769,19592100,60.4,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 22:06:00-07:00
1781671860000,1.1185,4.6976,0,0,1,72,60.1,86,55.9,29.9,29.9731,0,0,21769,19592100,60.1,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 21:51:00-07:00
1781670960000,0.0,1.5659,0,0,1,233,59.5,87,55.63,29.9,29.9732,0,0,21769,19592100,59.5,2026-06-06T17:21:00.000Z,2026-06-16,4.29,,,2026-06-16 21:36:00-07:00
1781670060000,0.0,0.0,0,0,1,233,59.7,87,55.82,29.9,29.9732,0,0,21769,19592100,59.7,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 21:21:00-07:00
1781669160000,0.0,0.0,0,0,1,233,59.5,86,55.31,29.9,29.9732,0,0,21769,19592100,59.5,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 21:06:00-07:00
1781668260000,0.0,0.0,0,0,1,233,59.9,86,55.7,29.9,29.9732,0,0,21769,19592100,59.9,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 20:51:00-07:00
1781667360000,0.0,0.0,0,0,1,233,60.4,85,55.87,29.9,29.9731,0,0,21769,19592100,60.4,2026-06-06T17:21:00.000Z,2026-06-16,4.29,,,2026-06-16 20:36:00-07:00
1781666460000,0.4474,2.0132,0,0,1,233,60.8,85,56.26,29.9,29.973,2,1800,21767,19592100,60.8,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 20:21:00-07:00
1781665560000,1.5659,3.1317,0,0,1,233,61.2,84,56.32,29.9,29.973,9,8100,21740,19574100,61.2,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 20:06:00-07:00
1781664660000,2.908,5.5923,0,0,1,238,61.7,83,56.48,29.9,29.9729,18,16200,21749,19582200,61.7,,2026-06-16,,America/Los_Angeles,True,2026-06-16 19:51:00-07:00
1781663760000,3.3554,6.9345,0,0,1,273,62.4,81,56.49,29.9,29.9728,44,39600,21696,19566000,62.4,2026-06-06T17:21:00.000Z,2026-06-16,4.3,,,2026-06-16 19:36:00-07:00
1781662860000,4.4739,7.3819,0,0,1,250,63.0,80,56.73,29.9,29.9727,82,73800,21614,19526400,63.0,2026-06-06T17:21:00.000Z,2026-06-16,,,,2026-06-16 19:21:00-07:00
