dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,lastRain,date,tz,historical,local_time
1784962260000,3.3554,8.9477,0,0,1,97,67.8,82,4.27,62.1,29.85,29.9219,0,0,26974,24276600,67.8,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 23:51:00-07:00
1784961360000,2.6843,9.8425,0,0,1,77,68.0,81,,61.94,29.84,29.9119,0,0,26974,24276600,68.0,,2026-07-24,America/Los_Angeles,True,2026-07-24 23:36:00-07:00
1784960460000,1.7895,6.9345,0,0,1,79,68.2,81,,62.14,29.84,29.9119,0,0,26974,24276600,68.53,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 23:21:00-07:00
1784959560000,2.6843,8.2767,0,0,1,90,68.4,81,4.28,62.33,29.84,29.9118,0,0,26974,24276600,68.75,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 23:06:00-07:00
1784958660000,1.5659,7.6056,0,0,1,74,68.5,80,,62.08,29.84,29.9118,0,0,26974,24276600,68.81,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 22:51:00-07:00
1784957760000,2.4606,7.8293,0,0,1,72,68.7,79,,61.92,29.84,29.9118,0,0,26974,24276600,68.98,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 22:36:00-07:00
1784956860000,2.6843,7.3819,0,0,1,77,69.1,79,,62.3,29.84,29.9117,0,0,26974,24276600,69.42,,2026-07-24,America/Los_Angeles,True,2026-07-24 22:21:00-07:00
1784955960000,2.2369,7.3819,0,0,1,66,69.3,79,,62.5,29.83,29.9017,0,0,26974,24276600,69.64,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 22:06:00-07:00
1784955060000,2.4606,7.1582,0,0,1,77,69.4,78,,62.23,29.83,29.9017,0,0,26974,24276600,69.71,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 21:51:00-07:00
1784954160000,2.4606,6.4871,0,0,1,74,69.8,78,,62.62,29.82,29.8916,0,0,26974,24276600,70.15,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 21:36:00-07:00
1784953260000,1.5659,5.3686,0,0,1,62,69.6,78,4.29,62.43,29.82,29.8916,0,0,26974,24276600,69.93,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 21:21:00-07:00
1784952360000,1.3422,4.2502,0,0,1,71,69.4,78,,62.23,29.82,29.8917,0,0,26974,24276600,69.71,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 21:06:00-07:00
1784951460000,0.4474,2.908,0,0,1,91,69.1,78,,61.94,29.82,29.8917,0,0,26974,24276600,69.38,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 20:51:00-07:00
1784950560000,0.0,0.0,0,0,1,208,69.1,77,,61.58,29.81,29.8817,0,0,26974,24276600,69.33,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 20:36:00-07:00
1784949660000,0.0,0.0,0,0,1,208,69.8,77,4.29,62.25,29.81,29.8816,0,0,26974,24276600,70.1,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 20:21:00-07:00
1784948760000,0.4474,2.2369,0,0,1,208,70.3,76,,62.37,29.81,29.8815,5,4500,26969,24276600,70.6,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 20:06:00-07:00
1784947860000,1.3422,2.6843,0,0,1,208,71.2,76,,63.24,29.81,29.8814,13,11700,26956,24272100,71.59,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 19:51:00-07:00
1784946960000,1.3422,3.8028,0,0,1,208,72.1,74,,63.34,29.81,29.8813,41,36900,26915,24260400,72.49,2026-06-06T17:21:00.000Z,2026-07-24,,,2026-07-24 19:36:00-07:00
