dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,passkey,time,loc,date,batt1volts,local_time
1740987900000,4.2502,11.1847,0.0,0,1,3,51.4,64,30.08,30.1785,0,0,0,4806900,America/Los_Angeles,True,51.4,39.64,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,,2025-03-02 23:45:00-08:00
1740987000000,4.9213,12.5268,0.0,0,1,357,51.6,65,30.08,30.1785,0,0,0,4806900,America/Los_Angeles,True,51.6,40.22,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,4.09,2025-03-02 23:30:00-08:00
1740986100000,4.9213,11.6321,0.0,0,1,0,51.4,67,30.08,30.1785,0,0,0,4806900,America/Los_Angeles,True,51.4,40.81,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,,2025-03-02 23:15:00-08:00
1740985200000,4.4739,10.2899,0.0,0,1,0,51.4,69,30.09,30.1886,0,0,0,4806900,America/Los_Angeles,True,51.4,41.58,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,,2025-03-02 23:00:00-08:00
1740984300000,2.6843,10.7373,0.0,0,1,352,51.4,70,30.09,30.1886,0,0,0,4806900,America/Los_Angeles,True,51.4,41.95,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,,2025-03-02 22:45:00-08:00
1740983400000,2.0132,8.053,0.0,0,1,324,51.4,70,30.09,30.1886,0,0,0,4806900,America/Los_Angeles,True,51.4,41.95,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,4.09,2025-03-02 22:30:00-08:00
1740982500000,1.5659,6.7108,0.0,0,1,334,51.4,70,30.09,30.1886,0,0,0,4806900,America/Los_Angeles,True,51.4,41.95,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,,2025-03-02 22:15:00-08:00
1740981600000,1.3422,5.3686,0.0,0,1,305,51.4,69,30.1,30.1986,0,0,0,4806900,America/Los_Angeles,True,51.4,41.58,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,,2025-03-02 22:00:00-08:00
1740980700000,1.7895,7.1582,0.0,0,1,302,51.6,69,30.1,30.1986,0,0,0,4806900,America/Los_Angeles,True,51.6,41.77,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,,2025-03-02 21:45:00-08:00
1740979800000,2.2369,6.7108,0.0,0,1,252,51.8,68,30.1,30.1985,0,0,0,4806900,America/Los_Angeles,True,51.8,41.58,184b25e1e4b0679445bdc4f9f9a9c3f0,1740960000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1740960000000.json,2025-03-02,4.09,2025-03-02 21:30:00-08:00
