dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,feelsLike,dewPoint,passkey,time,loc,date,local_time
1742280300000,1.5659,6.9345,0.0,0,1,315,52.3,68,4.0,30.21,30.3088,0,0,0,3309300,America/Los_Angeles,True,52.3,42.06,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 23:45:00-07:00
1742279400000,1.7895,8.053,0.0,0,1,326,52.5,69,,30.2,30.2987,0,0,0,3309300,America/Los_Angeles,True,52.5,42.63,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 23:30:00-07:00
1742278500000,1.5659,6.0397,0.0,0,1,286,52.5,69,,30.19,30.2887,0,0,0,3309300,America/Los_Angeles,True,52.5,42.63,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 23:15:00-07:00
1742277600000,1.7895,5.3686,0.0,0,1,330,52.3,68,,30.19,30.2887,0,0,0,3309300,America/Los_Angeles,True,52.3,42.06,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 23:00:00-07:00
1742274900000,2.0132,5.3686,0.0,0,1,311,52.5,69,,30.18,30.2787,0,0,0,3309300,America/Los_Angeles,True,52.5,42.63,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 22:15:00-07:00
1742272200000,1.3422,6.7108,0.0,0,1,254,52.9,70,,30.17,30.2686,0,0,0,3309300,America/Los_Angeles,True,52.9,43.39,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 21:30:00-07:00
1742270400000,1.1185,6.4871,0.0,0,1,307,53.1,69,,30.16,30.2585,0,0,0,3309300,America/Los_Angeles,True,53.1,43.2,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 21:00:00-07:00
1742269500000,1.7895,6.7108,0.0,0,1,335,53.2,67,4.0,30.16,30.2585,0,0,0,3309300,America/Los_Angeles,True,53.2,42.53,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 20:45:00-07:00
1742268600000,2.2369,9.3951,0.0,0,1,347,53.4,66,,30.15,30.2484,0,0,0,3309300,America/Los_Angeles,True,53.4,42.33,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 20:30:00-07:00
1742267700000,2.2369,9.8425,0.0,0,1,2,54.0,64,,30.15,30.2483,0,0,0,3309300,America/Los_Angeles,True,54.0,42.1,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 20:15:00-07:00
1742265000000,1.7895,7.1582,0.0,0,1,7,55.0,60,,30.13,30.228,0,0,0,3309300,America/Los_Angeles,True,55.0,41.37,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 19:30:00-07:00
1742264100000,1.3422,4.4739,0.0,0,1,336,55.6,60,,30.13,30.2279,0,0,0,3309300,America/Los_Angeles,True,55.6,41.94,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 19:15:00-07:00
1742263200000,1.1185,6.0397,0.0,0,1,2,56.1,59,,30.12,30.2178,3,540,0,3309300,America/Los_Angeles,True,56.1,41.97,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 19:00:00-07:00
1742262300000,1.3422,5.816,0.0,0,1,347,56.7,57,4.02,30.11,30.2076,11,1980,0,3306600,America/Los_Angeles,True,56.7,41.64,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 18:45:00-07:00
1742261400000,1.7895,6.2634,0.0,0,1,298,57.6,57,,30.11,30.2075,13,2340,0,3296700,America/Los_Angeles,True,57.6,42.48,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 18:30:00-07:00
1742260500000,3.1317,10.5136,0.0,0,1,0,57.9,56,,30.11,30.2074,17,3060,0,3285000,America/Los_Angeles,True,57.9,42.3,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 18:15:00-07:00
1742257800000,2.2369,12.5268,0.0,0,1,336,58.6,55,,30.1,30.1972,28,5040,0,3229200,America/Los_Angeles,True,58.6,42.48,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 17:30:00-07:00
1742256000000,2.4606,11.6321,0.0,0,1,313,58.8,54,,30.1,30.1972,45,8100,0,3175200,America/Los_Angeles,True,58.8,42.19,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-17,2025-03-17 17:00:00-07:00
1742255100000,2.0132,5.816,0.0,0,1,291,59.4,55,4.03,30.1,30.1971,49,8820,0,3134700,America/Los_Angeles,True,59.4,43.23,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 16:45:00-07:00
1742254200000,1.3422,7.6056,0.0,0,1,318,59.4,57,,30.1,30.1971,96,17280,0,3090600,America/Los_Angeles,True,59.4,44.16,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 16:30:00-07:00
1742253300000,1.7895,7.1582,0.0,0,1,281,59.5,56,,30.09,30.187,55,9900,0,3004200,America/Los_Angeles,True,59.5,43.79,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 16:15:00-07:00
1742251500000,1.1185,6.0397,0.0,0,1,327,59.9,60,4.03,30.09,30.187,375,67500,0,2873700,America/Los_Angeles,True,59.9,45.98,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 15:45:00-07:00
1742250600000,1.3422,5.3686,0.0,0,1,301,59.9,66,,30.09,30.187,108,19440,0,2536200,America/Los_Angeles,True,59.9,48.51,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 15:30:00-07:00
1742249700000,2.4606,6.9345,0.0,0,1,235,59.2,72,,30.09,30.1871,189,34020,0,2439000,America/Los_Angeles,True,59.2,50.18,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 15:15:00-07:00
1742248800000,1.7895,5.145,0.0,0,1,245,58.1,79,,30.1,30.1973,169,30420,0,2268900,America/Los_Angeles,True,58.1,51.62,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 15:00:00-07:00
1742247900000,1.3422,4.6976,0.0,0,1,231,56.7,84,4.02,30.11,30.2076,182,32760,0,2116800,America/Los_Angeles,True,56.7,51.92,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 14:45:00-07:00
1742247000000,2.908,4.6976,0.0,0,1,245,57.0,80,,30.11,30.2076,102,18360,0,1953000,America/Los_Angeles,True,57.0,50.89,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 14:30:00-07:00
1742246100000,1.1185,3.1317,0.0,0,1,265,57.2,79,,30.11,30.2075,88,15840,0,1861200,America/Los_Angeles,True,57.2,50.75,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 14:15:00-07:00
1742242500000,2.908,5.3686,0.03,0,1,220,54.5,98,,30.13,30.2281,168,30240,0,1433700,America/Los_Angeles,True,54.5,53.95,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 13:15:00-07:00
1742239800000,0.2237,2.0132,0.03,0,1,191,53.2,97,,30.14,30.2384,68,12240,0,1068300,America/Los_Angeles,True,53.2,52.37,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 12:30:00-07:00
1742238000000,1.1185,2.2369,0.0,0,1,191,53.6,95,,30.13,30.2283,50,9000,0,930600,America/Los_Angeles,True,53.6,52.2,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 12:00:00-07:00
1742237100000,1.5659,2.2369,0.0,0,1,191,54.0,95,4.01,30.13,30.2282,69,12420,0,885600,America/Los_Angeles,True,54.0,52.6,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 11:45:00-07:00
1742236200000,0.0,1.5659,0.03,0,1,191,54.0,95,,30.13,30.2282,108,19440,0,823500,America/Los_Angeles,True,54.0,52.6,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 11:30:00-07:00
1742233500000,0.0,1.3422,0.0,0,1,191,53.1,92,4.01,30.14,30.2384,106,19080,0,605700,America/Los_Angeles,True,53.1,50.84,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 10:45:00-07:00
1742232600000,0.6711,2.4606,0.0,0,1,191,53.4,91,,30.13,30.2283,93,16740,0,510300,America/Los_Angeles,True,53.4,50.84,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 10:30:00-07:00
1742231700000,0.0,1.3422,0.0,0,1,191,53.8,90,,30.13,30.2282,58,10440,0,426600,America/Los_Angeles,True,53.8,50.94,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 10:15:00-07:00
1742230800000,1.1185,2.2369,0.0,0,1,191,53.8,89,,30.12,30.2182,51,9180,0,374400,America/Los_Angeles,True,53.8,50.63,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 10:00:00-07:00
1742229000000,1.3422,2.0132,0.0,0,1,191,53.6,88,,30.11,30.2082,43,7740,0,279900,America/Los_Angeles,True,53.6,50.13,184b25e1e4b0679445bdc4f9f9a9c3f0,1742169600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742169600000.json,2025-03-17,2025-03-17 09:30:00-07:00
