dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,passkey,time,loc,date,tz,historical,local_time
1742304600000,2.2369,6.0397,0,0,1,3,52.0,61,3.99,30.23,30.3289,0,0,0,0,52.0,38.97,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,,,2025-03-18 06:30:00-07:00
1742303700000,2.0132,6.2634,0,0,1,358,52.2,60,,30.23,30.3289,0,0,0,0,52.2,38.74,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 06:15:00-07:00
1742302800000,2.0132,5.3686,0,0,1,340,52.0,59,,30.23,30.3289,0,0,0,0,52.0,38.12,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 06:00:00-07:00
1742301900000,0.4474,3.5791,0,0,1,226,51.8,61,4.0,30.23,30.329,0,0,0,0,51.8,38.78,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 05:45:00-07:00
1742300100000,1.5659,6.2634,0,0,1,246,50.9,69,,30.24,30.3392,0,0,0,0,50.9,41.1,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 05:15:00-07:00
1742297400000,1.3422,4.6976,0,0,1,233,50.9,70,,30.24,30.3392,0,0,0,0,50.9,41.47,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 04:30:00-07:00
1742294700000,1.5659,5.5923,0,0,1,233,51.1,70,4.0,30.24,30.3391,0,0,0,0,51.1,41.66,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 03:45:00-07:00
1742293800000,2.4606,7.1582,0,0,1,231,51.1,69,,30.24,30.3391,0,0,0,0,51.1,41.29,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 03:30:00-07:00
1742292000000,0.8948,5.3686,0,0,1,217,51.4,68,,30.24,30.3391,0,0,0,0,51.4,41.2,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 03:00:00-07:00
1742291100000,1.7895,6.2634,0,0,1,232,51.4,69,4.0,30.24,30.3391,0,0,0,0,51.4,41.58,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 02:45:00-07:00
1742290200000,2.0132,6.2634,0,0,1,248,51.6,67,,30.24,30.339,0,0,0,0,51.6,41.01,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 02:30:00-07:00
1742286600000,2.2369,5.816,0,0,1,259,52.0,69,,30.22,30.3189,0,0,0,0,52.0,42.15,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 01:30:00-07:00
1742285700000,1.3422,4.9213,0,0,1,227,51.8,70,,30.22,30.3189,0,0,0,0,51.8,42.33,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 01:15:00-07:00
1742284800000,2.0132,8.7241,0,0,1,231,51.8,71,,30.22,30.3189,0,0,0,0,51.8,42.7,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 01:00:00-07:00
1742282100000,1.7895,4.4739,0,0,1,259,52.2,68,,30.21,30.3088,0,0,0,0,52.2,41.96,184b25e1e4b0679445bdc4f9f9a9c3f0,1742256000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1742256000000.json,2025-03-18,America/Los_Angeles,True,2025-03-18 00:15:00-07:00
