dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,batt1volts,lastRain,local_time
1754549220000,0.0,0.0,0,0,1,217,58.6,95,57.17,58.6,29.98,30.0769,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 23:47:00-07:00
1754548320000,0.0,0.0,0,0,1,217,58.8,95,57.37,58.8,29.98,30.0768,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 23:32:00-07:00
1754547420000,0.0,0.0,0,0,1,217,58.8,94,57.08,58.8,29.98,30.0768,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 23:17:00-07:00
1754546520000,0.0,0.0,0,0,1,217,59.0,94,57.27,59.0,29.98,30.0768,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,4.32,,2025-08-06 23:02:00-07:00
1754545620000,0.0,0.0,0,0,1,217,59.4,94,57.67,59.4,29.98,30.0767,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 22:47:00-07:00
1754544720000,0.0,0.0,0,0,1,217,59.5,94,57.77,59.5,29.98,30.0767,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 22:32:00-07:00
1754543820000,0.0,0.0,0,0,1,217,59.5,93,57.47,59.5,29.98,30.0767,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 22:17:00-07:00
1754542920000,0.0,0.0,0,0,1,217,59.5,93,57.47,59.5,29.98,30.0767,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,4.32,,2025-08-06 22:02:00-07:00
1754542020000,0.0,0.0,0,0,1,217,59.5,92,57.17,59.5,29.99,30.0867,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 21:47:00-07:00
1754541120000,0.0,0.0,0,0,1,217,59.9,92,57.57,59.9,29.98,30.0766,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 21:32:00-07:00
1754540220000,0.0,0.0,0,0,1,217,60.1,91,57.46,60.1,29.98,30.0766,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 21:17:00-07:00
1754539320000,0.0,0.0,0,0,1,217,60.4,91,57.76,60.4,29.98,30.0765,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,4.33,,2025-08-06 21:02:00-07:00
1754538420000,0.0,0.0,0,0,1,217,60.8,91,58.15,60.8,29.97,30.0664,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 20:47:00-07:00
1754537520000,0.0,0.0,0,0,1,217,61.0,91,58.35,61.0,29.97,30.0664,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 20:32:00-07:00
1754536620000,0.0,1.3422,0,0,1,217,61.3,90,58.34,61.3,29.97,30.0663,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 20:17:00-07:00
1754535720000,1.1185,2.0132,0,0,1,217,61.7,90,58.73,61.7,29.97,30.0662,0,0,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,4.33,,2025-08-06 20:02:00-07:00
1754534820000,0.8948,2.0132,0,0,1,217,61.9,89,58.62,61.9,29.97,30.0662,6,1080,276,8686800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 19:47:00-07:00
1754533920000,1.1185,2.2369,0,0,1,217,62.2,89,58.91,62.2,29.98,30.0762,13,2340,276,8681400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 19:32:00-07:00
1754533020000,1.3422,2.2369,0,0,1,217,62.6,88,58.99,62.6,29.98,30.0761,16,2880,276,8669700,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 19:17:00-07:00
1754532120000,1.5659,2.6843,0,0,1,217,63.1,87,59.16,63.1,29.98,30.076,25,4500,276,8655300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,4.33,,2025-08-06 19:02:00-07:00
1754531220000,2.0132,2.908,0,0,1,217,63.7,87,59.75,63.7,29.98,30.0759,37,6660,276,8632800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 18:47:00-07:00
1754530320000,1.5659,3.1317,0,0,1,217,63.5,87,59.56,63.5,29.98,30.0759,44,7920,276,8599500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754524800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754524800000.json,2025-08-06,,,2025-08-06 18:32:00-07:00
