dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,local_time
1754981220000,0.0,0.0,0,0,1,208,62.2,90,4.32,59.23,62.2,29.89,29.9859,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 23:47:00-07:00
1754980320000,0.0,0.0,0,0,1,208,62.4,90,,59.43,62.4,29.89,29.9859,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 23:32:00-07:00
1754979420000,0.0,0.0,0,0,1,208,62.2,90,,59.23,62.2,29.9,29.9959,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 23:17:00-07:00
1754978520000,0.0,0.0,0,0,1,208,62.4,90,,59.43,62.4,29.89,29.9859,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 23:02:00-07:00
1754977620000,0.0,0.0,0,0,1,208,62.6,90,4.33,59.62,62.6,29.89,29.9858,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 22:47:00-07:00
1754976720000,0.0,0.0,0,0,1,208,62.8,90,,59.82,62.8,29.89,29.9858,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 22:32:00-07:00
1754975820000,0.0,0.8948,0,0,1,208,62.8,90,,59.82,62.8,29.9,29.9958,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 22:17:00-07:00
1754974920000,0.0,0.0,0,0,1,208,63.0,89,,59.7,63.0,29.9,29.9958,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 22:02:00-07:00
1754974020000,0.0,0.0,0,0,1,208,63.0,88,4.33,59.39,63.0,29.9,29.9958,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 21:47:00-07:00
1754973120000,0.0,0.0,0,0,1,208,63.1,87,,59.16,63.1,29.9,29.9958,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 21:32:00-07:00
1754972220000,0.0,0.0,0,0,1,208,63.5,86,,59.23,63.5,29.89,29.9857,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 21:17:00-07:00
1754971320000,0.0,0.0,0,0,1,208,63.9,84,,58.97,63.9,29.89,29.9856,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 21:02:00-07:00
1754970420000,0.0,0.0,0,0,1,208,64.2,82,4.33,58.58,64.2,29.88,29.9755,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 20:47:00-07:00
1754969520000,0.0,0.0,0,0,1,208,64.6,81,,58.63,64.6,29.88,29.9754,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 20:32:00-07:00
1754968620000,0.0,0.0,0,0,1,208,64.9,80,,58.58,64.9,29.88,29.9754,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 20:17:00-07:00
1754967720000,0.0,0.0,0,0,1,208,65.3,79,,58.61,65.3,29.88,29.9753,0,0,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 20:02:00-07:00
1754966820000,0.0,0.0,0,0,1,208,65.8,78,4.33,58.74,65.8,29.87,29.9652,1,180,59,5775300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 19:47:00-07:00
1754965920000,0.0,1.1185,0,0,1,208,66.2,78,,59.13,66.2,29.87,29.9651,5,900,59,5774400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 19:32:00-07:00
1754965020000,0.0,0.0,0,0,1,208,66.0,78,,58.94,66.0,29.87,29.9651,8,1440,59,5769900,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 19:17:00-07:00
1754964120000,0.0,0.0,0,0,1,208,65.7,80,,59.35,65.7,29.87,29.9652,11,1980,59,5762700,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 19:02:00-07:00
1754963220000,0.6711,1.7895,0,0,1,208,65.1,83,4.34,59.8,65.1,29.88,29.9753,15,2700,59,5752800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 18:47:00-07:00
1754962320000,1.3422,2.0132,0,0,1,208,64.8,85,,60.18,64.8,29.88,29.9754,34,6120,59,5739300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 18:32:00-07:00
1754961420000,1.5659,2.4606,0,0,1,208,64.8,85,,60.18,64.8,29.88,29.9754,24,4320,59,5708700,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 18:17:00-07:00
1754960520000,2.0132,2.908,0,0,1,208,65.3,83,,60.0,65.3,29.89,29.9853,30,5400,59,5687100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 18:02:00-07:00
1754959620000,2.2369,3.5791,0,0,1,208,65.8,82,4.36,60.15,65.8,29.89,29.9852,34,6120,59,5660100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 17:47:00-07:00
1754958720000,2.2369,3.3554,0,0,1,208,65.5,82,,59.85,65.5,29.9,29.9953,37,6660,59,5629500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 17:32:00-07:00
1754957820000,2.4606,3.1317,0,0,1,208,65.7,80,,59.35,65.7,29.9,29.9953,42,7560,59,5596200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1754956800000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1754956800000.json,2025-08-11,2025-08-11 17:17:00-07:00
