dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,batt1volts,local_time
1759128420000,0.0,0.0,0,0,1,74,59.7,91,57.07,59.7,30.01,30.1067,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 23:47:00-07:00
1759127520000,0.0,0.0,0,0,1,74,59.9,90,56.96,59.9,30.01,30.1067,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 23:32:00-07:00
1759126620000,0.0,0.0,0,0,1,74,60.1,90,57.15,60.1,30.01,30.1067,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 23:17:00-07:00
1759125720000,0.0,0.0,0,0,1,74,60.3,90,57.35,60.3,30.01,30.1066,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,4.25,2025-09-28 23:02:00-07:00
1759124820000,0.0,0.0,0,0,1,74,60.6,89,57.34,60.6,30.0,30.0965,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 22:47:00-07:00
1759123920000,0.0,0.0,0,0,1,74,61.3,89,58.03,61.3,30.0,30.0964,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 22:32:00-07:00
1759123020000,0.0,0.0,0,0,1,74,61.7,90,58.73,61.7,30.0,30.0963,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 22:17:00-07:00
1759122120000,0.0,0.0,0,0,1,74,61.9,89,58.62,61.9,30.0,30.0963,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,4.25,2025-09-28 22:02:00-07:00
1759121220000,0.0,0.0,0,0,1,74,62.4,89,59.11,62.4,30.0,30.0962,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 21:47:00-07:00
1759120320000,0.0,0.0,0,0,1,74,63.0,88,59.39,63.0,30.0,30.0961,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 21:32:00-07:00
1759119420000,0.0,0.0,0,0,1,74,63.3,88,59.68,63.3,30.0,30.096,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 21:17:00-07:00
1759118520000,0.0,0.0,0,0,1,74,63.7,88,60.08,63.7,30.0,30.096,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,4.25,2025-09-28 21:02:00-07:00
1759117620000,0.0,0.0,0,0,1,74,63.9,88,60.27,63.9,29.99,30.0859,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 20:47:00-07:00
1759116720000,0.0,0.0,0,0,1,74,64.2,87,60.25,64.2,29.99,30.0858,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 20:32:00-07:00
1759115820000,0.0,0.0,0,0,1,74,64.8,85,60.18,64.8,29.99,30.0857,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 20:17:00-07:00
1759114920000,0.0,0.0,0,0,1,74,65.3,85,60.67,65.3,29.98,30.0756,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,4.25,2025-09-28 20:02:00-07:00
1759114020000,0.0,0.0,0,0,1,74,66.2,84,61.22,66.2,29.98,30.0755,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 19:47:00-07:00
1759113120000,0.0,0.0,0,0,1,74,67.1,84,62.1,67.1,29.98,30.0753,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 19:32:00-07:00
1759112220000,0.0,0.0,0,0,1,74,67.6,83,62.25,67.6,29.98,30.0752,0,0,0,2375100,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1759104000000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1759104000000.json,2025-09-28,,2025-09-28 19:17:00-07:00
