dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,tz,historical,passkey,time,loc,date,lastRain,local_time
1761202020000,0.0,1.3422,0,0,1,355,59.9,80,4.3,53.71,59.9,30.04,30.1368,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 23:47:00-07:00
1761201120000,0.0,2.0132,0,0,1,355,61.0,78,,54.09,61.0,30.04,30.1366,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 23:32:00-07:00
1761200220000,0.0,2.0132,0,0,1,355,62.1,76,,54.44,62.1,30.04,30.1364,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 23:17:00-07:00
1761199320000,1.1185,3.3554,0,0,1,355,63.0,74,,54.58,63.0,30.03,30.1262,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 23:02:00-07:00
1761198420000,1.7895,6.4871,0,0,1,355,63.3,74,4.31,54.87,63.3,30.03,30.1261,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 22:47:00-07:00
1761197520000,3.1317,7.8293,0,0,1,354,63.5,74,,55.06,63.5,30.03,30.1261,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 22:32:00-07:00
1761196620000,3.1317,6.9345,0,0,1,351,63.5,73,,54.69,63.5,30.03,30.1261,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 22:17:00-07:00
1761195720000,4.0265,8.7241,0,0,1,358,63.7,73,,54.88,63.7,30.02,30.116,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 22:02:00-07:00
1761194820000,4.2502,7.1582,0,0,1,355,63.9,73,4.32,55.07,63.9,30.01,30.106,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 21:47:00-07:00
1761193920000,3.8028,8.2767,0,0,1,355,64.0,72,,54.79,64.0,30.01,30.1059,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 21:32:00-07:00
1761193020000,3.5791,8.7241,0,0,1,352,64.6,71,,54.98,64.6,30.01,30.1058,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 21:17:00-07:00
1761192120000,2.6843,5.145,0,0,1,345,65.1,70,,55.07,65.1,30.0,30.0957,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 21:02:00-07:00
1761191220000,3.1317,5.816,0,0,1,345,65.3,70,4.33,55.26,65.3,29.99,30.0856,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 20:47:00-07:00
1761190320000,2.0132,5.5923,0,0,1,340,64.9,71,,55.27,64.9,30.0,30.0958,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 20:32:00-07:00
1761189420000,1.3422,5.3686,0,0,1,274,64.0,75,,55.91,64.0,30.0,30.0959,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 20:17:00-07:00
1761188520000,0.4474,2.0132,0,0,1,226,64.0,76,,56.28,64.0,30.0,30.0959,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 20:02:00-07:00
1761187620000,1.1185,2.908,0,0,1,226,64.0,75,4.33,55.91,64.0,29.99,30.0859,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 19:47:00-07:00
1761186720000,0.6711,2.908,0,0,1,226,63.7,74,,55.25,63.7,29.99,30.0859,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 19:32:00-07:00
1761185820000,0.6711,2.4606,0,0,1,226,64.0,72,,54.79,64.0,29.99,30.0859,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 19:17:00-07:00
1761184920000,0.0,0.0,0,0,1,226,65.3,70,,55.26,65.3,29.98,30.0756,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 19:02:00-07:00
1761184020000,0.4474,2.2369,0,0,1,226,66.2,68,4.34,55.32,66.2,29.98,30.0755,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 18:47:00-07:00
1761183120000,0.0,0.8948,0,0,1,226,66.9,67,,55.58,66.9,29.98,30.0753,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 18:32:00-07:00
1761182220000,0.0,1.1185,0,0,1,226,67.3,67,,55.96,67.3,29.98,30.0753,0,0,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 18:17:00-07:00
1761181320000,0.4474,4.4739,0,0,1,226,67.6,67,,56.24,67.6,29.98,30.0752,3,540,33,4842000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 18:02:00-07:00
1761180420000,2.2369,5.145,0,0,1,225,67.5,69,4.34,56.96,67.5,29.98,30.0752,6,1080,33,4839300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 17:47:00-07:00
1761179520000,2.908,6.9345,0,0,1,225,67.5,70,,57.36,67.5,29.98,30.0752,9,1620,33,4833900,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 17:32:00-07:00
1761178620000,4.0265,6.9345,0,0,1,218,69.3,65,,57.02,68.99,29.98,30.0749,12,2160,33,4825800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 17:17:00-07:00
1761177720000,2.0132,6.2634,0,0,1,218,70.2,60,,55.65,69.74,29.98,30.0747,16,2880,33,4815000,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761177600000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761177600000.json,2025-10-22,,2025-10-22 17:02:00-07:00
1761176820000,1.7895,5.3686,0,0,1,225,68.5,67,4.36,57.1,68.2,29.98,30.075,19,3420,33,4800600,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 16:47:00-07:00
1761175920000,4.6976,8.5004,0,0,1,217,66.9,75,,58.71,66.9,29.98,30.0753,24,4320,33,4783500,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 16:32:00-07:00
1761175020000,5.145,10.0662,0,0,1,216,67.5,73,,58.53,67.5,29.98,30.0752,85,15300,33,4761900,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 16:17:00-07:00
1761174120000,4.9213,8.2767,0,0,1,220,68.2,70,,58.03,68.01,29.98,30.0751,123,22140,33,4685400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 16:02:00-07:00
1761173220000,3.3554,6.0397,0,0,1,240,67.8,71,4.38,58.05,67.8,29.99,30.0852,211,37980,33,4574700,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 15:47:00-07:00
1761172320000,3.5791,8.2767,0,0,1,237,67.6,72,,58.24,67.6,29.99,30.0852,105,18900,33,4384800,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 15:32:00-07:00
1761171420000,4.4739,8.5004,0,0,1,224,67.8,72,,58.44,67.8,30.0,30.0952,40,7200,33,4290300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 15:17:00-07:00
1761170520000,4.0265,8.2767,0,0,1,217,68.2,71,,58.43,68.06,29.99,30.0851,41,7380,33,4254300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 15:02:00-07:00
1761169620000,3.5791,6.7108,0,0,1,227,68.4,71,4.44,58.62,68.28,29.99,30.0851,60,10800,33,4217400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 14:47:00-07:00
1761168720000,2.6843,5.5923,0,0,1,242,68.7,70,,58.51,68.56,29.99,30.085,159,28620,33,4163400,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 14:32:00-07:00
1761167820000,2.4606,5.5923,0,0,1,224,69.1,69,,58.49,68.95,30.0,30.095,239,43020,33,4020300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 14:17:00-07:00
1761166920000,2.2369,5.5923,0,0,1,220,69.1,69,,58.49,68.95,30.01,30.105,590,106200,33,3805200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 14:02:00-07:00
1761166020000,1.7895,5.3686,0,0,1,227,68.5,70,4.66,58.32,68.34,30.01,30.1051,591,106380,33,3274200,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 13:47:00-07:00
1761165120000,2.2369,5.3686,0,0,1,223,68.2,71,,58.43,68.06,30.02,30.1152,613,110340,33,2742300,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 13:32:00-07:00
1761164220000,2.2369,6.0397,0,0,1,232,68.0,71,,58.24,68.0,30.03,30.1253,616,110880,33,2190600,America/Los_Angeles,True,184b25e1e4b0679445bdc4f9f9a9c3f0,1761091200000,184b25e1e4b0679445bdc4f9f9a9c3f0/daily/1761091200000.json,2025-10-22,,2025-10-22 13:17:00-07:00
