dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,feelsLike,dewPoint,lastRain,passkey,time,loc,date,batt1volts,tz,historical,local_time
1746600600000,0.6711,3.1317,0,0,1,272,57.7,85,30.0,30.0737,0,0,15217,13695300,57.7,53.22,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 23:50:00-07:00
1746599700000,1.1185,2.4606,0,0,1,272,57.7,85,30.0,30.0737,0,0,15217,13695300,57.7,53.22,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,4.29,,,2025-05-06 23:35:00-07:00
1746598800000,0.6711,2.0132,0,0,1,272,57.7,84,30.0,30.0737,0,0,15217,13695300,57.7,52.9,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 23:20:00-07:00
1746597900000,0.0,0.0,0,0,1,272,57.7,84,30.0,30.0737,0,0,15217,13695300,57.7,52.9,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 23:05:00-07:00
1746597000000,1.1185,1.7895,0,0,1,272,57.9,84,30.0,30.0737,0,0,15217,13695300,57.9,53.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 22:50:00-07:00
1746596100000,0.2237,1.5659,0,0,1,272,57.9,84,30.0,30.0737,0,0,15217,13695300,57.9,53.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,4.3,,,2025-05-06 22:35:00-07:00
1746595200000,0.0,0.0,0,0,1,272,57.9,84,30.0,30.0737,0,0,15217,13695300,57.9,53.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 22:20:00-07:00
1746594300000,0.4474,2.2369,0,0,1,272,57.9,84,30.0,30.0737,0,0,15217,13695300,57.9,53.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 22:05:00-07:00
1746593400000,0.6711,2.2369,0,0,1,272,57.9,84,29.99,30.0637,0,0,15217,13695300,57.9,53.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 21:50:00-07:00
1746592500000,0.4474,2.4606,0,0,1,272,57.9,84,29.99,30.0637,0,0,15217,13695300,57.9,53.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,4.3,,,2025-05-06 21:35:00-07:00
1746591600000,0.0,2.0132,0,0,1,272,57.9,84,29.99,30.0637,0,0,15217,13695300,57.9,53.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 21:20:00-07:00
1746590700000,1.3422,3.5791,0,0,1,272,57.7,84,29.98,30.0537,0,0,15217,13695300,57.7,52.9,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 21:05:00-07:00
1746589800000,1.5659,3.3554,0,0,1,272,57.7,84,29.98,30.0537,0,0,15217,13695300,57.7,52.9,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 20:50:00-07:00
1746588900000,1.7895,3.8028,0,0,1,272,57.9,84,29.98,30.0536,0,0,15217,13695300,57.9,53.09,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,4.31,,,2025-05-06 20:35:00-07:00
1746588000000,2.4606,4.6976,0,0,1,272,57.9,83,29.98,30.0536,0,0,15217,13695300,57.9,52.77,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 20:20:00-07:00
1746587100000,2.6843,5.145,0,0,1,272,57.9,83,29.97,30.0436,0,0,15217,13695300,57.9,52.77,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 20:05:00-07:00
1746586200000,2.2369,3.8028,0,0,1,272,58.3,83,29.96,30.0335,1,900,15216,13695300,58.3,53.16,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 19:50:00-07:00
1746585300000,2.0132,3.5791,0,0,1,272,58.5,82,29.96,30.0335,8,7200,15208,13694400,58.5,53.02,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,4.31,,,2025-05-06 19:35:00-07:00
1746584400000,2.4606,4.4739,0,0,1,272,58.6,81,29.95,30.0235,27,24300,15181,13687200,58.6,52.79,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 19:20:00-07:00
1746583500000,2.6843,5.3686,0,0,1,272,59.0,81,29.95,30.0234,56,50400,15125,13662900,59.0,53.18,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 19:05:00-07:00
1746582600000,2.908,5.5923,0,0,1,259,59.2,80,29.95,30.0234,62,55800,15063,13612500,59.2,53.03,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 18:50:00-07:00
1746581700000,3.1317,6.7108,0,0,1,274,59.4,80,29.95,30.0234,96,86400,14967,13556700,59.4,53.23,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,4.34,,,2025-05-06 18:35:00-07:00
1746580800000,3.8028,7.1582,0,0,1,274,59.4,80,29.95,30.0234,121,108900,14846,13470300,59.4,53.23,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 18:20:00-07:00
1746579900000,3.8028,8.7241,0,0,1,271,59.5,80,29.94,30.0133,166,149400,14680,13361400,59.5,53.32,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 18:05:00-07:00
1746579000000,4.2502,8.9477,0,0,1,278,59.7,80,29.94,30.0133,205,184500,14475,13212000,59.7,53.52,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 17:50:00-07:00
1746578100000,4.4739,7.6056,0,0,1,278,59.5,80,29.94,30.0133,205,184500,14270,13027500,59.5,53.32,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,4.38,,,2025-05-06 17:35:00-07:00
1746577200000,4.4739,9.3951,0,0,1,284,59.5,81,29.94,30.0133,238,214200,14032,12843000,59.5,53.66,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 17:20:00-07:00
1746576300000,4.6976,9.8425,0,0,1,274,59.7,81,29.94,30.0133,217,195300,13554,12393900,59.7,53.86,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746576000000,7395c226de765e6694f274e64ffcfa1e/daily/1746576000000.json,2025-05-06,,,,2025-05-06 17:05:00-07:00
1746575400000,5.145,9.6188,0,0,1,267,60.1,80,29.93,30.0032,261,234900,13771,12433500,60.1,53.91,,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-06,,America/Los_Angeles,True,2025-05-06 16:50:00-07:00
1746574500000,5.145,10.2899,0,0,1,263,60.3,80,29.93,30.0032,319,287100,13235,12198600,60.3,54.1,2025-04-26T15:20:00.000Z,7395c226de765e6694f274e64ffcfa1e,1746489600000,7395c226de765e6694f274e64ffcfa1e/daily/1746489600000.json,2025-05-06,,,,2025-05-06 16:35:00-07:00
