dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,batt1volts,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,passkey,time,loc,date,tz,historical,local_time
1762674660000,0.2237,2.6843,0,0,1,343,61.3,95,4.28,59.85,61.3,30.01,30.0832,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 23:51:00-08:00
1762673760000,0.2237,2.0132,0,0,1,46,61.3,95,,59.85,61.3,30.01,30.0832,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 23:36:00-08:00
1762672860000,0.2237,3.5791,0,0,1,68,61.2,95,,59.75,61.2,30.01,30.0832,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 23:21:00-08:00
1762671960000,0.0,1.7895,0,0,1,205,61.2,95,,59.75,61.2,30.0,30.0732,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 23:06:00-08:00
1762671060000,0.0,1.1185,0,0,1,205,61.0,95,4.29,59.56,61.0,30.0,30.0732,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 22:51:00-08:00
1762670160000,0.0,1.7895,0,0,1,205,61.0,95,,59.56,61.0,30.0,30.0732,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 22:36:00-08:00
1762669260000,0.0,0.0,0,0,1,205,61.3,95,,59.85,61.3,29.99,30.0632,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 22:21:00-08:00
1762668360000,0.0,0.8948,0,0,1,206,61.2,95,,59.75,61.2,29.98,30.0532,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 22:06:00-08:00
1762667460000,0.0,0.0,0,0,1,209,61.0,95,4.29,59.56,61.0,29.98,30.0532,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 21:51:00-08:00
1762666560000,0.0,0.0,0,0,1,209,61.0,95,,59.56,61.0,29.98,30.0532,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 21:36:00-08:00
1762665660000,0.0,0.0,0,0,1,209,60.8,95,,59.36,60.8,29.98,30.0532,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 21:21:00-08:00
1762664760000,0.0,1.5659,0,0,1,209,60.6,95,,59.16,60.6,29.97,30.0432,0,0,10645,9580500,2025-11-07T13:21:00.000Z,7395c226de765e6694f274e64ffcfa1e,1762646400000,7395c226de765e6694f274e64ffcfa1e/daily/1762646400000.json,2025-11-08,,,2025-11-08 21:06:00-08:00
