dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,local_time,passkey,time,loc
1762847460000,0.2237,3.3554,0.0,0.01,1,94,58.8,97,57.95,58.8,30.08,30.1538,0,0,12694,11424600,2025-11-10T13:36:00.000Z,2025-11-10,,,,2025-11-10 23:51:00-08:00,,,
1762846560000,0.6711,2.908,0.0,0.01,1,94,59.0,97,58.15,59.0,30.07,30.1437,0,0,12694,11424600,2025-11-10T13:36:00.000Z,2025-11-10,4.27,,,2025-11-10 23:36:00-08:00,,,
1762845660000,1.3422,5.816,0.0,0.01,1,97,58.8,97,57.95,58.8,30.07,30.1437,0,0,12694,11424600,2025-11-10T13:36:00.000Z,2025-11-10,,,,2025-11-10 23:21:00-08:00,,,
1762844760000,0.0,0.0,0.0,0.01,1,238,58.5,97,57.65,58.5,30.07,30.1438,0,0,12694,11424600,2025-11-10T13:36:00.000Z,2025-11-10,,,,2025-11-10 23:06:00-08:00,,,
1762843860000,0.0,0.0,0.0,0.01,1,238,58.3,97,57.45,58.3,30.08,30.1538,0,0,12694,11424600,2025-11-10T13:36:00.000Z,2025-11-10,,,,2025-11-10 22:51:00-08:00,,,
1762842960000,0.0,0.0,0.0,0.01,1,238,58.3,97,57.45,58.3,30.08,30.1538,0,0,12694,11424600,2025-11-10T13:36:00.000Z,2025-11-10,4.29,,,2025-11-10 22:36:00-08:00,,,
1762842060000,0.0,0.0,0.0,0.01,1,238,57.7,96,56.57,57.7,30.09,30.1639,0,0,12694,11424600,2025-11-10T13:36:00.000Z,2025-11-10,,,,2025-11-10 22:21:00-08:00,,,
1762840260000,0.0,0.0,0.0,0.01,1,238,57.2,96,56.07,57.2,30.09,30.164,0,0,12694,11424600,2025-11-10T13:36:00.000Z,2025-11-10,,,,2025-11-10 21:51:00-08:00,,,
1762839360000,0.0,0.0,0.0,0.01,1,238,56.7,96,55.57,56.7,30.09,30.1641,0,0,12694,11424600,2025-11-10T13:36:00.000Z,2025-11-10,4.29,,,2025-11-10 21:36:00-08:00,,,
1762838460000,0.0,0.0,0.0,0.01,1,238,56.1,96,54.97,56.1,30.09,30.1642,0,0,12694,11424600,,2025-11-10,,America/Los_Angeles,True,2025-11-10 21:21:00-08:00,,,
