dateutc,windspeedmph,windgustmph,hourlyrainin,dailyrainin,trustdevicetime,winddir,tempf,humidity,dewPoint,feelsLike,baromabsin,baromrelin,solarradiation,sis,sds,solarradday,lastRain,date,batt1volts,tz,historical,passkey,time,loc,local_time
1763193060000,0.0,0.0,0.0,2.06,1,277,60.4,97,59.54,60.4,29.89,29.9631,0,0,2022,1819800,2025-11-15T07:36:00.000Z,2025-11-14,,,,,,,2025-11-14 23:51:00-08:00
1763192160000,0.2237,2.0132,0.03,2.05,1,277,60.4,97,59.54,60.4,29.9,29.9731,0,0,2022,1819800,2025-11-15T07:36:00.000Z,2025-11-14,,,,,,,2025-11-14 23:36:00-08:00
1763191260000,0.0,2.0132,0.0,2.05,1,277,60.4,97,59.54,60.4,29.9,29.9731,0,0,2022,1819800,2025-11-15T06:51:00.000Z,2025-11-14,4.21,,,,,,2025-11-14 23:21:00-08:00
1763190360000,0.6711,2.6843,0.0,2.05,1,277,60.6,97,59.74,60.6,29.91,29.9831,0,0,2022,1819800,2025-11-15T06:51:00.000Z,2025-11-14,,,,,,,2025-11-14 23:06:00-08:00
1763189460000,0.8948,2.4606,0.03,2.04,1,277,60.4,97,59.54,60.4,29.9,29.9731,0,0,2022,1819800,2025-11-15T06:51:00.000Z,2025-11-14,,,,,,,2025-11-14 22:51:00-08:00
1763188560000,0.4474,2.4606,0.0,2.04,1,277,60.4,97,59.54,60.4,29.91,29.9831,0,0,2022,1819800,2025-11-15T06:21:00.000Z,2025-11-14,,,,,,,2025-11-14 22:36:00-08:00
1763187660000,0.6711,2.4606,0.03,2.03,1,277,60.3,97,59.44,60.3,29.91,29.9831,0,0,2022,1819800,2025-11-15T06:21:00.000Z,2025-11-14,4.21,,,,,,2025-11-14 22:21:00-08:00
1763186760000,0.0,1.5659,0.0,2.03,1,277,60.3,97,59.44,60.3,29.91,29.9831,0,0,2022,1819800,2025-11-15T05:51:00.000Z,2025-11-14,,,,,,,2025-11-14 22:06:00-08:00
1763185860000,0.0,0.0,0.03,2.02,1,277,60.1,97,59.24,60.1,29.91,29.9832,0,0,2022,1819800,2025-11-15T05:51:00.000Z,2025-11-14,,,,,,,2025-11-14 21:51:00-08:00
1763184960000,0.0,0.0,0.0,2.02,1,277,60.1,97,59.24,60.1,29.92,29.9932,0,0,2022,1819800,2025-11-15T05:21:00.000Z,2025-11-14,,,,,,,2025-11-14 21:36:00-08:00
1763184060000,0.0,0.0,0.03,2.01,1,277,60.1,97,59.24,60.1,29.92,29.9932,0,0,2022,1819800,2025-11-15T05:21:00.000Z,2025-11-14,4.22,,,,,,2025-11-14 21:21:00-08:00
1763183160000,0.4474,4.2502,0.0,2.01,1,277,59.9,97,59.05,59.9,29.92,29.9932,0,0,2022,1819800,2025-11-15T04:36:00.000Z,2025-11-14,,,,,,,2025-11-14 21:06:00-08:00
1763182260000,1.5659,5.816,0.0,2.01,1,277,59.9,97,59.05,59.9,29.92,29.9932,0,0,2022,1819800,2025-11-15T04:36:00.000Z,2025-11-14,,,,,,,2025-11-14 20:51:00-08:00
1763181360000,3.1317,6.4871,0.03,2.0,1,277,59.9,97,59.05,59.9,29.92,29.9932,0,0,2022,1819800,2025-11-15T04:36:00.000Z,2025-11-14,,,,,,,2025-11-14 20:36:00-08:00
1763180460000,1.1185,4.0265,0.0,2.0,1,278,60.1,97,59.24,60.1,29.92,29.9932,0,0,2022,1819800,2025-11-15T04:06:00.000Z,2025-11-14,4.21,,,,,,2025-11-14 20:21:00-08:00
1763179560000,2.2369,5.145,0.03,1.99,1,278,60.1,97,59.24,60.1,29.92,29.9932,0,0,2022,1819800,2025-11-15T04:06:00.000Z,2025-11-14,,,,,,,2025-11-14 20:06:00-08:00
1763178660000,1.1185,5.3686,0.0,1.99,1,111,60.3,97,59.44,60.3,29.91,29.9831,0,0,2022,1819800,2025-11-15T03:36:00.000Z,2025-11-14,,,,,,,2025-11-14 19:51:00-08:00
1763177760000,0.0,0.0,0.03,1.98,1,104,60.4,97,59.54,60.4,29.91,29.9831,0,0,2022,1819800,2025-11-15T03:36:00.000Z,2025-11-14,,,,,,,2025-11-14 19:36:00-08:00
1763176860000,0.0,0.0,0.0,1.98,1,104,60.4,97,59.54,60.4,29.91,29.9831,0,0,2022,1819800,2025-11-15T03:06:00.000Z,2025-11-14,4.21,,,,,,2025-11-14 19:21:00-08:00
1763175960000,0.0,0.0,0.03,1.97,1,104,60.3,96,59.15,60.3,29.91,29.9831,0,0,2022,1819800,2025-11-15T03:06:00.000Z,2025-11-14,,,,,,,2025-11-14 19:06:00-08:00
1763175060000,0.0,0.0,0.0,1.97,1,104,60.4,96,59.25,60.4,29.91,29.9831,0,0,2022,1819800,2025-11-15T02:36:00.000Z,2025-11-14,,,,,,,2025-11-14 18:51:00-08:00
1763174160000,0.0,0.0,0.03,1.96,1,104,60.4,96,59.25,60.4,29.91,29.9831,0,0,2022,1819800,2025-11-15T02:36:00.000Z,2025-11-14,,,,,,,2025-11-14 18:36:00-08:00
1763173260000,0.0,0.0,0.0,1.96,1,104,60.4,96,59.25,60.4,29.91,29.9831,0,0,2022,1819800,2025-11-15T02:06:00.000Z,2025-11-14,4.22,,,,,,2025-11-14 18:21:00-08:00
1763172360000,0.0,0.0,0.03,1.95,1,104,60.4,96,59.25,60.4,29.91,29.9831,0,0,2022,1819800,2025-11-15T02:06:00.000Z,2025-11-14,,,,,,,2025-11-14 18:06:00-08:00
1763171460000,0.0,0.0,0.0,1.95,1,104,60.3,96,59.15,60.3,29.91,29.9831,0,0,2022,1819800,2025-11-15T01:36:00.000Z,2025-11-14,,,,,,,2025-11-14 17:51:00-08:00
1763170560000,0.0,0.0,0.03,1.94,1,104,60.3,96,59.15,60.3,29.91,29.9831,0,0,2022,1819800,2025-11-15T01:36:00.000Z,2025-11-14,,,,,,,2025-11-14 17:36:00-08:00
1763169660000,0.0,0.0,0.03,1.93,1,104,60.3,96,59.15,60.3,29.91,29.9831,0,0,2022,1819800,2025-11-15T01:21:00.000Z,2025-11-14,4.22,,,,,,2025-11-14 17:21:00-08:00
1763168760000,0.0,0.0,0.0,1.93,1,104,60.4,96,59.25,60.4,29.91,29.9831,1,900,2021,1819800,2025-11-15T00:51:00.000Z,2025-11-14,,,,,,,2025-11-14 17:06:00-08:00
1763167860000,0.0,0.0,0.03,1.92,1,104,60.6,96,59.45,60.6,29.91,29.9831,5,4500,2002,1806300,2025-11-15T00:51:00.000Z,2025-11-14,,,,,,,2025-11-14 16:51:00-08:00
